pair,leader,laggard,event_start,event_end,persistence_bars,spread_at_event,roll_mean,roll_std,z_at_event,in_sample,out_of_sample
BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,2026-05-10 00:00:00.003000+00:00,2026-05-10 00:00:00.003000+00:00,1,-9.910000000000001e-05,-2.2190476190476197e-06,4.823481220671208e-05,-2.008527616232141,True,False
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-05-27 08:00:00.004000+00:00,2026-05-27 08:00:00.004000+00:00,1,5.876000000000001e-05,-6.2752380952380945e-06,2.93658912311623e-05,2.2146522842877125,True,False
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-05-28 00:00:00.001000+00:00,2026-05-28 00:00:00.001000+00:00,1,7.579e-05,-3.369047619047619e-06,3.2384081613504414e-05,2.444381426769802,True,False
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-05-28 16:00:00.001000+00:00,2026-05-28 16:00:00.001000+00:00,1,7.016e-05,-5.27619047619047e-07,3.428383367527506e-05,2.0618353162352965,True,False
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-06-07 08:00:00+00:00,2026-06-07 08:00:00+00:00,1,0.00010596,1.2679047619047621e-05,3.798883243229729e-05,2.455483530513744,True,False
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-06-08 00:00:00+00:00,2026-06-08 00:00:00+00:00,1,0.00011768,1.5245238095238096e-05,4.12300316019245e-05,2.4844696432388993,True,False
BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,2026-06-15 16:00:00.004000+00:00,2026-06-15 16:00:00.004000+00:00,1,-0.00012946,1.8548095238095238e-05,4.88229352933393e-05,-3.0315279970126525,True,False
BTCUSDT-ETHUSDT,ETHUSDT,BTCUSDT,2026-06-17 08:00:00+00:00,2026-06-17 08:00:00+00:00,1,-9.024e-05,1.5071190476190478e-05,5.0774626406089934e-05,-2.0740908979599975,True,False
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-06-25 16:00:00+00:00,2026-06-25 16:00:00+00:00,1,9.715e-05,-4.06904761904761e-07,3.995781349707615e-05,2.441497575162448,False,True
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-06-28 00:00:00+00:00,2026-06-28 00:00:00+00:00,1,9.647e-05,7.264285714285715e-06,4.3429601499375495e-05,2.054030228368479,False,True
BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,2026-07-13 16:00:00.004000+00:00,2026-07-14 00:00:00+00:00,2,8.031000000000001e-05,2.0613571428571433e-05,2.6497017156602345e-05,2.2529490100191834,False,True
