ts,BTCUSDT,ETHUSDT,SOLUSDT
2026-04-18 16:00:00+00:00,-4.586e-05,-0.00015064,-7.993e-05
2026-04-19 00:00:00+00:00,-8.395e-05,-0.00010377,-6.547e-05
2026-04-19 08:00:00+00:00,-7.219e-05,-0.00011438,-9.117e-05
2026-04-19 16:00:00+00:00,-0.00012276,-0.00022976,-7.527e-05
2026-04-20 00:00:00+00:00,-4.615e-05,-9.27e-06,-8.585e-05
2026-04-20 08:00:00+00:00,-4.778e-05,-1.408e-05,-1.265e-05
2026-04-20 16:00:00+00:00,-2.745e-05,8.1e-06,4.88e-05
2026-04-21 00:00:00+00:00,-7.937e-05,-4.382e-05,8.917e-05
2026-04-21 08:00:00+00:00,-5.824e-05,-3.72e-05,2.729e-05
2026-04-21 16:00:00+00:00,-4.242e-05,-3.676e-05,-7.3e-07
2026-04-22 00:00:00+00:00,-2.237e-05,-2.128e-05,6.371e-05
2026-04-22 08:00:00+00:00,3.56e-05,0.0001,0.0001
2026-04-22 16:00:00+00:00,-7.49e-06,7.797e-05,0.0001
2026-04-23 00:00:00+00:00,-7.87e-05,0.0001,8.553e-05
2026-04-23 08:00:00+00:00,-3.553e-05,-1.984e-05,-4.21e-05
2026-04-23 16:00:00+00:00,-6.696e-05,-6.025e-05,1.908e-05
2026-04-24 00:00:00+00:00,-3.829e-05,-3.645e-05,-7.719e-05
2026-04-24 08:00:00+00:00,-7.865e-05,-6.98e-05,-2.981e-05
2026-04-24 16:00:00+00:00,-3.152e-05,-0.00012145,-5.314e-05
2026-04-25 00:00:00+00:00,-1.077e-05,-4.387e-05,5.235e-05
2026-04-25 08:00:00+00:00,-6.235e-05,-2.141e-05,1.927e-05
2026-04-25 16:00:00+00:00,-5.699e-05,-4.431e-05,-5.575e-05
2026-04-26 00:00:00+00:00,2.41e-06,-1.131e-05,-4.604e-05
2026-04-26 08:00:00+00:00,1.53e-06,-1.931e-05,9.411e-05
2026-04-26 16:00:00+00:00,1.95e-06,-2.842e-05,-3.44e-06
2026-04-27 00:00:00+00:00,2.49e-06,-6.636e-05,-1.262e-05
2026-04-27 08:00:00+00:00,-8.659e-05,-7.865e-05,-2.08e-05
2026-04-27 16:00:00+00:00,-5.678e-05,-7.593e-05,-0.00011407
2026-04-28 00:00:00+00:00,-3.951e-05,-0.00016104,-0.00011394
2026-04-28 08:00:00+00:00,-3.204e-05,-0.00011678,8.41e-06
2026-04-28 16:00:00+00:00,5.242e-05,2.5e-07,-4.511e-05
2026-04-29 00:00:00+00:00,1.305e-05,2.842e-05,-1.641e-05
2026-04-29 08:00:00+00:00,-2.84e-05,4.666e-05,7.892e-05
2026-04-29 16:00:00+00:00,3.571e-05,4.782e-05,-6.745e-05
2026-04-30 00:00:00+00:00,-4.22e-05,-6.092e-05,-3.778e-05
2026-04-30 08:00:00+00:00,-1.837e-05,-4.636e-05,7.422e-05
2026-04-30 16:00:00+00:00,-2.904e-05,-7.717e-05,7.585e-05
2026-05-01 00:00:00+00:00,-3.746e-05,-4e-05,6.01e-05
2026-05-01 08:00:00+00:00,-1.81e-05,-1.877e-05,1.697e-05
2026-05-01 16:00:00+00:00,-3.143e-05,-2.131e-05,4.955e-05
2026-05-02 00:00:00+00:00,-8.22e-06,-4.36e-06,7.261e-05
2026-05-02 08:00:00+00:00,-5.103e-05,-3.82e-05,-3.588e-05
