variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,funding_at_entry,funding_received,bars_held,exit_reason
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-12 08:00:00+00:00,2026-04-12 08:00:00+00:00,82.23,2026-04-12 16:00:00+00:00,2026-04-12 16:00:00+00:00,81.53,-0.008512708257327084,6.761e-05,-0.009445098257327086,-0.00011509,-6.761e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-12 16:00:00+00:00,2026-04-12 16:00:00+00:00,81.53,2026-04-13 00:00:00+00:00,2026-04-13 00:00:00+00:00,81.43,-0.0012265423770390083,-3.827e-05,-0.0022648123770390082,-6.761e-05,3.827e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-15 08:00:00+00:00,2026-04-15 08:00:00+00:00,82.74,2026-04-15 16:00:00+00:00,2026-04-15 16:00:00+00:00,83.94,0.014503263234227681,2.279e-05,0.013526053234227682,-9.128e-05,-2.279e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-18 08:00:00+00:00,2026-04-18 08:00:00+00:00,88.41,2026-04-18 16:00:00+00:00,2026-04-18 16:00:00+00:00,86.6,-0.020472797194887482,7.993e-05,-0.021392867194887484,-8.193e-05,-7.993e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-18 16:00:00+00:00,2026-04-18 16:00:00+00:00,86.6,2026-04-19 00:00:00+00:00,2026-04-19 00:00:00+00:00,86.13,-0.005427251732101568,6.547e-05,-0.006361781732101568,-7.993e-05,-6.547e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-19 00:00:00+00:00,2026-04-19 00:00:00+00:00,86.13,2026-04-19 08:00:00+00:00,2026-04-19 08:00:00+00:00,84.85,-0.014861256240566556,9.117e-05,-0.015770086240566555,-6.547e-05,-9.117e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-19 08:00:00+00:00,2026-04-19 08:00:00+00:00,84.85,2026-04-19 16:00:00+00:00,2026-04-19 16:00:00+00:00,86.28,0.016853270477312998,7.527e-05,0.015928540477312996,-9.117e-05,-7.527e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-19 16:00:00+00:00,2026-04-19 16:00:00+00:00,86.28,2026-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,83.48,-0.03245248029670833,8.585e-05,-0.03336663029670833,-7.527e-05,-8.585e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,83.48,2026-04-20 08:00:00+00:00,2026-04-20 08:00:00+00:00,84.71,0.014734068040249015,1.265e-05,0.013746718040249014,-8.585e-05,-1.265e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-23 08:00:00+00:00,2026-04-23 08:00:00+00:00,85.89,2026-04-23 16:00:00+00:00,2026-04-23 16:00:00+00:00,86.32,0.005006403539410842,-1.908e-05,0.003987323539410842,-4.21e-05,1.908e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-24 00:00:00+00:00,2026-04-24 00:00:00+00:00,86.17,2026-04-24 08:00:00+00:00,2026-04-24 08:00:00+00:00,85.46,-0.008239526517349494,2.981e-05,-0.009209716517349493,-7.719e-05,-2.981e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-24 08:00:00+00:00,2026-04-24 08:00:00+00:00,85.46,2026-04-24 16:00:00+00:00,2026-04-24 16:00:00+00:00,86.51,0.012286449801076627,5.314e-05,0.011339589801076626,-2.981e-05,-5.314e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-24 16:00:00+00:00,2026-04-24 16:00:00+00:00,86.51,2026-04-25 00:00:00+00:00,2026-04-25 00:00:00+00:00,86.17,-0.0039301814819096,-5.235e-05,-0.0049825314819096,-5.314e-05,5.235e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-25 16:00:00+00:00,2026-04-25 16:00:00+00:00,86.29,2026-04-26 00:00:00+00:00,2026-04-26 00:00:00+00:00,86.17,-0.001390659404334249,4.604e-05,-0.0023446194043342493,-5.575e-05,-4.604e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-26 00:00:00+00:00,2026-04-26 00:00:00+00:00,86.17,2026-04-26 08:00:00+00:00,2026-04-26 08:00:00+00:00,86.67,0.0058024834629222255,-9.411e-05,0.004708373462922226,-4.604e-05,9.411e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-27 16:00:00+00:00,2026-04-27 16:00:00+00:00,84.07,2026-04-28 00:00:00+00:00,2026-04-28 00:00:00+00:00,84.74,0.007969549185202762,0.00011394,0.007083489185202762,-0.00011407,-0.00011394,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-28 00:00:00+00:00,2026-04-28 00:00:00+00:00,84.74,2026-04-28 08:00:00+00:00,2026-04-28 08:00:00+00:00,83.97,-0.009086617890016524,-8.41e-06,-0.010095027890016525,-0.00011394,8.41e-06,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-28 16:00:00+00:00,2026-04-28 16:00:00+00:00,83.45,2026-04-29 00:00:00+00:00,2026-04-29 00:00:00+00:00,84.05,0.0071899340922707555,1.641e-05,0.006206344092270755,-4.511e-05,-1.641e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-29 16:00:00+00:00,2026-04-29 16:00:00+00:00,83.23,2026-04-30 00:00:00+00:00,2026-04-30 00:00:00+00:00,83.09,-0.001682085786375076,3.778e-05,-0.0026443057863750757,-6.745e-05,-3.778e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-04-30 00:00:00+00:00,2026-04-30 00:00:00+00:00,83.09,2026-04-30 08:00:00+00:00,2026-04-30 08:00:00+00:00,83.25,0.0019256228186304014,-7.422e-05,0.0008514028186304013,-3.778e-05,7.422e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-02 08:00:00+00:00,2026-05-02 08:00:00+00:00,83.67,2026-05-02 16:00:00+00:00,2026-05-02 16:00:00+00:00,84.02,0.004183100274889329,1.782e-05,0.0032009202748893286,-3.588e-05,-1.782e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-03 08:00:00+00:00,2026-05-03 08:00:00+00:00,83.89,2026-05-03 16:00:00+00:00,2026-05-03 16:00:00+00:00,84.19,0.0035761115746810734,1.872e-05,0.0025948315746810733,-2.973e-05,-1.872e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-07 16:00:00+00:00,2026-05-07 16:00:00+00:00,88.33,2026-05-08 00:00:00+00:00,2026-05-08 00:00:00+00:00,88.46,0.001471753651081098,-9.448e-05,0.0003772736510810979,-5.96e-05,9.448e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-10 00:00:00+00:00,2026-05-10 00:00:00+00:00,93.12,2026-05-10 08:00:00+00:00,2026-05-10 08:00:00+00:00,93.44,0.0034364261168384758,-1.717e-05,0.002419256116838476,-5.236e-05,1.717e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-12 08:00:00+00:00,2026-05-12 08:00:00+00:00,96.06,2026-05-12 16:00:00+00:00,2026-05-12 16:00:00+00:00,93.87,-0.022798251093066768,-8.095e-05,-0.02387920109306677,-6.049e-05,8.095e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-13 16:00:00+00:00,2026-05-13 16:00:00+00:00,90.77,2026-05-14 00:00:00+00:00,2026-05-14 00:00:00+00:00,91.32,0.006059270684146689,0.0001508,0.00521007068414669,-0.00012043,-0.0001508,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-14 00:00:00+00:00,2026-05-14 00:00:00+00:00,91.32,2026-05-14 08:00:00+00:00,2026-05-14 08:00:00+00:00,90.97,-0.0038326763031099054,3.038e-05,-0.004802296303109905,-0.0001508,-3.038e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-14 08:00:00+00:00,2026-05-14 08:00:00+00:00,90.97,2026-05-14 16:00:00+00:00,2026-05-14 16:00:00+00:00,93.28,0.025392986698911768,5.361e-05,0.024446596698911766,-3.038e-05,-5.361e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-14 16:00:00+00:00,2026-05-14 16:00:00+00:00,93.28,2026-05-15 00:00:00+00:00,2026-05-15 00:00:00+00:00,92.15,-0.012114065180102829,1.584e-05,-0.01309822518010283,-5.361e-05,-1.584e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-16 16:00:00+00:00,2026-05-16 16:00:00+00:00,86.48,2026-05-17 00:00:00+00:00,2026-05-17 00:00:00+00:00,86.61,0.0015032377428305654,5.139e-05,0.0005546277428305653,-0.00015361,-5.139e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-17 00:00:00+00:00,2026-05-17 00:00:00+00:00,86.61,2026-05-17 08:00:00+00:00,2026-05-17 08:00:00+00:00,86.97,0.004156563907170119,5.436e-05,0.0032109239071701186,-5.139e-05,-5.436e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-17 08:00:00+00:00,2026-05-17 08:00:00+00:00,86.97,2026-05-17 16:00:00+00:00,2026-05-17 16:00:00+00:00,86.46,-0.005864091065884813,0.00012569,-0.006738401065884813,-5.436e-05,-0.00012569,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-17 16:00:00+00:00,2026-05-17 16:00:00+00:00,86.46,2026-05-18 00:00:00+00:00,2026-05-18 00:00:00+00:00,85.07,-0.016076798519546576,0.00010788,-0.016968918519546575,-0.00012569,-0.00010788,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2026-05-18 00:00:00+00:00,2026-05-18 00:00:00+00:00,85.07,2026-05-18 08:00:00+00:00,2026-05-18 08:00:00+00:00,84.83,-0.002821206065592996,-3.36e-06,-0.003824566065592996,-0.00010788,3.36e-06,480,next_event
