variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,funding_at_entry,funding_received,bars_held,exit_reason
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-10-11 08:00:00+00:00,2025-10-11 08:00:00+00:00,3755.06,2025-10-11 16:00:00+00:00,2025-10-11 16:00:00+00:00,3825.79,0.01883591740211865,1.73e-06,0.01783764740211865,-0.00013094,-1.73e-06,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-01-26 00:00:00+00:00,2026-01-26 00:00:00+00:00,2811.31,2026-01-26 08:00:00+00:00,2026-01-26 08:00:00+00:00,2902.33,0.03237636546663292,-6.54e-05,0.031310965466632916,-0.00013629,6.54e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,2446.13,2026-02-01 08:00:00+00:00,2026-02-01 08:00:00+00:00,2411.63,-0.01410391107586273,-1.415e-05,-0.015118061075862728,-0.00016427,1.415e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-02 00:00:00+00:00,2026-02-02 00:00:00+00:00,2267.15,2026-02-02 08:00:00+00:00,2026-02-02 08:00:00+00:00,2228.35,-0.017113997750479726,8.208e-05,-0.01803191775047973,-0.00015302,-8.208e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-02 16:00:00+00:00,2026-02-02 16:00:00+00:00,2370.1,2026-02-03 00:00:00+00:00,2026-02-03 00:00:00+00:00,2344.0,-0.011012193578329943,0.00015482,-0.011857373578329944,-0.00010921,-0.00015482,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-03 00:00:00+00:00,2026-02-03 00:00:00+00:00,2344.0,2026-02-03 08:00:00+00:00,2026-02-03 08:00:00+00:00,2320.79,-0.009901877133105863,-1.01e-05,-0.010911977133105863,-0.00015482,1.01e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-06 00:00:00+00:00,2026-02-06 00:00:00+00:00,1829.05,2026-02-06 08:00:00+00:00,2026-02-06 08:00:00+00:00,1897.14,0.03722697575243994,8.43e-05,0.03631127575243994,-0.00027709,-8.43e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-10 08:00:00+00:00,2026-02-10 08:00:00+00:00,2007.04,2026-02-10 16:00:00+00:00,2026-02-10 16:00:00+00:00,2022.21,0.0075583944515307255,0.00019437,0.006752764451530726,-0.0001521,-0.00019437,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-10 16:00:00+00:00,2026-02-10 16:00:00+00:00,2022.21,2026-02-11 00:00:00+00:00,2026-02-11 00:00:00+00:00,2019.14,-0.0015181410437096199,8.436e-05,-0.00243378104370962,-0.00019437,-8.436e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-11 08:00:00+00:00,2026-02-11 08:00:00+00:00,1949.47,2026-02-11 16:00:00+00:00,2026-02-11 16:00:00+00:00,1928.76,-0.010623400206209888,0.00012326,-0.011500140206209888,-0.00012968,-0.00012326,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2026-02-11 16:00:00+00:00,2026-02-11 16:00:00+00:00,1928.76,2026-02-12 00:00:00+00:00,2026-02-12 00:00:00+00:00,1941.05,0.00637196955556929,2.549e-05,0.0053974595555692905,-0.00012326,-2.549e-05,480,next_event
