variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,funding_at_entry,funding_received,bars_held,exit_reason
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-04 08:00:00+00:00,2025-08-04 08:00:00+00:00,3549.26,2025-08-04 16:00:00+00:00,2025-08-04 16:00:00+00:00,3647.99,0.027817066092650222,-3.611e-05,0.026780956092650222,1.113e-05,3.611e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-05 00:00:00+00:00,2025-08-05 00:00:00+00:00,3716.75,2025-08-05 08:00:00+00:00,2025-08-05 08:00:00+00:00,3610.13,-0.028686352323938902,-3.116e-05,-0.0297175123239389,1.47e-06,3.116e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-16 16:00:00+00:00,2025-08-16 16:00:00+00:00,4396.75,2025-08-17 00:00:00+00:00,2025-08-17 00:00:00+00:00,4420.99,0.005513163131858789,-4.669e-05,0.004466473131858789,1.968e-05,4.669e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-17 08:00:00+00:00,2025-08-17 08:00:00+00:00,4466.39,2025-08-17 16:00:00+00:00,2025-08-17 16:00:00+00:00,4562.76,0.02157670960216196,-5.334e-05,0.02052336960216196,-6.68e-06,5.334e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-18 00:00:00+00:00,2025-08-18 00:00:00+00:00,4472.59,2025-08-18 08:00:00+00:00,2025-08-18 08:00:00+00:00,4263.0,-0.04686099105887198,-9.191e-05,-0.04795290105887198,6.32e-06,9.191e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-20 08:00:00+00:00,2025-08-20 08:00:00+00:00,4180.56,2025-08-20 16:00:00+00:00,2025-08-20 16:00:00+00:00,4262.9,0.019695925904663403,-9.07e-05,0.018605225904663403,3.18e-06,9.07e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-25 16:00:00+00:00,2025-08-25 16:00:00+00:00,4604.55,2025-08-26 00:00:00+00:00,2025-08-26 00:00:00+00:00,4366.73,-0.051648912488734156,7.39e-06,-0.05264152248873415,1.732e-05,-7.39e-06,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-26 00:00:00+00:00,2025-08-26 00:00:00+00:00,4366.73,2025-08-26 08:00:00+00:00,2025-08-26 08:00:00+00:00,4428.99,0.014257808474533729,-1.08e-05,0.01324700847453373,-7.39e-06,1.08e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-26 08:00:00+00:00,2025-08-26 08:00:00+00:00,4428.99,2025-08-26 16:00:00+00:00,2025-08-26 16:00:00+00:00,4523.48,0.021334435164676258,-1.029e-05,0.020324145164676257,1.08e-05,1.029e-05,480,next_event
funding_carry_u5_eth_sol_1m,ETHUSDT,long,2025-08-26 16:00:00+00:00,2025-08-26 16:00:00+00:00,4523.48,2025-08-27 00:00:00+00:00,2025-08-27 00:00:00+00:00,4594.2,0.015633980917346912,8.19e-06,0.014642170917346913,1.029e-05,-8.19e-06,480,next_event
