variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,z_at_entry,funding_at_entry,funding_at_exit,bars_held,exit_reason
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-07-31 00:00:00+00:00,2025-07-31 00:00:00+00:00,177.74,2025-07-31 08:00:00+00:00,2025-07-31 08:00:00+00:00,181.23,0.019635422527287005,-4.662e-05,0.018635422527287004,-1.619097457806053,-8.14e-06,4.662e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-02 08:00:00+00:00,2025-08-02 08:00:00+00:00,164.55,2025-08-02 16:00:00+00:00,2025-08-02 16:00:00+00:00,161.45,-0.018839258584017138,-3.981e-05,-0.01983925858401714,-1.873793726344281,3.654e-05,3.981e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-03 08:00:00+00:00,2025-08-03 08:00:00+00:00,161.4,2025-08-03 16:00:00+00:00,2025-08-03 16:00:00+00:00,162.04,0.003965303593556291,7.571e-05,0.002965303593556291,-2.8176875742758694,-5.92e-05,-7.571e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-03 16:00:00+00:00,2025-08-03 16:00:00+00:00,162.04,2025-08-04 00:00:00+00:00,2025-08-04 00:00:00+00:00,161.97,-0.00043199210071587224,0.00014534,-0.0014319921007158723,-1.818249603311386,-7.571e-05,-0.00014534,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-04 00:00:00+00:00,2025-08-04 00:00:00+00:00,161.97,2025-08-04 08:00:00+00:00,2025-08-04 08:00:00+00:00,163.01,0.006420942149780728,6.297e-05,0.005420942149780728,-1.9259469508611233,-0.00014534,-6.297e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-04 08:00:00+00:00,2025-08-04 08:00:00+00:00,163.01,2025-08-04 16:00:00+00:00,2025-08-04 16:00:00+00:00,165.54,0.015520520213483824,6.458e-05,0.014520520213483823,-2.6977408639324674,-6.297e-05,-6.458e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2025-08-07 08:00:00+00:00,2025-08-07 08:00:00+00:00,169.98,2025-08-07 16:00:00+00:00,2025-08-07 16:00:00+00:00,170.47,-0.002882692081421334,4.431e-05,-0.003882692081421334,1.8304545561063674,1.246e-05,4.431e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2025-08-09 08:00:00+00:00,2025-08-09 08:00:00+00:00,180.78,2025-08-09 16:00:00+00:00,2025-08-09 16:00:00+00:00,180.28,0.0027657926761810447,7.712e-05,0.0017657926761810447,1.7865603316331413,8.345e-05,7.712e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2025-08-14 16:00:00+00:00,2025-08-14 16:00:00+00:00,194.79,2025-08-15 16:00:00+00:00,2025-08-15 16:00:00+00:00,185.39,0.048257097386929515,4.024e-05,0.047257097386929514,2.941484470282102,0.0001,4.024e-05,1440,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-18 16:00:00+00:00,2025-08-18 16:00:00+00:00,183.1,2025-08-19 00:00:00+00:00,2025-08-19 00:00:00+00:00,182.85,-0.001365374112506812,1.986e-05,-0.002365374112506812,-1.8553733477408965,-6.163e-05,-1.986e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-19 00:00:00+00:00,2025-08-19 00:00:00+00:00,182.85,2025-08-19 08:00:00+00:00,2025-08-19 08:00:00+00:00,180.21,-0.014438063986874416,-4.048e-05,-0.015438063986874417,-1.8429527269208563,-1.986e-05,4.048e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-31 00:00:00+00:00,2025-08-31 00:00:00+00:00,202.78,2025-08-31 08:00:00+00:00,2025-08-31 08:00:00+00:00,203.63,0.004191734885097054,-9.518e-05,0.0031917348850970537,-1.5281361629341792,1.753e-05,9.518e-05,480,hold_horizon
