variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,z_at_entry,funding_at_entry,funding_at_exit,bars_held,exit_reason
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-03 08:00:00+00:00,2025-08-03 08:00:00+00:00,161.4,2025-08-03 16:00:00+00:00,2025-08-03 16:00:00+00:00,162.04,0.003965303593556291,7.571e-05,0.002965303593556291,-2.8176875742758694,-5.92e-05,-7.571e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-08-04 08:00:00+00:00,2025-08-04 08:00:00+00:00,163.01,2025-08-04 16:00:00+00:00,2025-08-04 16:00:00+00:00,165.54,0.015520520213483824,6.458e-05,0.014520520213483823,-2.6977408639324674,-6.297e-05,-6.458e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2025-08-14 16:00:00+00:00,2025-08-14 16:00:00+00:00,194.79,2025-08-15 16:00:00+00:00,2025-08-15 16:00:00+00:00,185.39,0.048257097386929515,4.024e-05,0.047257097386929514,2.941484470282102,0.0001,4.024e-05,1440,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-09-20 16:00:00+00:00,2025-09-20 16:00:00+00:00,240.34,2025-09-21 00:00:00+00:00,2025-09-21 00:00:00+00:00,239.43,-0.0037863027377881275,4.39e-06,-0.0047863027377881276,-2.384156872182687,-2.909e-05,-4.39e-06,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-09-23 00:00:00+00:00,2025-09-23 00:00:00+00:00,220.12,2025-09-23 08:00:00+00:00,2025-09-23 08:00:00+00:00,218.99,-0.005133563510812289,-4.873e-05,-0.006133563510812289,-2.635073811656702,4.622e-05,4.873e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-09-25 08:00:00+00:00,2025-09-25 08:00:00+00:00,204.31,2025-09-25 16:00:00+00:00,2025-09-25 16:00:00+00:00,201.11,-0.015662473691938628,-3.595e-05,-0.01666247369193863,-2.6819283726274117,-3.446e-05,3.595e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2025-09-29 16:00:00+00:00,2025-09-29 16:00:00+00:00,210.49,2025-09-30 00:00:00+00:00,2025-09-30 00:00:00+00:00,212.68,-0.010404294740842701,-5.066e-05,-0.011404294740842702,2.0125717813824857,-7.412e-05,-5.066e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-09-30 16:00:00+00:00,2025-09-30 16:00:00+00:00,205.77,2025-10-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,208.99,0.01564853963162749,-7.07e-05,0.014648539631627489,-2.5518818991796346,-3.859e-05,7.07e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-10-11 08:00:00+00:00,2025-10-11 08:00:00+00:00,182.48,2025-10-11 16:00:00+00:00,2025-10-11 16:00:00+00:00,183.38,0.004932047347654622,0.00158704,0.003932047347654622,-5.356267998116354,-0.00203878,-0.00158704,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-10-11 16:00:00+00:00,2025-10-11 16:00:00+00:00,183.38,2025-10-12 00:00:00+00:00,2025-10-12 00:00:00+00:00,177.2,-0.03370051259679363,0.00124994,-0.03470051259679363,-2.89208259990657,-0.00158704,-0.00124994,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-10-29 08:00:00+00:00,2025-10-29 08:00:00+00:00,195.56,2025-10-29 16:00:00+00:00,2025-10-29 16:00:00+00:00,196.5,0.004806708938433157,-8.873e-05,0.0038067089384331574,-2.330728929884889,-5.808e-05,8.873e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-10-31 00:00:00+00:00,2025-10-31 00:00:00+00:00,184.24,2025-10-31 08:00:00+00:00,2025-10-31 08:00:00+00:00,185.22,0.005319148936170137,7.523e-05,0.004319148936170137,-2.5038351883320122,-0.00022069,-7.523e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-10-31 08:00:00+00:00,2025-10-31 08:00:00+00:00,185.22,2025-10-31 16:00:00+00:00,2025-10-31 16:00:00+00:00,187.82,0.014037360976136393,1.38e-06,0.013037360976136392,-2.7127398218618537,-7.523e-05,-1.38e-06,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-11-03 16:00:00+00:00,2025-11-03 16:00:00+00:00,166.5,2025-11-04 00:00:00+00:00,2025-11-04 00:00:00+00:00,165.81,-0.004144144144144102,4.994e-05,-0.005144144144144102,-2.045072128620758,-0.00015146,-4.994e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-11-11 16:00:00+00:00,2025-11-11 16:00:00+00:00,161.08,2025-11-12 00:00:00+00:00,2025-11-12 00:00:00+00:00,154.9,-0.038366029302210114,2e-05,-0.039366029302210115,-2.2415420065541083,-1.407e-05,-2e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-11-26 00:00:00+00:00,2025-11-26 00:00:00+00:00,139.0,2025-11-26 08:00:00+00:00,2025-11-26 08:00:00+00:00,139.75,0.0053956834532373765,-0.0001,0.0043956834532373765,-2.638997266252591,-6.75e-06,0.0001,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-12-11 16:00:00+00:00,2025-12-11 16:00:00+00:00,131.16,2025-12-12 00:00:00+00:00,2025-12-12 00:00:00+00:00,136.64,0.041781030802073627,-9.412e-05,0.040781030802073626,-3.174510429262414,-6.531e-05,9.412e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2025-12-18 08:00:00+00:00,2025-12-18 08:00:00+00:00,122.83,2025-12-18 16:00:00+00:00,2025-12-18 16:00:00+00:00,127.42,0.03736872099649924,-4.877e-05,0.03636872099649924,-2.230256259776139,-3.187e-05,4.877e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-01-10 08:00:00+00:00,2026-01-10 08:00:00+00:00,136.12,2026-01-10 16:00:00+00:00,2026-01-10 16:00:00+00:00,136.41,0.0021304731119600184,1.82e-06,0.0011304731119600184,-2.6105416023940236,-6.589e-05,-1.82e-06,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-01-18 16:00:00+00:00,2026-01-18 16:00:00+00:00,141.92,2026-01-19 00:00:00+00:00,2026-01-19 00:00:00+00:00,135.67,-0.04403889515219839,1.163e-05,-0.04503889515219839,-2.081033124501355,-3.06e-05,-1.163e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-01-26 08:00:00+00:00,2026-01-26 08:00:00+00:00,122.86,2026-01-26 16:00:00+00:00,2026-01-26 16:00:00+00:00,123.72,0.006999837213088167,-2.194e-05,0.005999837213088167,-3.180486438919811,7.17e-06,2.194e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-01-30 08:00:00+00:00,2026-01-30 08:00:00+00:00,115.63,2026-01-30 16:00:00+00:00,2026-01-30 16:00:00+00:00,116.78,0.009945515869584032,4.603e-05,0.008945515869584031,-2.4445862796492563,-8.985e-05,-4.603e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-01-31 16:00:00+00:00,2026-01-31 16:00:00+00:00,108.87,2026-02-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,105.41,-0.031781023238725115,0.00069212,-0.032781023238725115,-2.251301863038028,-0.00015483,-0.00069212,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-02-01 08:00:00+00:00,2026-02-01 08:00:00+00:00,105.18,2026-02-01 16:00:00+00:00,2026-02-01 16:00:00+00:00,101.52,-0.03479749001711363,8.954e-05,-0.03579749001711363,-4.516255132873353,-0.00019219,-8.954e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-02-04 16:00:00+00:00,2026-02-04 16:00:00+00:00,92.89,2026-02-05 00:00:00+00:00,2026-02-05 00:00:00+00:00,92.11,-0.008397028743675317,2.794e-05,-0.009397028743675317,-2.337488401739823,-0.00033402,-2.794e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-02-07 00:00:00+00:00,2026-02-07 00:00:00+00:00,87.03,2026-02-07 08:00:00+00:00,2026-02-07 08:00:00+00:00,85.18,-0.021257037803056322,0.00024143,-0.022257037803056323,-2.2500910927817355,-0.00053126,-0.00024143,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-02-19 00:00:00+00:00,2026-02-19 00:00:00+00:00,81.59,2026-02-19 08:00:00+00:00,2026-02-19 08:00:00+00:00,82.4,0.00992768721657078,0.00012365,0.008927687216570779,-2.024979705918831,-0.00012426,-0.00012365,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-02-23 16:00:00+00:00,2026-02-23 16:00:00+00:00,79.41,2026-02-24 00:00:00+00:00,2026-02-24 00:00:00+00:00,78.14,-0.0159929479914368,4.143e-05,-0.016992947991436802,-4.223131419716985,-0.00014788,-4.143e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-03-26 16:00:00+00:00,2026-03-26 16:00:00+00:00,87.51,2026-03-27 00:00:00+00:00,2026-03-27 00:00:00+00:00,86.41,-0.012569992000914243,0.00022517,-0.013569992000914244,-2.261814217645393,-0.00022349,-0.00022517,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-03-27 00:00:00+00:00,2026-03-27 00:00:00+00:00,86.41,2026-03-27 08:00:00+00:00,2026-03-27 08:00:00+00:00,85.94,-0.0054391852794815065,0.00019053,-0.0064391852794815066,-2.3013669249256603,-0.00022517,-0.00019053,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-03-27 08:00:00+00:00,2026-03-27 08:00:00+00:00,85.94,2026-03-27 16:00:00+00:00,2026-03-27 16:00:00+00:00,83.28,-0.030951826855945996,0.0003981,-0.031951826855946,-2.09979766774449,-0.00019053,-0.0003981,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-03-28 00:00:00+00:00,2026-03-28 00:00:00+00:00,83.03,2026-03-28 08:00:00+00:00,2026-03-28 08:00:00+00:00,83.56,0.006383234975310126,0.00021298,0.005383234975310126,-3.072133355447998,-0.00028259,-0.00021298,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-05-14 00:00:00+00:00,2026-05-14 00:00:00+00:00,91.32,2026-05-14 08:00:00+00:00,2026-05-14 08:00:00+00:00,90.97,-0.0038326763031099054,3.038e-05,-0.004832676303109905,-2.7226454826076445,-0.0001508,-3.038e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-05-14 08:00:00+00:00,2026-05-14 08:00:00+00:00,90.97,2026-05-14 16:00:00+00:00,2026-05-14 16:00:00+00:00,93.28,0.025392986698911768,5.361e-05,0.024392986698911767,-2.762975413780205,-3.038e-05,-5.361e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-05-17 00:00:00+00:00,2026-05-17 00:00:00+00:00,86.61,2026-05-17 08:00:00+00:00,2026-05-17 08:00:00+00:00,86.97,0.004156563907170119,5.436e-05,0.003156563907170119,-2.290564288772728,-5.139e-05,-5.436e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-05-24 00:00:00+00:00,2026-05-24 00:00:00+00:00,85.81,2026-05-24 08:00:00+00:00,2026-05-24 08:00:00+00:00,86.07,0.0030299498892902843,-5.791e-05,0.0020299498892902843,-3.1221941348041278,-4.389e-05,5.791e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-06-03 08:00:00+00:00,2026-06-03 08:00:00+00:00,75.26,2026-06-03 16:00:00+00:00,2026-06-03 16:00:00+00:00,73.35,-0.02537868721764569,4.446e-05,-0.02637868721764569,-2.7434901152861686,-4.817e-05,-4.446e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-06-04 16:00:00+00:00,2026-06-04 16:00:00+00:00,69.6,2026-06-05 00:00:00+00:00,2026-06-05 00:00:00+00:00,68.69,-0.0130747126436781,9.673e-05,-0.0140747126436781,-2.109100253504453,-6.287e-05,-9.673e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-06-05 16:00:00+00:00,2026-06-05 16:00:00+00:00,63.91,2026-06-06 00:00:00+00:00,2026-06-06 00:00:00+00:00,63.9,-0.00015647003598806553,7.32e-05,-0.0011564700359880655,-2.58468323580238,-8.011e-05,-7.32e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-06-08 00:00:00+00:00,2026-06-08 00:00:00+00:00,66.41,2026-06-08 08:00:00+00:00,2026-06-08 08:00:00+00:00,66.03,-0.0057220298147868665,0.00022946,-0.0067220298147868665,-2.8906315820348962,-0.00025513,-0.00022946,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2026-06-19 08:00:00+00:00,2026-06-19 08:00:00+00:00,68.36,2026-06-19 16:00:00+00:00,2026-06-19 16:00:00+00:00,69.29,-0.01360444704505559,-3.617e-05,-0.01460444704505559,3.088956686978708,6.065e-05,-3.617e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,short,2026-06-19 16:00:00+00:00,2026-06-19 16:00:00+00:00,69.29,2026-06-20 00:00:00+00:00,2026-06-20 00:00:00+00:00,69.84,-0.00793765334103047,-3.087e-05,-0.008937653341030471,2.0030851467320483,-3.617e-05,-3.087e-05,480,hold_horizon
funding_oscillator_z_mr_u5_rebuild,SOLUSDT,long,2026-06-24 00:00:00+00:00,2026-06-24 00:00:00+00:00,69.78,2026-06-24 08:00:00+00:00,2026-06-24 08:00:00+00:00,69.33,-0.0064488392089424584,7.233e-05,-0.0074488392089424585,-3.0729668958885004,-8.775e-05,-7.233e-05,480,hold_horizon
