symbol,tf,ctrl,t,t_2024_26,mean_2024_26
BTC,1h,buy_hold,1.9609924611129597,0.9253747501690553,3.163012440732172e-05
BTC,1h,ma20,-0.33759912772462114,-1.1149332922063224,-2.6137300412699004e-05
BTC,4h,buy_hold,1.951362764749036,0.9278582141977924,0.00012489563043332623
BTC,4h,ma20,1.8439714171171129,0.39218826095702963,3.573521305413648e-05
BTC,1d,buy_hold,1.9534808373564556,0.9243013390261103,0.0007545693434666699
BTC,1d,ma20,1.8657952667512334,1.0704198778407814,0.0005915194791659439
ETH,1h,buy_hold,2.2709500749033484,0.3422258599852508,1.6256421708657965e-05
ETH,1h,ma20,2.0638668232895983,0.007224936294125711,2.3155417720700441e-07
ETH,4h,buy_hold,2.276868412001253,0.33750729763384546,6.363093185430906e-05
ETH,4h,ma20,3.1200046722307664,0.9379240594014644,0.00011761119792626996
ETH,1d,buy_hold,2.258563348390771,0.359091787939212,0.00042251425466257296
ETH,1d,ma20,2.6089327590299565,0.7146653611935142,0.0005712828952859063
SOL,1h,buy_hold,2.5100182010570564,0.4404064247694273,2.6543385190453677e-05
SOL,1h,ma20,2.4160486256258555,-0.5126025271671634,-2.0948655529224995e-05
SOL,4h,buy_hold,2.4939013736274225,0.4112119609573639,9.589646021521146e-05
SOL,4h,ma20,2.8679265400011116,0.1504556812602926,2.4180983043219996e-05
SOL,1d,buy_hold,2.5062641881647796,0.3944602400505324,0.0005438446099041917
SOL,1d,ma20,3.0298586290406133,0.2718100564874465,0.00024677704092286075
