symbol,tf,er,fast,slow,lb,t,ann_ret,n_bars,n_rt
BTC,1h,5,2,20,1,-2.9746700103230532,-6.42294462647186e-05,60270,6180
BTC,1h,5,2,20,3,-1.2724018119240932,-3.345960620237953e-05,60270,3656
BTC,1h,5,2,20,5,0.01756734368785711,-9.604405370455815e-06,60270,2972
BTC,1h,5,2,20,10,1.4600556389391623,1.6550751409827313e-05,60270,1915
BTC,1h,5,2,30,1,-2.7698209679836823,-6.034240162455795e-05,60270,5983
BTC,1h,5,2,30,3,-1.2374429402717297,-3.275850681327963e-05,60270,3583
BTC,1h,5,2,30,5,0.053753292078746975,-8.904062784087508e-06,60270,2927
BTC,1h,5,2,30,10,1.4019615498532383,1.5483076375000238e-05,60270,1890
BTC,1h,5,2,50,1,-2.5991385671933362,-5.704097049619161e-05,60270,5847
BTC,1h,5,2,50,3,-1.2479072791888062,-3.2902792043709717e-05,60270,3528
BTC,1h,5,2,50,5,-0.03834941670553087,-1.0517546931598787e-05,60270,2898
BTC,1h,5,2,50,10,1.3195584378543779,1.4000595589980236e-05,60270,1867
BTC,1h,5,3,20,1,-1.2635580871114631,-3.228533907373432e-05,60270,4342
BTC,1h,5,3,20,3,-0.39300656213311114,-1.6667250414603707e-05,60270,2682
BTC,1h,5,3,20,5,0.24145516762352304,-5.270745772500973e-06,60270,2167
BTC,1h,5,3,20,10,1.7732500247185201,2.214995033256173e-05,60270,1431
BTC,1h,5,3,30,1,-1.1349145264016842,-2.993174514964725e-05,60270,4150
BTC,1h,5,3,30,3,-0.32175377063844157,-1.535076829617399e-05,60270,2609
BTC,1h,5,3,30,5,0.23179168489310642,-5.417806663632341e-06,60270,2133
BTC,1h,5,3,30,10,1.4774005829024186,1.675995684413678e-05,60270,1404
BTC,1h,5,3,50,1,-1.196430139275269,-3.090998044619209e-05,60270,3983
BTC,1h,5,3,50,3,-0.4616205300457288,-1.784127537229896e-05,60270,2546
BTC,1h,5,3,50,5,0.18644853327835914,-6.236457774755344e-06,60270,2100
BTC,1h,5,3,50,10,1.4986015689181167,1.7135369076326512e-05,60270,1383
BTC,1h,10,2,20,1,-2.51165241835646,-5.5278580675222067e-05,60270,4750
BTC,1h,10,2,20,3,-1.5632540612204806,-3.7969805611770546e-05,60270,2783
BTC,1h,10,2,20,5,0.3093274612843524,-4.11747624629033e-06,60270,2123
BTC,1h,10,2,20,10,1.6175775692442966,1.9432123441021076e-05,60270,1528
BTC,1h,10,2,30,1,-2.3978634133239725,-5.295720012044036e-05,60270,4458
BTC,1h,10,2,30,3,-1.5201651675956287,-3.7034405117819524e-05,60270,2653
BTC,1h,10,2,30,5,0.27526670506195616,-4.722952052782503e-06,60270,2022
BTC,1h,10,2,30,10,1.5370630735247102,1.7985237132700505e-05,60270,1496
BTC,1h,10,2,50,1,-2.1994616084129484,-4.933753512159633e-05,60270,4247
BTC,1h,10,2,50,3,-1.3413397173770305,-3.369902643524103e-05,60270,2563
BTC,1h,10,2,50,5,0.2876500818135444,-4.480707680554197e-06,60270,1989
