symbol,tf,er,fast,slow,lb,n_nb,frac_pos,nb_t
BTC,1h,15,3,30,10,6,1.0,"[1.56, 1.79, 1.85, 1.29, 1.99, 1.62]"
BTC,1h,15,3,50,10,5,1.0,"[1.32, 1.96, 2.11, 1.26, 1.56]"
BTC,1h,15,2,50,10,5,1.0,"[1.3, 1.79, 0.87, 1.99, 1.06]"
BTC,1h,15,2,20,10,5,1.0,"[1.62, 0.52, 1.79, 1.85, 1.53]"
BTC,1h,15,3,20,10,5,1.0,"[1.6, 1.9, 1.36, 2.11, 1.65]"
BTC,4h,5,2,30,10,5,1.0,"[2.87, 0.91, 2.87, 2.24, 2.32]"
BTC,4h,5,2,50,10,4,1.0,"[2.95, 0.85, 2.36, 2.44]"
BTC,4h,5,2,20,10,4,1.0,"[0.99, 2.95, 2.17, 2.29]"
BTC,4h,10,3,20,10,5,1.0,"[2.17, 2.29, 1.98, 2.34, 2.3]"
BTC,4h,15,3,50,5,6,1.0,"[2.22, 1.88, 2.37, 2.23, 2.29, 2.31]"
BTC,1d,5,2,50,10,4,1.0,"[2.62, 1.98, 2.35, 2.32]"
BTC,1d,5,3,20,10,4,1.0,"[2.47, 1.43, 2.5, 2.13]"
BTC,1d,5,2,30,10,5,1.0,"[2.47, 1.9, 2.79, 2.5, 2.35]"
BTC,1d,15,3,20,1,5,1.0,"[2.41, 1.88, 2.1, 1.94, 2.18]"
BTC,1d,5,3,30,10,5,1.0,"[2.62, 2.65, 1.59, 2.35, 2.03]"
ETH,1h,10,2,20,10,5,1.0,"[3.2, 2.08, 2.93, 2.47, 2.99]"
ETH,1h,5,2,50,10,4,1.0,"[2.99, 1.13, 2.89, 2.85]"
ETH,1h,5,2,20,10,4,1.0,"[1.42, 2.99, 2.82, 3.27]"
ETH,1h,15,2,30,10,6,1.0,"[2.93, 2.99, 2.66, 2.7, 2.44, 1.86]"
ETH,1h,15,2,20,10,5,1.0,"[3.27, 2.68, 3.12, 2.54, 1.83]"
ETH,4h,5,2,50,10,4,1.0,"[2.9, 1.9, 2.58, 2.14]"
ETH,4h,15,2,20,5,6,1.0,"[2.03, 2.42, 2.2, 2.74, 2.5, 2.55]"
ETH,4h,20,3,50,3,5,1.0,"[2.68, 2.34, 2.71, 2.29, 2.09]"
ETH,4h,15,2,50,5,6,1.0,"[2.45, 2.74, 2.54, 1.74, 2.63, 2.35]"
ETH,4h,5,2,30,10,5,1.0,"[2.87, 1.71, 3.06, 2.57, 2.28]"
ETH,1d,10,3,30,1,6,1.0,"[2.68, 2.51, 3.1, 3.27, 3.26, 3.04]"
ETH,1d,20,2,30,1,5,1.0,"[2.51, 2.8, 2.43, 3.03, 2.83]"
ETH,1d,10,3,30,3,7,1.0,"[3.09, 3.17, 3.2, 3.29, 2.8, 3.09, 2.84]"
ETH,1d,10,3,50,1,5,1.0,"[2.72, 2.51, 3.29, 3.09, 2.73]"
ETH,1d,20,3,20,1,4,1.0,"[3.1, 2.8, 2.46, 2.83]"
SOL,1h,20,3,50,10,4,1.0,"[2.37, 2.12, 2.05, 1.71]"
SOL,1h,10,3,50,10,5,1.0,"[2.27, 1.95, 2.49, 1.53, 2.37]"
SOL,1h,15,2,20,10,5,1.0,"[1.79, 1.48, 2.28, 2.26, 2.39]"
SOL,1h,10,3,30,10,6,1.0,"[2.27, 1.77, 2.41, 1.48, 2.58, 2.34]"
SOL,1h,20,3,20,10,4,1.0,"[2.26, 2.39, 2.08, 2.05]"
SOL,4h,15,2,20,10,5,1.0,"[2.59, 2.78, 3.11, 2.88, 3.23]"
SOL,4h,20,2,20,10,4,1.0,"[3.26, 2.56, 2.78, 3.1]"
SOL,4h,15,2,30,10,6,1.0,"[2.66, 3.26, 2.63, 2.88, 2.55, 2.78]"
SOL,4h,20,3,20,10,4,1.0,"[2.88, 3.23, 2.33, 2.78]"
SOL,4h,5,3,50,10,4,1.0,"[2.28, 2.81, 2.38, 2.47]"
SOL,1d,10,2,50,3,6,1.0,"[3.19, 3.32, 3.12, 2.7, 2.95, 2.73]"
SOL,1d,20,2,20,10,4,1.0,"[3.16, 2.74, 3.07, 2.64]"
SOL,1d,10,2,30,3,7,1.0,"[3.21, 3.23, 3.16, 2.87, 3.4, 2.95, 3.1]"
SOL,1d,5,3,50,1,4,1.0,"[2.72, 3.15, 2.95, 3.02]"
SOL,1d,5,2,20,3,5,1.0,"[2.73, 2.3, 3.21, 3.24, 3.23]"
