symbol,tf,er,fast,slow,lb,year,roll2y_t
BTC,1h,15,3,30,10,2019,
BTC,1h,15,3,30,10,2020,
BTC,1h,15,3,30,10,2021,2.4808121207421028
BTC,1h,15,3,30,10,2022,0.5493846958997266
BTC,1h,15,3,30,10,2023,0.5216298462952296
BTC,1h,15,3,30,10,2024,2.383386912064588
BTC,1h,15,3,30,10,2025,0.5537781471198588
BTC,1h,15,3,30,10,2026,-0.27657734888232066
BTC,1h,15,3,50,10,2019,
BTC,1h,15,3,50,10,2020,
BTC,1h,15,3,50,10,2021,2.435944257582951
BTC,1h,15,3,50,10,2022,0.4149005177039539
BTC,1h,15,3,50,10,2023,0.5045829811686078
BTC,1h,15,3,50,10,2024,2.337822435133391
BTC,1h,15,3,50,10,2025,0.2947259384186749
BTC,1h,15,3,50,10,2026,-0.5002231856866284
BTC,1h,15,2,50,10,2019,
BTC,1h,15,2,50,10,2020,
BTC,1h,15,2,50,10,2021,2.0389607986885654
BTC,1h,15,2,50,10,2022,0.4808534468064496
BTC,1h,15,2,50,10,2023,1.063004774835352
BTC,1h,15,2,50,10,2024,2.5855354142730516
BTC,1h,15,2,50,10,2025,0.29443483170540286
BTC,1h,15,2,50,10,2026,-0.6747248609401064
BTC,1h,15,2,20,10,2019,
BTC,1h,15,2,20,10,2020,
BTC,1h,15,2,20,10,2021,1.8693926709222357
BTC,1h,15,2,20,10,2022,0.34720446941340416
BTC,1h,15,2,20,10,2023,1.1056330747854002
BTC,1h,15,2,20,10,2024,2.7302822752264575
BTC,1h,15,2,20,10,2025,0.2529218667147313
BTC,1h,15,2,20,10,2026,-0.6126904528022534
BTC,1h,15,3,20,10,2019,
BTC,1h,15,3,20,10,2020,
BTC,1h,15,3,20,10,2021,2.1447640149871443
BTC,1h,15,3,20,10,2022,-0.016827585423712384
BTC,1h,15,3,20,10,2023,0.45266130838336
BTC,1h,15,3,20,10,2024,2.4386605446824365
BTC,1h,15,3,20,10,2025,0.5629251367643566
BTC,1h,15,3,20,10,2026,-0.27727606940375654
BTC,4h,5,2,30,10,2019,
BTC,4h,5,2,30,10,2020,
BTC,4h,5,2,30,10,2021,2.025029478360763
BTC,4h,5,2,30,10,2022,0.47023850294612946
BTC,4h,5,2,30,10,2023,1.1180563941872599
BTC,4h,5,2,30,10,2024,3.1722835414431265
BTC,4h,5,2,30,10,2025,1.941775198445599
BTC,4h,5,2,30,10,2026,1.1039316074941476
BTC,4h,5,2,50,10,2019,
BTC,4h,5,2,50,10,2020,
BTC,4h,5,2,50,10,2021,1.9233517851319277
BTC,4h,5,2,50,10,2022,0.41070622789296174
BTC,4h,5,2,50,10,2023,1.1785335433851831
BTC,4h,5,2,50,10,2024,3.2468138401041013
BTC,4h,5,2,50,10,2025,1.9314142872914473
BTC,4h,5,2,50,10,2026,0.9939961886967091
BTC,4h,5,2,20,10,2019,
BTC,4h,5,2,20,10,2020,
BTC,4h,5,2,20,10,2021,2.0227265900261364
BTC,4h,5,2,20,10,2022,0.44749459791919005
BTC,4h,5,2,20,10,2023,1.0258700355678998
BTC,4h,5,2,20,10,2024,3.0321921698071264
BTC,4h,5,2,20,10,2025,1.8607581027898255
BTC,4h,5,2,20,10,2026,1.1490850869231968
BTC,4h,10,3,20,10,2019,
BTC,4h,10,3,20,10,2020,
BTC,4h,10,3,20,10,2021,2.392796265208398
BTC,4h,10,3,20,10,2022,0.10844571842084719
BTC,4h,10,3,20,10,2023,0.8581023404321184
BTC,4h,10,3,20,10,2024,3.279719796436862
BTC,4h,10,3,20,10,2025,1.60331877854421
BTC,4h,10,3,20,10,2026,0.22240350351591034
BTC,4h,15,3,50,5,2019,
BTC,4h,15,3,50,5,2020,
BTC,4h,15,3,50,5,2021,2.1858377727420186
BTC,4h,15,3,50,5,2022,0.017924068166732022
BTC,4h,15,3,50,5,2023,0.7954612539921687
BTC,4h,15,3,50,5,2024,3.155407783605801
BTC,4h,15,3,50,5,2025,1.3759445411015117
BTC,4h,15,3,50,5,2026,0.1767269366904533
BTC,1d,5,2,50,10,2019,
BTC,1d,5,2,50,10,2020,
BTC,1d,5,2,50,10,2021,3.144951756889933
BTC,1d,5,2,50,10,2022,0.20166331526901723
BTC,1d,5,2,50,10,2023,-0.08163587762114115
BTC,1d,5,2,50,10,2024,2.4192693327948604
BTC,1d,5,2,50,10,2025,1.4194627101467383
BTC,1d,5,2,50,10,2026,0.8116764865623272
BTC,1d,5,3,20,10,2019,
BTC,1d,5,3,20,10,2020,
BTC,1d,5,3,20,10,2021,2.8887701069452527
BTC,1d,5,3,20,10,2022,0.3800472956141596
BTC,1d,5,3,20,10,2023,0.30467648083013904
BTC,1d,5,3,20,10,2024,2.1874122826997544
BTC,1d,5,3,20,10,2025,0.8195085792852341
BTC,1d,5,3,20,10,2026,0.6306030573928275
BTC,1d,5,2,30,10,2019,
BTC,1d,5,2,30,10,2020,
BTC,1d,5,2,30,10,2021,2.932922702459429
BTC,1d,5,2,30,10,2022,0.013541095793105286
BTC,1d,5,2,30,10,2023,-0.1292915548107024
BTC,1d,5,2,30,10,2024,2.387137361597167
BTC,1d,5,2,30,10,2025,1.4196255394486341
BTC,1d,5,2,30,10,2026,0.8123037890097003
BTC,1d,15,3,20,1,2019,
BTC,1d,15,3,20,1,2020,
BTC,1d,15,3,20,1,2021,3.001786522151569
BTC,1d,15,3,20,1,2022,0.40772591301609135
BTC,1d,15,3,20,1,2023,0.4647008367789458
BTC,1d,15,3,20,1,2024,1.8624473231840482
BTC,1d,15,3,20,1,2025,0.6594572678842004
BTC,1d,15,3,20,1,2026,0.2841536420983455
BTC,1d,5,3,30,10,2019,
BTC,1d,5,3,30,10,2020,
BTC,1d,5,3,30,10,2021,2.8329249277030573
BTC,1d,5,3,30,10,2022,0.12234156332091897
BTC,1d,5,3,30,10,2023,-0.12154413183483682
BTC,1d,5,3,30,10,2024,2.2227883149787897
BTC,1d,5,3,30,10,2025,0.9769500015224981
BTC,1d,5,3,30,10,2026,0.6218583241718415
ETH,1h,10,2,20,10,2019,
ETH,1h,10,2,20,10,2020,
ETH,1h,10,2,20,10,2021,3.688429785027436
ETH,1h,10,2,20,10,2022,1.7230552879472232
ETH,1h,10,2,20,10,2023,0.9407188216543264
ETH,1h,10,2,20,10,2024,1.5511452490617912
ETH,1h,10,2,20,10,2025,0.5775101548688811
ETH,1h,10,2,20,10,2026,0.6447598807906831
ETH,1h,5,2,50,10,2019,
ETH,1h,5,2,50,10,2020,
ETH,1h,5,2,50,10,2021,3.5714545173565795
ETH,1h,5,2,50,10,2022,1.9384036527748714
ETH,1h,5,2,50,10,2023,0.8520908310945422
ETH,1h,5,2,50,10,2024,1.5628878011824612
ETH,1h,5,2,50,10,2025,0.9706908851687353
ETH,1h,5,2,50,10,2026,0.6566746274509901
ETH,1h,5,2,20,10,2019,
ETH,1h,5,2,20,10,2020,
ETH,1h,5,2,20,10,2021,3.6635268232155003
ETH,1h,5,2,20,10,2022,1.9453235833929694
ETH,1h,5,2,20,10,2023,0.6989419510308357
ETH,1h,5,2,20,10,2024,1.347174614263158
ETH,1h,5,2,20,10,2025,0.9535773390063084
ETH,1h,5,2,20,10,2026,0.6651235666392191
ETH,1h,15,2,30,10,2019,
ETH,1h,15,2,30,10,2020,
ETH,1h,15,2,30,10,2021,3.307933401192929
ETH,1h,15,2,30,10,2022,1.6511343952467645
ETH,1h,15,2,30,10,2023,1.1477066128584672
ETH,1h,15,2,30,10,2024,2.020854667318373
ETH,1h,15,2,30,10,2025,0.5510553767638979
ETH,1h,15,2,30,10,2026,0.19496486031699295
ETH,1h,15,2,20,10,2019,
ETH,1h,15,2,20,10,2020,
ETH,1h,15,2,20,10,2021,3.113811179644158
ETH,1h,15,2,20,10,2022,1.6747479187893328
ETH,1h,15,2,20,10,2023,1.3177223246133
ETH,1h,15,2,20,10,2024,1.8084467929615047
ETH,1h,15,2,20,10,2025,0.3256953005564822
ETH,1h,15,2,20,10,2026,0.21222918861257842
ETH,4h,5,2,50,10,2019,
ETH,4h,5,2,50,10,2020,
ETH,4h,5,2,50,10,2021,3.1665552341598207
ETH,4h,5,2,50,10,2022,0.966364365032929
ETH,4h,5,2,50,10,2023,-0.07092102200780334
ETH,4h,5,2,50,10,2024,1.7310759571663679
ETH,4h,5,2,50,10,2025,1.8913770341876395
ETH,4h,5,2,50,10,2026,1.0331297046154888
ETH,4h,15,2,20,5,2019,
ETH,4h,15,2,20,5,2020,
ETH,4h,15,2,20,5,2021,3.1324878576558035
ETH,4h,15,2,20,5,2022,1.5952704491357579
ETH,4h,15,2,20,5,2023,0.5554454001248518
ETH,4h,15,2,20,5,2024,1.6140622070874273
ETH,4h,15,2,20,5,2025,1.4601268634881093
ETH,4h,15,2,20,5,2026,0.23260522831651856
ETH,4h,20,3,50,3,2019,
ETH,4h,20,3,50,3,2020,
ETH,4h,20,3,50,3,2021,3.2097859021854247
ETH,4h,20,3,50,3,2022,1.7754310874437544
ETH,4h,20,3,50,3,2023,0.667256015979126
ETH,4h,20,3,50,3,2024,1.634725235313578
ETH,4h,20,3,50,3,2025,1.0037251241639145
