lookback,thr,is_sharpe,oos_sharpe,is_ann,oos_ann,n_entries,cost_per_entry_pct,mean_gross_per_entry,cost_cap_ratio
60,0.5,-599.554957036559,-548.3364782616965,-387.6930903995059,-369.47888816091773,46123,0.0017828427124746192,0.0002973585176353514,0.16678898006802417
60,1.0,-390.065275335397,-365.52841982103797,-211.89445990361963,-204.91677562947658,25463,0.0017828427124746192,0.0002784005127740082,0.15615539768372672
60,1.5,-287.2489929199616,-268.47736214237693,-128.4232895738989,-123.56951906352839,15476,0.0017828427124746192,0.0002828379811930175,0.15864438248757964
60,2.0,-226.9619814385369,-209.43519325990775,-84.67411233424129,-80.01537945326442,10179,0.0017828427124746192,0.00029218739380950607,0.1638884864969072
60,2.5,-185.02570762766965,-170.42356013425294,-58.39146511399145,-54.40769538244689,7012,0.0017828427124746192,0.00030158884948898674,0.16916178156309467
60,3.0,-154.16149835606328,-143.87807268413948,-41.65672604796571,-39.92866910737434,5082,0.0017828427124746192,0.0003125853996269697,0.17532976826267263
120,0.5,-551.2570951511291,-498.9992376183778,-349.11541231903277,-328.91714690464886,41396,0.0017828427124746192,0.00030085391406283667,0.16874955483046836
120,1.0,-354.8730655017944,-329.83914354157696,-183.26074020304404,-175.69114188090012,22026,0.0017828427124746192,0.00029329400774843735,0.1645091884417217
120,1.5,-261.9263867709674,-245.6482569924958,-109.50924766367403,-106.1698647029362,13324,0.0017828427124746192,0.0003001807240814451,0.16837196123980483
120,2.0,-206.96026228177976,-192.80877961446672,-71.86723228025119,-69.73698281465397,8809,0.0017828427124746192,0.0003131751984537023,0.1756605875899222
120,2.5,-172.18747060084627,-158.05100033586078,-51.508529937673806,-48.80061083071116,6256,0.0017828427124746192,0.0003239729092018385,0.18171704488286464
120,3.0,-146.1144607817926,-134.0447532279288,-38.00339781395943,-35.771833117374946,4615,0.0017828427124746192,0.0003363092022025202,0.1886364960012186
240,0.5,-503.71092023711793,-457.4250393344509,-311.04662527749963,-293.0178713087166,36995,0.0017828427124746192,0.00031158017479485854,0.17476593566820003
240,1.0,-322.3850512307829,-300.45891707804475,-157.2344212459449,-152.4322336023667,19146,0.0017828427124746192,0.00031458136027569857,0.17644930653419993
240,1.5,-240.94768365254407,-221.12444076896128,-94.7391791971148,-90.23285379517566,11523,0.0017828427124746192,0.00032823292476409584,0.18410649602875082
240,2.0,-192.20124977518446,-176.48888807163095,-62.96322007672578,-60.520244321676074,7706,0.0017828427124746192,0.00034040138711130666,0.19093181060197012
240,2.5,-160.2984959903834,-147.03487090697433,-44.90281891338857,-43.64945880542513,5565,0.0017828427124746192,0.00035477950250741,0.1989965239361858
240,3.0,-136.0069658202429,-125.14806457428715,-33.19381790023041,-32.60085706253178,4143,0.0017828427124746192,0.00036895595401812347,0.20694812359863515
480,0.5,-462.91837262973326,-415.0909706240783,-277.7412112032178,-258.46745700573047,33010,0.0017828427124746192,0.00032898056307472295,0.18452584783437892
480,1.0,-295.09785556211153,-270.1667822093663,-135.96324761731245,-129.89733887865566,16592,0.0017828427124746192,0.00034294387742645876,0.19235789844323745
480,1.5,-223.71196155214085,-201.3504176417491,-83.27153003318533,-78.63752255317205,10184,0.0017828427124746192,0.0003587102935490793,0.2012013123979864
480,2.0,-178.79900328279447,-161.6337330446912,-55.2878379134794,-52.889322997807966,6831,0.0017828427124746192,0.00037176582756929546,0.20852418722528668
480,2.5,-147.99344852274496,-137.90817772235553,-38.87314682700184,-39.558666391047154,4969,0.0017828427124746192,0.00038469528356902465,0.2157763446417886
480,3.0,-127.24598049628648,-117.01825312263281,-29.146578115018794,-29.787898781922998,3749,0.0017828427124746192,0.0004062514913971286,0.22786726420371872
1440,0.5,-416.42204089275697,-382.55523516613397,-239.2810434648578,-229.9532886887116,29017,0.0017828427124746192,0.0003478454058025467,0.19510717539391387
1440,1.0,-264.84065135977215,-242.5269980343325,-113.37067023209632,-109.8162085511706,14036,0.0017828427124746192,0.0003733567930657164,0.2094165629156877
1440,1.5,-196.79383559231943,-180.44319786830482,-66.48666497238935,-65.48106123314037,8380,0.0017828427124746192,0.00039780020351610107,0.22312692013304242
1440,2.0,-156.27109184359134,-143.16562671517767,-43.320499797554845,-43.316012243265796,5517,0.0017828427124746192,0.00041425886971211296,0.23235861852171685
1440,2.5,-129.98486850617653,-119.54893594614764,-30.636584305655393,-31.53956882757367,3990,0.0017828427124746192,0.0004324273005110318,0.24254932725434572
1440,3.0,-110.57274600062213,-102.94015663390613,-22.702067527408854,-24.063182230230048,3010,0.0017828427124746192,0.0004489608744726443,0.25182304155674967
