lookback,thr,hold_bars,is_sharpe,oos_sharpe,is_ann,oos_ann,oos_n,n_entries_total,cost_per_entry
60,0.3,1,-450.7533995025442,-397.25955901321345,-275.42827963834816,-257.0414535787593,0,34469,0.0017828427124746192
60,0.3,5,-310.508836307372,-296.3924682808172,-141.99917145175988,-138.38610025397097,0,17210,0.0017828427124746192
60,0.3,15,-181.3816279700261,-171.43165816351484,-53.865677907298284,-52.280474187937784,0,6502,0.0017828427124746192
60,0.3,60,-90.47357729202874,-88.61953223791261,-14.036292725320298,-13.954744871185273,0,1717,0.0017828427124746192
60,0.3,240,-45.459330384527135,-44.191924048962434,-3.6219193503300815,-3.5188905664270065,0,436,0.0017828427124746192
60,0.5,1,-377.9962569636275,-337.0279329184263,-207.28380387963068,-193.1379154700532,0,26113,0.0017828427124746192
60,0.5,5,-277.1795557752421,-264.15017345794433,-116.823389110681,-112.10780269569089,0,14268,0.0017828427124746192
60,0.5,15,-171.79066462628276,-162.49128617869263,-48.469538421437164,-47.11833501299669,0,5946,0.0017828427124746192
60,0.5,60,-89.37432907760841,-83.96207055419482,-13.414604344431922,-12.970999887512521,0,1675,0.0017828427124746192
60,0.5,240,-44.92226176815989,-43.86016791879753,-3.513282306151901,-3.4445949269422322,0,433,0.0017828427124746192
60,0.7,1,-316.72688663386094,-286.03332549834613,-154.27836763051505,-145.84346406967384,0,19688,0.0017828427124746192
60,0.7,5,-244.9472985573148,-233.53048679594633,-93.49596038242505,-89.94551566773723,0,11633,0.0017828427124746192
60,0.7,15,-161.6099942329539,-153.7395677925856,-42.92003007172458,-41.674228179877176,0,5355,0.0017828427124746192
60,0.7,60,-87.28162101753513,-81.04271643844018,-13.017213828572949,-12.286983482298666,0,1620,0.0017828427124746192
60,0.7,240,-44.87227719012317,-43.153884159099924,-3.3774136306117577,-3.362152290479544,0,429,0.0017828427124746192
60,1.0,1,-256.1466859020702,-229.53980239174012,-105.510211196821,-99.28334491535537,0,13571,0.0017828427124746192
60,1.0,5,-209.7329350749598,-198.88399847088704,-70.57794627727924,-67.6883734343958,0,8842,0.0017828427124746192
60,1.0,15,-148.04738723318758,-140.981863154717,-36.16216980210862,-35.401634596619395,0,4578,0.0017828427124746192
60,1.0,60,-84.80859856113086,-77.98067898527607,-12.052839538900049,-11.409509002379286,0,1534,0.0017828427124746192
60,1.0,240,-43.59064287082724,-41.44332018938814,-3.3229649150785434,-3.3230249912155854,0,423,0.0017828427124746192
60,1.5,1,-190.4920108218862,-167.81917530284272,-61.77936102253083,-57.2655985865973,0,8019,0.0017828427124746192
60,1.5,5,-167.54464599910045,-156.1392493548213,-46.42133487686739,-44.00554691436041,0,5898,0.0017828427124746192
60,1.5,15,-128.47894628141628,-120.64791792019473,-27.57077914971158,-26.46638354572639,0,3526,0.0017828427124746192
60,1.5,60,-80.62109448740138,-72.75620188810429,-11.091451858122761,-10.291132926236518,0,1411,0.0017828427124746192
60,1.5,240,-42.680354751546936,-41.13715189804898,-3.1890502182405274,-3.033078166912075,0,411,0.0017828427124746192
60,2.0,1,-151.13915906366825,-129.67346282551887,-40.04871020367032,-36.050478163640314,0,5210,0.0017828427124746192
60,2.0,5,-138.6935577042987,-125.75120251027356,-32.475955555128856,-29.455456044313593,0,4144,0.0017828427124746192
60,2.0,15,-113.55848245877546,-103.68433859937127,-21.755021066211057,-20.080577246221015,0,2788,0.0017828427124746192
60,2.0,60,-76.75118192875986,-68.84219745660546,-9.988242622418738,-9.208500501859035,0,1283,0.0017828427124746192
60,2.0,240,-42.40303231547128,-39.98624959030801,-3.08822694360083,-2.981972027890217,0,403,0.0017828427124746192
240,0.3,1,-407.2597009249804,-356.7806187094238,-236.25777370389022,-217.1931298798829,0,29589,0.0017828427124746192
240,0.3,5,-290.80115563891894,-276.07721946536293,-127.14585511870945,-121.98127193950339,0,15409,0.0017828427124746192
240,0.3,15,-176.37106806505832,-168.37283394169737,-50.9337925963651,-48.74485180655317,0,6181,0.0017828427124746192
240,0.3,60,-89.72171865325028,-86.33306845294483,-14.000984699770093,-13.247593963436273,0,1688,0.0017828427124746192
240,0.3,240,-45.19206532724761,-43.052589580277534,-3.5083801585502146,-3.3639438048156856,0,434,0.0017828427124746192
240,0.5,1,-324.05962450743255,-284.44825617247534,-161.9089949050561,-149.12463598489012,0,20559,0.0017828427124746192
240,0.5,5,-250.09310588483356,-234.23098073163203,-97.10314587571605,-91.48063399026198,0,11917,0.0017828427124746192
240,0.5,15,-163.35219651739737,-152.75859673346184,-43.95886509252419,-41.76786139041164,0,5409,0.0017828427124746192
240,0.5,60,-87.95853466566729,-84.47376736647216,-13.168032048316537,-12.527423148420676,0,1617,0.0017828427124746192
240,0.5,240,-45.11128308786505,-43.11365095462646,-3.524942905651247,-3.35557224950906,0,429,0.0017828427124746192
240,0.7,1,-268.4697819711377,-235.19567873973384,-116.20532814336259,-107.7420664156683,0,15028,0.0017828427124746192
240,0.7,5,-217.62064158590303,-204.34666051830106,-75.09108453517149,-71.35468659773986,0,9430,0.0017828427124746192
240,0.7,15,-150.63128608730514,-140.97772953801237,-37.34009008736253,-36.01836784289184,0,4711,0.0017828427124746192
240,0.7,60,-85.55359755787786,-78.51345460207621,-12.379065316251307,-11.826210739089039,0,1545,0.0017828427124746192
240,0.7,240,-44.14067724152994,-42.301825994424206,-3.3607998802971197,-3.261920247110166,0,423,0.0017828427124746192
240,1.0,1,-213.17353140529767,-187.13640751518133,-77.05845904811122,-72.11516940538513,0,10144,0.0017828427124746192
240,1.0,5,-182.3265990523377,-170.73268805609047,-54.562421436959745,-51.927395924547454,0,6961,0.0017828427124746192
240,1.0,15,-134.96791182411957,-125.542283866362,-30.468929908124466,-28.595534304922836,0,3846,0.0017828427124746192
240,1.0,60,-80.89418956343897,-72.81985701874795,-11.149583306430692,-10.099982571637089,0,1408,0.0017828427124746192
240,1.0,240,-43.59954702451181,-38.7540301839987,-3.2236162084102657,-2.815271227191759,0,411,0.0017828427124746192
240,1.5,1,-160.73646782479474,-135.9072862229208,-45.406982754729725,-41.00856650375142,0,5995,0.0017828427124746192
240,1.5,5,-142.85117011885893,-132.75052125325826,-34.67939334157868,-32.92562856283319,0,4495,0.0017828427124746192
240,1.5,15,-112.89036901597179,-103.72702153479018,-21.710096381940478,-20.201344426531882,0,2814,0.0017828427124746192
240,1.5,60,-73.92331582504768,-68.59465109239102,-9.436587656672058,-8.46003568844176,0,1214,0.0017828427124746192
240,1.5,240,-42.10981594716769,-40.44686717583998,-2.9514864108415524,-2.834455674641693,0,393,0.0017828427124746192
240,2.0,1,-127.98533155991657,-107.45805495498438,-29.71257086637226,-27.091943462776957,0,3966,0.0017828427124746192
240,2.0,5,-117.29752988401823,-107.72155008636251,-24.020369972661587,-22.459950212080035,0,3135,0.0017828427124746192
240,2.0,15,-96.59578087727279,-89.33584435101433,-16.301221971240373,-15.17672311192726,0,2144,0.0017828427124746192
240,2.0,60,-67.9584330858751,-62.32651903907565,-8.073669535146893,-7.284293649652363,0,1050,0.0017828427124746192
240,2.0,240,-40.57866178454964,-38.75115354891546,-2.845929288733275,-2.5903466236274215,0,368,0.0017828427124746192
1440,0.3,1,-353.86384629449304,-309.32152836751516,-189.72325372654703,-176.09729838169733,0,24246,0.0017828427124746192
1440,0.3,5,-266.5977868562937,-252.79712633398853,-108.39518522595928,-105.09275393454278,0,13405,0.0017828427124746192
1440,0.3,15,-168.44152021509214,-160.1223237457969,-46.65954570404085,-44.64854973142627,0,5734,0.0017828427124746192
1440,0.3,60,-88.66446754220698,-84.47917438920702,-13.309475752730005,-12.904796397171934,0,1646,0.0017828427124746192
1440,0.3,240,-43.77614124689307,-42.482798359010495,-3.4037506318493596,-3.3939762483193294,0,429,0.0017828427124746192
1440,0.5,1,-271.65413936558747,-237.65789899422467,-122.00341852882269,-114.13982608636037,0,15943,0.0017828427124746192
1440,0.5,5,-220.71524723917432,-208.29118277921688,-77.66314607541072,-75.40418845039846,0,9812,0.0017828427124746192
1440,0.5,15,-151.84125604934977,-142.40361973134327,-38.20219637960208,-36.96316991463913,0,4807,0.0017828427124746192
1440,0.5,60,-84.34572900293085,-81.23346375035453,-12.199845797448774,-11.914696659243157,0,1536,0.0017828427124746192
1440,0.5,240,-44.374924008320235,-42.23191407274477,-3.372770074493712,-3.281136693918888,0,421,0.0017828427124746192
1440,0.7,1,-221.599320137139,-190.87199204380903,-84.40820412370665,-78.828284467868,0,11237,0.0017828427124746192
1440,0.7,5,-188.51012419503317,-176.4274451353237,-58.38172395315187,-56.091406869201634,0,7477,0.0017828427124746192
