autopilot_id	project_id	status	title
2f3b29f8-e3fe-4334-899b-393ba10f13dd		active	Graph Janitor (hourly)
0fc298fa-22b7-4b33-bca7-14cb4beb12e5		active	Idle Agent Dispatcher (3m)
7bec3e1d-2c9b-4459-8bb8-719c411c8b0f		active	Daily Done-Sweeper (4am)
f28065af-5f3c-4781-8ca8-6de40cd158c5		active	strategy-archiver (Sun 9am weekly)
6d21c674-1b16-4538-903d-19f663125eb0		active	campaign-tree-builder (every 6h)
d1dde106-b08a-452e-b48b-7b4c450afec9		active	smark-decision-loop
a135fafc-3fab-471b-a34b-eba19983bd4a		active	Workspace-Pruner (daily 03:17)
f09360d0-3b93-4098-ad3b-4c52edc86597		active	Error-Pattern-Recorder (*/30 * * * *)
c8ec222b-1f58-429a-b58d-7014da99f395		paused	DB-POOL-MONITOR (*/2 * * * *)
58578d84-2918-480e-906e-3c8ff179c697		active	REGRESSION-TEST (daily 04:23)
5b45bbfe-ff80-45c5-baab-58f9f9c0db9d		paused	DEPLOY-FAIL-DETECT (* * * * *)
0b51b7d3-465d-4041-8fa9-df49340f4e8e		active	Multica Dispatch (5m unified)
a66b4ecf-53b5-4aee-a5d6-a81e58cbf7b6		active	publish-gate hourly (53 * * * *)
51e7cb03-f866-47ae-95f2-86d94f23ffa3		active	framework-validate hourly (37 * * * *)
46cdec29-3806-45d3-96b0-7517361993f7		active	Strategy Portfolio Diversity Watchdog (1d)
54fc7cf0-4cc6-49b3-a954-94f786d38134		active	GitHub Strategy Watcher (6h)
a82211f2-1d05-4869-bdba-e6888a19b112		active	Issue-Graph Generator (1d)
e52d73e2-7be2-4d98-b4de-38c03bf18854		active	Product Triage Weekly Priority Scan (Mon 09:00)
0a3a88fd-152d-4b82-8173-19bb7e632088		active	in_review Triage (daily 0:10)
097ecba9-3e39-43d5-b929-9cf5fc398996		active	Human Escalation Router
1035ba96-e805-4ae9-8551-684ac7cbeea3	399861eb-fd1d-4a4a-a165-aacacad3ab14	active	Evidence Review Gate (30m)
e0cf0df4-33f0-4b17-bddb-130f5a7af6c7	399861eb-fd1d-4a4a-a165-aacacad3ab14	active	Cross-Project Agent Intel Sync (2h)
9fc1f2bd-3cb9-4d46-aa70-46d73afd873b	399861eb-fd1d-4a4a-a165-aacacad3ab14	active	Workspace Queue Balancer (30m)
