identifier	project_id	status
SMA-35060	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35047		done
SMA-35043	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35041	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35033	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35026		done
SMA-35023		done
SMA-34996		done
SMA-34980	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34969		done
SMA-34963		done
SMA-34331	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-34206	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-33955	915627d9-d97a-440d-9e50-47c46dcb0eb6	cancelled
SMA-33881	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	cancelled
SMA-33688	915627d9-d97a-440d-9e50-47c46dcb0eb6	cancelled
SMA-33541	915627d9-d97a-440d-9e50-47c46dcb0eb6	cancelled
SMA-33540	915627d9-d97a-440d-9e50-47c46dcb0eb6	cancelled
SMA-32681	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-32281	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
SMA-32271	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-32270	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-32267	d1f4d321-98ed-459d-b3d4-ceacbde591ab	cancelled
SMA-32269	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-32266	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-32268	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-32265	d1f4d321-98ed-459d-b3d4-ceacbde591ab	done
SMA-34940	ba6b1beb-575f-4959-b19a-c5ff2c72cb0e	done
SMA-35055		backlog
SMA-35006	915627d9-d97a-440d-9e50-47c46dcb0eb6	backlog
SMA-35005	915627d9-d97a-440d-9e50-47c46dcb0eb6	done
