pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T00:17:00,59609.83,216.083,2021-11-21T00:18:00,59583.47,215.793,-0.0016998679427247857,2,2.787970857665221,3.093025182516753,,0,regime_break
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T00:19:00,59555.0,215.903,2021-11-21T00:31:00,59531.86,215.45,-0.0025096160528433656,13,2.663535452113196,3.002078210614366,,0,regime_break
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T00:32:00,59478.38,215.361,2021-11-21T04:02:00,58748.7,212.115,-0.0036043797390201463,211,2.77147756674871,0.3645902173168931,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T07:36:00,59160.95,214.928,2021-11-21T07:37:00,59123.07,214.904,-0.0013286219146145576,2,-3.164976844423201,-3.4066593915699954,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T07:38:00,59091.75,214.918,2021-11-21T07:39:00,59067.75,214.754,-0.0004430663328559341,2,-3.6513749671304465,-3.3937625527227717,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T07:40:00,59042.08,214.669,2021-11-21T07:41:00,59037.33,214.607,-0.0005916343587547328,2,-3.3586829191671703,-3.1931182556234945,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T07:42:00,59059.1,214.946,2021-11-21T07:43:00,59059.99,215.012,-0.0010919842141213546,2,-3.7350230993737314,-3.791938331274504,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T07:44:00,59073.42,214.847,2021-11-21T07:45:00,59093.58,214.91,-0.000751961691578406,2,-3.2349152584217262,-3.147061832715261,,0,regime_break
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T11:10:00,59255.53,212.912,2021-11-21T11:37:00,58745.51,212.057,0.003791385563799233,28,2.6118371150555952,0.40014186499743964,,0,z_mean_revert
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T13:58:00,58842.02,211.14,2021-11-21T14:24:00,58864.69,212.013,0.002949428462628046,27,2.503304105419754,0.24419417117469977,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T15:36:00,59137.66,214.3,2021-11-21T15:39:00,59137.45,214.637,-0.002376112865894319,4,-2.5419594134412495,-3.085316863241122,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T15:40:00,59159.22,214.87,2021-11-21T15:41:00,59175.81,214.903,-0.0006731515743282117,2,-3.307674082562592,-3.173272944550649,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T15:42:00,59255.25,215.39,2021-11-21T15:43:00,59229.68,215.2,-0.00034940214110155065,2,-3.456916061658893,-3.1901238758978514,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T15:44:00,59233.75,215.212,2021-11-21T16:00:00,59324.52,216.058,-0.0031986041628571985,17,-3.114945538619931,-3.1944386341238453,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T16:01:00,59308.03,216.455,2021-11-21T16:02:00,59315.96,216.501,-0.0008788065965133811,2,-3.7436000191677343,-3.6472665246878853,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T16:03:00,59348.02,216.489,2021-11-21T16:04:00,59340.71,216.79,-0.0023135426320677103,2,-3.369600893355494,-3.693586230529156,,0,regime_break
