rt_bps_total,sharpe_daily,annualized_return,max_drawdown_pct,profit_factor,n_trades,win_rate,calmar,sortino,gates_passed,failed_gates
0,1.451230030559735,0.27185874630468265,-0.13396384552627646,1.2336933757739772,39617,0.5617433414043583,2.0293441505555965,1.8643088400363335,False,"G4,G6,G7"
2,1.4013244571987193,0.26077274393377325,-0.13526218402344534,1.224866956314279,39617,0.5599273607748184,1.9279057618097668,1.8002379166016624,False,"G4,G6,G7"
4,1.3514401012883304,0.24978306010622964,-0.13672740015906992,1.2161044561045795,39617,0.5599273607748184,1.826869082682986,1.7362630894805995,False,"G4,G6,G7"
6,1.3015771275128325,0.23888886067966641,-0.1381901808966912,1.2074031919855115,39617,0.5562953995157385,1.728696345352178,1.6721632339033565,False,"G4,G6,G7"
8,1.251735700092648,0.22808931871218618,-0.1396505302061263,1.1987612177448974,39617,0.5544794188861986,1.633286449937017,1.6081914183413688,False,"G4,G6,G7"
10,1.2019159827822006,0.21738361440043796,-0.14110845205084213,1.1901796923934418,39617,0.5526634382566586,1.540542832417391,1.5442552295615881,False,"G4,G6,G7"
12,1.1521181388678294,0.20677093501817967,-0.14256395038797545,1.181659510496694,39617,0.5520581113801453,1.4503732146553912,1.4803726610247112,False,"G4,G6,G7"
14,1.102342331165667,0.19625047485539415,-0.14401702916833442,1.1731993189334633,39617,0.5478208232445521,1.3626893707549448,1.4164549312656325,False,"G4,G6,G7"
16,1.0525887220196286,0.1858214351579115,-0.14546769233641482,1.164798993977381,39617,0.5472154963680388,1.2774069085262787,1.3526220829574345,False,"G4,G6,G7"
18,1.0028574732992879,0.17548302406754535,-0.14691594383040946,1.156460904593496,39617,0.5472154963680388,1.1944450649285003,1.2888154537027132,False,"G4,G6,G7"
20,0.9531487463979357,0.16523445656276503,-0.1483617875822141,1.1481850673385408,39617,0.5466101694915254,1.1137265144584552,1.225009545692057,False,"G1,G4,G6,G7"
22,0.9034627022304561,0.15507495439984198,-0.14980522751744058,1.139968912675992,39617,0.5447941888619855,1.0351771895395834,1.1611968178479728,False,"G1,G4,G6,G7"
24,0.853799501231413,0.14500374605454036,-0.15124626755542728,1.1318121967736043,39617,0.5429782082324455,0.9587261120437288,1.0974091756726767,False,"G1,G2,G4,G6,G7"
26,0.804159303353112,0.13502006666427824,-0.15268491160924227,1.123713222051066,39617,0.5411622276029056,0.8843052351487575,1.033658155921623,False,"G1,G2,G4,G6,G7"
28,0.7545422680635405,0.1251231579707961,-0.15412116358570538,1.1156733044143894,39617,0.5399515738498789,0.8118492947999075,0.9699402417344483,False,"G1,G2,G4,G6,G7"
30,0.7049485543444689,0.11531226826330876,-0.1555550273853852,1.1076923660766202,39617,0.538135593220339,0.7412956701015158,0.9062308564889684,False,"G1,G2,G4,G6,G7"
32,0.6553783206896232,0.10558665232217201,-0.1569865069026184,1.0997687283340878,39617,0.5369249394673123,0.6725842520189926,0.8425629097261217,False,"G1,G2,G4,G6,G7"
34,0.6058317251026505,0.0959455713629851,-0.16024465662933027,1.0919027706785258,39617,0.534503631961259,0.5987442787869144,0.7789025536895947,False,"G1,G2,G4,G6,G7"
36,0.5563089250953639,0.08638829298122697,-0.16570562710725364,1.0840945336182677,39617,0.5338983050847458,0.521335904454903,0.7152892814428272,False,"G1,G2,G4,G6,G7"
38,0.5068100776858199,0.07691409109732339,-0.17113125124614978,1.0763443252996636,39617,0.5326876513317191,0.4494450343654216,0.6516845464816116,False,"G1,G2,G4,G6,G7"
40,0.4573353393965078,0.06752224590221312,-0.17652175674917184,1.0686511424541594,39617,0.5308716707021792,0.3825151479664838,0.5880941855108054,False,"G1,G2,G4,G6,G7"
42,0.40788486625245546,0.058212043803348434,-0.18187736985952815,1.061014315283799,39617,0.5290556900726392,0.3200620497663241,0.5245307546050956,False,"G1,G2,G4,G6,G7"
44,0.358458813779632,0.048982777371227915,-0.18719831536979578,1.05343355047895,39617,0.5272397094430993,0.26166249025514055,0.4609940550455227,False,"G1,G2,G4,G6,G7"
46,0.30905733700291665,0.03983374528628669,-0.19248481663118414,1.0459085774428012,39617,0.5266343825665859,0.20694486964450418,0.39749341379614334,False,"G1,G2,G4,G6,G7"
48,0.25968059044453545,0.030764252286338944,-0.1977370955627304,1.0384394998112525,39617,0.524818401937046,0.15558159281539183,0.33400375695495643,False,"G1,G2,G4,G6,G7"
50,0.21032872812221923,0.02177360911440429,-0.2029553726604409,1.0310257380801955,39617,0.5236077481840193,0.10728274314192768,0.2705430564630778,False,"G1,G2,G4,G6,G7"
52,0.16100190354749372,0.012861132467014924,-0.20832842908586363,1.023666980684152,39617,0.5230024213075061,0.06173488910490532,0.20710947151818257,False,"G1,G2,G4,G6,G7"
54,0.11170026972405196,0.0040261449429690455,-0.21642318456394796,1.0163627199880323,39617,0.5211864406779662,0.0186031129293332,0.14369443072575977,False,"G1,G2,G4,G6,G7"
56,0.062423979146005455,-0.004732025007503804,-0.2244354167803558,1.009112616672775,39617,0.5199757869249395,-0.021084127787793894,0.08030846071674487,False,"G1,G2,G4,G6,G7"
58,0.013173183796260837,-0.01341404313310457,-0.23314151312778814,1.0019163566940905,39617,0.5199757869249395,-0.05753605590503371,0.01694885618462153,False,"G1,G2,G4,G6,G7"
60,-0.03605196485524355,-0.022020569431450254,-0.24374675756930148,0.9947734894648783,39617,0.5181598062953995,-0.09034199942204121,-0.046386214046794605,False,"G1,G2,G4,G6,G7"
