offset_bps,patience_bars,maker_fee_bps,taker_fee_bps,taker_slip_bps,queue_mult,n_sampled,skipped,fill_rate,avg_rt_bps,trade_win_rate,trade_pf,sharpe_daily_interp,annualized_return_interp
0.0,1,0.0,4.0,2.0,1.0,4518,0,0.6591965471447543,0.7804068236281206,0.399734395750332,0.9887973997051991,1.4317567055657296,0.26753295035617497
0.0,1,0.0,4.0,2.0,10.0,4518,0,0.6590305444887118,0.7854256553709125,0.399734395750332,0.9881730303692218,1.4316314717278664,0.2675051309658751
0.0,1,0.5,4.0,2.0,1.0,4518,0,0.6591965471447543,2.0987999179176295,0.35502434705621955,0.840281606770313,1.398860172064059,0.26022985400372217
0.0,1,0.5,4.0,2.0,10.0,4518,0,0.6590305444887118,2.1034867443483365,0.35502434705621955,0.8397941545601292,1.3987432724051791,0.26020410063340815
0.0,1,1.0,4.0,2.0,1.0,4518,0,0.6591965471447543,3.417193012207139,0.31894643647631693,0.7191902989087187,1.3659765768913907,0.2529854923703929
0.0,1,1.0,4.0,2.0,10.0,4518,0,0.6590305444887118,3.42154783332576,0.31894643647631693,0.7188058530500744,1.365867958168087,0.2529615633167833
0.0,1,2.0,4.0,2.0,1.0,4518,0,0.6591965471447543,6.053979200786157,0.2822045152722444,0.5380199480865476,1.300231927303741,0.23859738535753583
0.0,1,2.0,4.0,2.0,10.0,4518,0,0.6590305444887118,6.057670011280608,0.2822045152722444,0.5377725208084237,1.3001399496720507,0.2385774558261214
0.0,2,0.0,4.0,2.0,1.0,4518,0,0.6624059318282426,0.7259253554700711,0.3995130588756087,0.9956077756430958,1.4331161700187185,0.2678349411987604
0.0,2,0.0,4.0,2.0,10.0,4518,0,0.6623505976095617,0.7280294527167399,0.3995130588756087,0.9953437591141115,1.4330636669289671,0.2678232781852278
0.0,2,0.5,4.0,2.0,1.0,4518,0,0.6624059318282426,2.0507372191265563,0.35436033643204956,0.845497636245388,1.4000589604503129,0.26049395093552835
0.0,2,0.5,4.0,2.0,10.0,4518,0,0.6623505976095617,2.0527306479358636,0.35436033643204956,0.8452711427595544,1.4000092399942101,0.2604829973593549
0.0,2,1.0,4.0,2.0,1.0,4518,0,0.6624059318282426,3.3755490827830417,0.3187250996015936,0.7232471065770202,1.3670152671898401,0.2532143191792466
0.0,2,1.0,4.0,2.0,10.0,4518,0,0.6623505976095617,3.3774318431549877,0.3187250996015936,0.7230530165915469,1.366968307045596,0.25320397370864123
0.0,2,2.0,4.0,2.0,1.0,4518,0,0.6624059318282426,6.025172810096013,0.281983178397521,0.5405791666984213,1.3009498031191513,0.23875293327013072
0.0,2,2.0,4.0,2.0,10.0,4518,0,0.6623505976095617,6.0268342335932354,0.281983178397521,0.5404360739784049,1.3009083992598258,0.23874396196373873
0.0,5,0.0,4.0,2.0,1.0,4518,0,0.665227976980965,0.6781428740425284,0.40017706949977866,1.0016081184529968,1.4343084760848452,0.2680997995499572
