,equity
2022-01-01,89024.0157694937
2022-01-02,82204.93739179627
2022-01-03,76528.27920133536
2022-01-04,67746.96516406139
2022-01-05,59863.30340919533
2022-01-06,57630.509324334045
2022-01-07,51381.23408732186
2022-01-08,44740.53749859386
2022-01-09,41378.56034287882
2022-01-10,39543.88026820361
2022-01-11,36274.66398915481
2022-01-12,31970.133977405767
2022-01-13,28201.927733635195
2022-01-14,26277.856139145537
2022-01-15,24442.572303117857
2022-01-16,22657.45571076807
2022-01-17,21484.55336827444
2022-01-18,19673.19549959607
2022-01-19,17740.656131221473
2022-01-20,14929.03502953243
2022-01-21,12986.328768395246
2022-01-22,11415.49689486507
2022-01-23,9990.765108932823
2022-01-24,8806.955652768944
2022-01-25,8355.618032097173
2022-01-26,7627.067888251269
2022-01-27,6750.1083843736915
2022-01-28,6322.94577652741
2022-01-29,5923.420136670075
2022-01-30,5312.09459405997
2022-01-31,4551.400727511113
2022-02-01,3984.6891320880172
2022-02-02,3430.038707262222
2022-02-03,3016.391165962391
2022-02-04,2664.6056374267473
2022-02-05,2211.5496582747132
2022-02-06,1968.6937409020475
2022-02-07,1652.4417205284797
2022-02-08,1491.9499049185963
2022-02-09,1382.844671490765
2022-02-10,1170.5547646583734
2022-02-11,1036.5004722213096
2022-02-12,970.1836064791262
2022-02-13,850.3300823012805
2022-02-14,755.224000948017
2022-02-15,665.9343523873024
2022-02-16,552.5160565456954
2022-02-17,459.52336694178314
2022-02-18,401.48679742722925
2022-02-19,363.1812183133077
2022-02-20,320.44960897724513
2022-02-21,285.7564713980881
2022-02-22,270.1863299184221
2022-02-23,236.9458296794886
2022-02-24,213.95411868768107
2022-02-25,190.88334763002698
2022-02-26,170.68224237150065
2022-02-27,150.6778123119715
2022-02-28,127.54273303458987
2022-03-01,118.21535694759287
2022-03-02,104.88572625690988
2022-03-03,94.7732605870959
2022-03-04,83.47008265442807
2022-03-05,76.90427126250344
2022-03-06,68.34526457478779
2022-03-07,60.19827233354898
2022-03-08,55.94347020993467
2022-03-09,51.3103113277696
2022-03-10,47.9503098534379
2022-03-11,44.165146925345034
2022-03-12,39.18620452496752
2022-03-13,33.55139844488071
2022-03-14,30.065007324552425
2022-03-15,27.192166355891136
2022-03-16,22.07124597635731
2022-03-17,19.650079006383617
2022-03-18,17.931277192906613
2022-03-19,16.022571989816498
2022-03-20,14.492921837762234
2022-03-21,14.033371847828928
2022-03-22,12.049919271480219
2022-03-23,11.246491355539295
2022-03-24,9.866752342586024
2022-03-25,9.127863185802632
2022-03-26,7.685812752902941
2022-03-27,7.076775083062244
2022-03-28,5.941238362746669
2022-03-29,5.316083579299653
2022-03-30,4.632988876442781
2022-03-31,4.034299376836361
2022-04-01,3.583360625923093
2022-04-02,3.123518022163957
2022-04-03,2.888563883858915
2022-04-04,2.7178309310148854
2022-04-05,2.5933029568347803
2022-04-06,2.338542125153656
2022-04-07,2.0851472453740048
2022-04-08,1.6583592913124163
2022-04-09,1.5501628519810382
2022-04-10,1.4234397676094308
2022-04-11,1.1650408354974675
2022-04-12,1.0095182488473942
2022-04-13,0.9234228885784674
2022-04-14,0.8579230122003786
2022-04-15,0.7737431595872895
2022-04-16,0.6977446594928685
2022-04-17,0.617065899117589
2022-04-18,0.5687570893763655
2022-04-19,0.4802310339573971
2022-04-20,0.4327016315718623
2022-04-21,0.3999732267760252
2022-04-22,0.36339535962773944
2022-04-23,0.3441827561306997
2022-04-24,0.3158514988408252
2022-04-25,0.2725167839938335
2022-04-26,0.25005903053838247
2022-04-27,0.24466542585150663
2022-04-28,0.21834667294160182
2022-04-29,0.20119556662902938
2022-04-30,0.1612128444307404
2022-05-01,0.14967460544653705
2022-05-02,0.1365965023482677
2022-05-03,0.13212641763143979
2022-05-04,0.11601786528450164
2022-05-05,0.10009341123421295
2022-05-06,0.08773031427891366
2022-05-07,0.07928697513879196
2022-05-08,0.06989122918494693
2022-05-09,0.059196105911541896
2022-05-10,0.05044332589020655
2022-05-11,0.043008950716362966
2022-05-12,0.043008950716362966
2022-05-13,0.043008950716362966
2022-05-14,0.039903173429703474
2022-05-15,0.036572692181844814
2022-05-16,0.03548333592150739
2022-05-17,0.033060838345443454
2022-05-18,0.028699433722632398
2022-05-19,0.025518480740677512
2022-05-20,0.024583502154764965
2022-05-21,0.022405429665168595
2022-05-22,0.019927723190860943
2022-05-23,0.016707094998837074
2022-05-24,0.014807233690895934
2022-05-25,0.012494287120727518
2022-05-26,0.01037229764675167
2022-05-27,0.009529171555715333
2022-05-28,0.008887281141983953
2022-05-29,0.007659435903523914
2022-05-30,0.007245949880596742
2022-05-31,0.0063600458335362235
2022-06-01,0.006014795061723526
2022-06-02,0.005630369164467059
2022-06-03,0.005066226209915415
2022-06-04,0.0043123808423011206
2022-06-05,0.0037465486376162265
2022-06-06,0.0032916931841317255
2022-06-07,0.0029679820109505587
2022-06-08,0.002855607102612271
2022-06-09,0.0022988589615472142
2022-06-10,0.0018888209330958563
2022-06-11,0.0017930287085733295
2022-06-12,0.0017141929680658948
2022-06-13,0.0015057691815213887
2022-06-14,0.0013839999939528448
2022-06-15,0.0011667066596230172
2022-06-16,0.0010895601215975298
2022-06-17,0.001039944620253516
2022-06-18,0.000893707789889902
2022-06-19,0.0008030362096676003
2022-06-20,0.000677059544887022
2022-06-21,0.0005927081953259943
2022-06-22,0.0005414146805384969
2022-06-23,0.0004916488044914813
2022-06-24,0.00042869736371124127
2022-06-25,0.00037389996559135
2022-06-26,0.00034197344915758653
2022-06-27,0.000320969897733344
2022-06-28,0.000282836900949063
2022-06-29,0.00026376807776753037
2022-06-30,0.00023342548359023448
2022-07-01,0.00021640224132333038
2022-07-02,0.00019883983997537295
2022-07-03,0.00017510648530642128
2022-07-04,0.00014250812803359223
2022-07-05,0.00012892739145905593
2022-07-06,0.00011856201725094543
2022-07-07,0.00010204051635915524
2022-07-08,8.676691894507859e-05
2022-07-09,7.82569564398405e-05
2022-07-10,7.329736290040711e-05
2022-07-11,5.913655674512531e-05
2022-07-12,5.496553520213147e-05
2022-07-13,5.055595863068032e-05
2022-07-14,4.374343071804165e-05
2022-07-15,4.018664680205277e-05
2022-07-16,3.4451370892579316e-05
2022-07-17,3.13955773482141e-05
2022-07-18,2.7133216760953377e-05
2022-07-19,2.3763667708253305e-05
2022-07-20,2.1118245972190864e-05
2022-07-21,1.829481920298338e-05
2022-07-22,1.6353949069813682e-05
2022-07-23,1.4918556033665736e-05
2022-07-24,1.293488011827637e-05
2022-07-25,1.0127786179083805e-05
2022-07-26,9.863557877754535e-06
2022-07-27,8.13379426694693e-06
2022-07-28,6.8645661201142845e-06
2022-07-29,6.1920682041815325e-06
2022-07-30,5.461835494749847e-06
2022-07-31,5.02198822108313e-06
2022-08-01,4.658905436300665e-06
2022-08-02,3.988135173228712e-06
2022-08-03,3.266433911187824e-06
2022-08-04,2.9780727116007417e-06
2022-08-05,2.835725913868751e-06
2022-08-06,2.5217346505801236e-06
2022-08-07,2.2028580672477687e-06
2022-08-08,1.9836275208274617e-06
2022-08-09,1.8352730460798736e-06
2022-08-10,1.5404018818120423e-06
2022-08-11,1.4014438199608986e-06
2022-08-12,1.195121325621609e-06
2022-08-13,1.026509155087527e-06
2022-08-14,9.666650055515718e-07
2022-08-15,8.70774257337785e-07
2022-08-16,7.996527248342123e-07
2022-08-17,6.887350285743887e-07
2022-08-18,6.369399622811157e-07
2022-08-19,5.407354408822075e-07
2022-08-20,4.857903014532445e-07
2022-08-21,4.2099499629057585e-07
2022-08-22,3.476968873075528e-07
2022-08-23,3.064933245076379e-07
2022-08-24,2.6101219477998785e-07
2022-08-25,2.42538456214782e-07
2022-08-26,2.0605621128675925e-07
2022-08-27,1.8247811651621666e-07
2022-08-28,1.6575540230200522e-07
2022-08-29,1.4457542285249232e-07
2022-08-30,1.2593082967112089e-07
2022-08-31,1.0891551021283425e-07
2022-09-01,1.0095577564022132e-07
2022-09-02,9.35650329818995e-08
2022-09-03,9.163246054863514e-08
2022-09-04,8.032395739615681e-08
2022-09-05,6.988915006942197e-08
2022-09-06,6.083654302996852e-08
2022-09-07,5.339849277290506e-08
2022-09-08,4.780347762744454e-08
2022-09-09,3.991585862293302e-08
2022-09-10,3.6579486912184904e-08
2022-09-11,3.3915581618299415e-08
2022-09-12,2.7855173201489517e-08
2022-09-13,2.3060956097145524e-08
2022-09-14,2.0902068207113147e-08
2022-09-15,1.715569412201024e-08
2022-09-16,1.5298152825632115e-08
2022-09-17,1.24585087743083e-08
2022-09-18,1.1154489563154484e-08
2022-09-19,1.0671274784982829e-08
2022-09-20,1.0116919474793368e-08
2022-09-21,9.099308327366268e-09
2022-09-22,8.689700483518892e-09
2022-09-23,6.8895716457103596e-09
2022-09-24,6.527799076782354e-09
2022-09-25,5.617003402642122e-09
2022-09-26,5.126572135701157e-09
2022-09-27,4.583238721123156e-09
2022-09-28,4.167437050519196e-09
2022-09-29,3.7932943649218485e-09
2022-09-30,3.1998936517092928e-09
2022-10-01,2.9573731370554285e-09
2022-10-02,2.6598547592937377e-09
2022-10-03,2.432032133938252e-09
2022-10-04,2.2523679136906704e-09
2022-10-05,1.976335813256446e-09
2022-10-06,1.7716550950895611e-09
2022-10-07,1.6246074695451153e-09
2022-10-08,1.5341450677285634e-09
2022-10-09,1.3891488810863912e-09
2022-10-10,1.2244488392813728e-09
2022-10-11,1.0285814642523844e-09
2022-10-12,9.731462752908956e-10
2022-10-13,8.025629345013318e-10
2022-10-14,6.929956687776498e-10
2022-10-15,6.325725720596751e-10
2022-10-16,5.736410659770982e-10
2022-10-17,5.07520341654477e-10
2022-10-18,4.572817569934766e-10
2022-10-19,4.130656130004177e-10
2022-10-20,3.585251503958737e-10
2022-10-21,2.9812199536670834e-10
2022-10-22,2.524870359443819e-10
2022-10-23,2.0125728148128089e-10
2022-10-24,1.9178919368314705e-10
2022-10-25,1.620158067584278e-10
2022-10-26,1.4782033686828927e-10
2022-10-27,1.301845933537456e-10
