,equal_weight,risk_parity,correlation_off
2024-01-02,99943.32981950071,100053.40198859449,100059.66962662287
2024-01-03,99974.54226544971,100236.1709226419,100338.4696383258
2024-01-04,99981.00403529909,100304.56851451495,100397.59706613343
2024-01-05,99819.21959484529,100233.9633407054,100343.10778232806
2024-01-06,99726.3901069942,100247.76147126753,100366.39703828843
2024-01-07,99431.44074471276,99896.55292680394,100040.24398086926
2024-01-08,100414.43175077008,100634.93214449579,100711.09241188268
2024-01-09,101322.95672201575,101662.19166520967,101820.73625131529
2024-01-10,101280.0282369697,101868.83723649882,102105.6081038971
2024-01-11,101354.09166487274,102062.95734522642,102343.84186239187
2024-01-12,101398.09805726816,101569.68285446182,101623.36815565701
2024-01-13,101065.06099269228,101314.51056532883,101397.35142149783
2024-01-14,100659.68997848971,100918.0368141017,101071.57905296222
2024-01-15,101361.36815476378,101459.51258323147,101540.0362170776
2024-01-16,101834.32770315309,101837.73787177783,101881.38460329952
2024-01-17,101488.6729594125,101605.50663443637,101648.75776325144
2024-01-18,101069.93505702568,101319.47566117294,101417.30782565352
2024-01-19,100795.49271861145,101141.36205169087,101306.5607077027
2024-01-20,100897.6035045941,101246.89725216846,101403.4890323184
2024-01-21,100966.97900812513,101338.44943661106,101501.08716359841
2024-01-22,101174.50016643784,101465.61657427273,101591.83463095165
2024-01-23,100017.82753488429,100524.53067759392,100675.00388184325
2024-01-24,99611.5685979509,100149.27441582581,100341.36937342813
2024-01-25,100248.05266825347,100515.01470196493,100644.35879561884
2024-01-26,100796.24198388397,100978.1692969003,101072.95456412435
2024-01-27,100849.39606256165,101011.07607407618,101078.8699667843
2024-01-28,100996.78654427311,101202.62305729129,101250.8905748664
2024-01-29,101137.73414351759,101389.514589154,101436.62021688801
2024-01-30,101404.77651279977,101608.15454153386,101609.55101913305
2024-01-31,101424.54404094814,101615.6953153776,101592.17812619323
2024-02-01,101856.4752172022,102058.92032940811,102011.21463585648
2024-02-02,101347.72935392245,101673.01984384627,101679.55451041706
2024-02-03,101423.46258593642,101701.27421586805,101695.80698793213
2024-02-04,101793.76888281188,101972.36306470081,101953.80859254202
2024-02-05,102334.35856659467,102393.85310608812,102355.33285041738
2024-02-06,102473.40911129676,102575.08020113531,102510.42971430777
2024-02-07,102185.68305038895,102361.42264782904,102308.50205106348
2024-02-08,102342.26560828894,102452.11865086947,102386.97280597089
2024-02-09,102585.0726739311,102649.11218991742,102546.24243167197
2024-02-10,102636.60252568341,102741.01980932413,102654.82586202181
2024-02-11,102845.83136734707,103013.19638541414,102917.30368161757
2024-02-12,103101.04816723338,103238.02523510634,103128.3009256708
2024-02-13,103049.09077543429,103159.38447321703,103054.56190808746
2024-02-14,103016.97420348182,103192.13393380477,103083.63822687145
2024-02-15,103061.10414362133,103150.15065527419,102990.79267233254
2024-02-16,102656.16872521379,102920.28754270947,102820.31943012634
2024-02-17,103133.07729677128,103291.62876609866,103151.36904094773
2024-02-18,103160.45324724256,103363.93324783923,103222.02135150073
2024-02-19,103403.56931936156,103424.5919937641,103217.94908348232
2024-02-20,103245.14130730223,103345.98309119389,103151.7941395955
2024-02-21,103798.156424314,103767.79260786808,103536.94251799458
2024-02-22,103801.46604357446,103734.03739605122,103471.05631073026
2024-02-23,104194.40244429346,104143.9487729315,103852.40199598682
2024-02-24,104688.46240638656,104532.94876576868,104212.3816147209
2024-02-25,105072.65128654892,104802.19156615109,104449.2359262647
2024-02-26,105186.35334255961,104852.3816793773,104456.37385725055
2024-02-27,105162.14063937959,104818.98737854742,104418.56594102332
2024-02-28,105156.92830349758,104695.33538641973,104233.88033288592
2024-02-29,105254.13499637319,104829.24007542762,104385.38677494058
2024-03-01,105314.74652665429,104912.76357763071,104479.90590257017
2024-03-02,105345.38283345998,104954.9901399532,104527.69665998196
2024-03-03,105449.14151139511,105098.01851091007,104689.58076987209
2024-03-04,105343.09306358232,104951.77858031169,104524.03097535891
2024-03-05,105691.23102102407,105431.67254729045,105067.1879722731
2024-03-06,105885.248510408,105532.0263160624,105146.41826415295
2024-03-07,105882.61709057998,105499.45782147889,105125.7906586742
2024-03-08,105972.63450178035,105623.55509954362,105266.32259957622
2024-03-09,106197.62765994984,105768.43737057992,105392.47861785418
2024-03-10,106529.504918427,106077.27991644027,105689.5839697724
2024-03-11,106402.08226738372,106011.89805299316,105638.19844469178
2024-03-12,106402.00210429136,106011.78754616299,105638.0733009205
2024-03-13,106544.95219693212,106208.8477715205,105861.23467678663
2024-03-14,106546.43015820128,106210.8862261424,105863.54371460887
2024-03-15,106720.78397503495,106267.4498804962,105856.77759888416
2024-03-16,108850.56147011252,108000.31677122839,107427.28341335492
2024-03-17,109658.58148198751,108615.40164405039,107994.72371062619
2024-03-18,110315.58565468143,109097.95092938519,108342.78054644709
2024-03-19,109936.04856856028,109212.81849408303,108564.23582505388
2024-03-20,109958.47403423437,109148.55419993002,108449.85518903217
2024-03-21,110421.47084264524,109439.0444756822,108684.85302595719
2024-03-22,111225.07674903741,110124.5208323349,109351.67808752146
2024-03-23,111266.6264486229,110174.5262182791,109397.98723278906
2024-03-24,111452.6257441123,110350.34758247912,109562.7966293951
2024-03-25,111295.15861149077,110242.64531418592,109469.65524214994
2024-03-26,111541.31957461177,110538.04214879505,109765.9487844187
2024-03-27,111497.9245635626,110439.78206302323,109643.76626918893
2024-03-28,111074.74737613628,110155.81901294005,109404.1243603505
2024-03-29,110827.08911546532,110012.12660619848,109287.65287116091
2024-03-30,111044.93160030125,110158.84023303486,109406.50984724298
2024-03-31,111104.59558629242,110060.30044854654,109258.31705695302
2024-04-01,110851.02898482277,109712.76356903439,108866.23366103623
2024-04-02,110950.45371302209,109843.1795684078,109004.66739555425
2024-04-03,111157.16151467456,110032.58211894422,109179.02336291001
2024-04-04,109859.51065093727,108867.91665544953,108070.31107674366
2024-04-05,109843.9969066573,108959.46613205032,108203.41210919362
2024-04-06,110353.72580301133,109280.31803317077,108461.79666152889
2024-04-07,110712.9285059233,109608.88489431914,108783.31339000253
2024-04-08,111075.65208553149,109850.4137307016,108984.15350816584
2024-04-09,110856.38910647901,109795.68637054924,108956.27233959733
2024-04-10,110628.37339853821,109549.073133614,108711.02859341583
2024-04-11,111195.31649012677,109945.8119559656,109056.60656935787
2024-04-12,110993.39503438237,109844.21159557873,108968.50251153874
2024-04-13,110514.91115705871,109218.30201436054,108315.70288920104
2024-04-14,110120.76657859569,109099.30732039508,108245.95636764835
2024-04-15,109570.67039319189,108777.20576569522,107938.19159897706
2024-04-16,110307.80402971829,109370.44034008267,108461.51593287603
2024-04-17,109943.1713743651,109198.44092904929,108302.34304723635
2024-04-18,110450.0252655288,109591.8851126014,108654.85196771513
2024-04-19,111389.91507838987,110438.03823822663,109466.63574294222
2024-04-20,110643.25688400207,109928.40696463562,109022.57276524768
2024-04-21,110992.8006624664,110191.81763454562,109252.65100067796
2024-04-22,110957.68273944473,110085.58293245625,109122.57813718825
2024-04-23,110475.494602999,109719.80005382371,108795.96753072967
2024-04-24,111218.58686217012,110259.7928542085,109262.36657306366
2024-04-25,111595.07550299556,110659.2608286285,109646.65917480303
2024-04-26,111071.9112227235,110341.88361766322,109381.81730905565
2024-04-27,109969.7884910446,109286.05109487438,108305.08508505672
2024-04-28,109771.16725618267,109210.69646730987,108242.28457895368
2024-04-29,110238.90080659455,109565.8282623144,108529.83082066834
2024-04-30,110040.21119224271,109350.0694935874,108298.69290478626
2024-05-01,108539.15907785558,108166.24895761418,107234.91769732969
2024-05-02,108703.18983020913,108412.23120814914,107475.26067555152
2024-05-03,109570.13110884675,109063.01074031886,108057.19595044656
2024-05-04,109946.35104192114,109305.89792575662,108274.4195955015
2024-05-05,110613.16826612009,109687.03708232912,108568.45734553828
2024-05-06,110347.74006974533,109546.49851734184,108453.73409543149
2024-05-07,110862.33644661192,109977.83736091082,108831.58132581001
2024-05-08,111282.66611022319,110242.32938303052,109034.3675042641
2024-05-09,111085.31301388891,110235.98033654611,109049.91092310134
2024-05-10,111560.83143752553,110629.96106006195,109412.97219499924
2024-05-11,111899.31008307452,110832.8128229697,109587.59956221835
2024-05-12,111982.37319756659,110878.9210413027,109609.39744711935
2024-05-13,112029.31997696504,111015.65827899633,109764.50363678993
2024-05-14,112344.02407895359,111221.81515238958,109935.27797120847
2024-05-15,112658.47767280423,111479.9162978886,110147.2303306209
2024-05-16,112149.58823763389,111060.0517337206,109756.31134951103
2024-05-17,112853.11983297601,111647.58431058004,110292.55659847628
2024-05-18,112280.99837696209,111240.83717582592,109947.21234224814
2024-05-19,112385.75873554588,111298.47661424261,109959.53457647852
2024-05-20,114008.40973319708,112945.74620546229,111656.30039394578
2024-05-21,114420.58210383171,113330.70763788832,112016.39508959682
2024-05-22,115305.44891004275,114058.51724457789,112674.53477849819
2024-05-23,116234.15740287844,115022.42612449922,113636.2930877483
2024-05-24,116663.7948325646,115431.0338923528,114011.80497138946
2024-05-25,117241.03593378063,115780.9754273597,114312.90050013247
2024-05-26,117143.19622041755,115682.32239136203,114200.09013935024
2024-05-27,117121.6814958335,115649.36113065196,114154.62478852438
2024-05-28,117122.97873806661,115674.10657873607,114177.08250926177
2024-05-29,117247.79408579557,115817.61926261563,114354.7404061023
2024-05-30,117210.4516327594,115830.44375911991,114382.13979431667
2024-05-31,117355.08625363193,115908.59634807544,114417.3419430287
2024-06-01,117382.28971062503,115958.3174536951,114459.95005192276
2024-06-02,117564.34284363106,116242.29974569642,114779.21359861252
2024-06-03,117672.10659727603,116183.05632434513,114670.63164683526
2024-06-04,117807.38572646739,116282.75816075315,114761.4351224554
2024-06-05,118519.38096708173,116829.14822912631,115234.40701962593
2024-06-06,118810.17476714328,117042.23719994057,115433.91553716284
2024-06-07,118180.90086865248,116690.33622539256,115188.03984771739
2024-06-08,117973.94257689409,116624.71683589813,115158.64332995929
2024-06-09,118332.8656871312,116918.84381301783,115427.6184520496
2024-06-10,118277.25049963263,116995.32354623661,115524.51398896055
2024-06-11,117905.15447095654,116707.6202471256,115293.93173549882
2024-06-12,118802.76981733124,117396.68060228747,115894.04997380602
2024-06-13,118711.73642747528,117394.07994980364,115903.50412644666
2024-06-14,118965.45961693628,117599.09485817213,116085.39965419358
2024-06-15,119156.1029517924,117753.22532259769,116234.17914407665
2024-06-16,118699.94093307652,117492.31518607799,116026.11573611965
2024-06-17,119331.46801239467,118043.00922469495,116563.45584227704
2024-06-18,120569.60087054427,118976.95234639625,117370.22670716517
2024-06-19,120701.58212045272,118996.09627616595,117358.91063602506
2024-06-20,121091.50015452463,119362.41291550048,117700.79237934017
2024-06-21,122419.99477059182,120314.139847368,118544.26173751047
2024-06-22,122791.41702168473,120527.11001558938,118714.522801735
2024-06-23,122956.99308832396,120720.48908223314,118910.7057480455
2024-06-24,122613.43386568912,120448.28524003383,118656.12050271226
2024-06-25,122317.39687184477,120214.22232839803,118450.0792589539
2024-06-26,122583.12256367838,120579.1018433808,118792.03901425886
2024-06-27,122210.64943188478,120412.06016597636,118681.93907175506
2024-06-28,122732.87510244903,120988.0135634658,119272.39283437638
2024-06-29,122835.95794757814,121112.24525564043,119382.12758261192
2024-06-30,122604.68082826905,120983.45422630796,119270.3326154595
2024-07-01,123185.0868842935,121445.19230711767,119699.9320562887
2024-07-02,122972.46908292439,121322.68702961966,119596.77486262671
2024-07-03,123654.42696137512,121892.33808124653,120119.35148461512
2024-07-04,124056.9668205782,122141.54599924467,120274.86437526389
2024-07-05,124673.18665671608,122639.1619257908,120707.66292342296
2024-07-06,124193.51745358476,122174.55276216933,120300.68571418668
2024-07-07,124335.66526203444,122389.59115100568,120507.15050758456
2024-07-08,124627.04846928203,122559.15432505171,120668.4284636567
2024-07-09,125386.72825180939,123178.28566386655,121253.09716453686
2024-07-10,125645.90962197578,123347.24841514921,121366.13604686939
2024-07-11,126159.07586210438,123785.58459478477,121761.24575961591
2024-07-12,126265.03948028463,123853.18529754711,121822.0007170934
2024-07-13,126951.97309758383,124275.4116043826,122185.26181318871
2024-07-14,127304.02734557584,124479.88016934563,122339.90675505866
2024-07-15,127577.98985011417,124743.44472831005,122591.65898287512
2024-07-16,127748.32050960745,124869.39792119809,122710.5925208235
2024-07-17,127287.47285969865,124552.11069836865,122436.94938695822
2024-07-18,127455.64675614968,124632.76541640396,122472.99617966967
2024-07-19,127138.67596350517,124489.53358707282,122367.6529506024
2024-07-20,127310.85066918169,124648.54249449685,122547.16646582013
2024-07-21,127166.26453924117,124537.04738287163,122408.74567210136
2024-07-22,127524.77910648655,124711.82539144956,122520.64447955962
2024-07-23,128254.4502000322,125093.16518842184,122798.50483235177
2024-07-24,128857.78289907979,125566.75556993384,123209.31429565081
