strategy_key,status,graveyard_family,path,entry_files,uses_shared,cost_model,gate_logic,feature_category,feature_stems,n_defs
donchian_breakout_atr_1d_20260709,ACTIVE,,strategies/donchian_breakout_atr_1d_20260709,strategies/donchian_breakout_atr_1d_20260709/run_backtest.py;strategies/donchian_breakout_atr_1d_20260709/strategy.py,False,none_visible,none,signal,strategy;test_strategy,39
donchian_breakout_atr_1d_20260709,ACTIVE,,strategies/donchian_breakout_atr_1d_20260709,strategies/donchian_breakout_atr_1d_20260709/run_backtest.py;strategies/donchian_breakout_atr_1d_20260709/strategy.py,False,none_visible,none,risk/sizing,,39
donchian_breakout_atr_1d_20260709,ACTIVE,,strategies/donchian_breakout_atr_1d_20260709,strategies/donchian_breakout_atr_1d_20260709/run_backtest.py;strategies/donchian_breakout_atr_1d_20260709/strategy.py,False,none_visible,none,execution,strategy;test_strategy,39
donchian_breakout_atr_1d_20260709,ACTIVE,,strategies/donchian_breakout_atr_1d_20260709,strategies/donchian_breakout_atr_1d_20260709/run_backtest.py;strategies/donchian_breakout_atr_1d_20260709/strategy.py,False,none_visible,none,cost,,39
donchian_breakout_atr_1d_20260709,ACTIVE,,strategies/donchian_breakout_atr_1d_20260709,strategies/donchian_breakout_atr_1d_20260709/run_backtest.py;strategies/donchian_breakout_atr_1d_20260709/strategy.py,False,none_visible,none,evaluation,test_strategy,39
donchian_breakout_atr_1d_20260709,ACTIVE,,strategies/donchian_breakout_atr_1d_20260709,strategies/donchian_breakout_atr_1d_20260709/run_backtest.py;strategies/donchian_breakout_atr_1d_20260709/strategy.py,False,none_visible,none,other,data_loader;run_backtest;strategy;test_data_loader;test_strategy,39
impl_vpvr_multi_tf_funding,ACTIVE,,strategies/impl_vpvr_multi_tf_funding,strategies/impl_vpvr_multi_tf_funding/run_backtest.py;strategies/impl_vpvr_multi_tf_funding/strategy.py,False,none_visible,manual,signal,build_signals;combine_signals;data_loader;test_build_signals;test_combine_signals,44
impl_vpvr_multi_tf_funding,ACTIVE,,strategies/impl_vpvr_multi_tf_funding,strategies/impl_vpvr_multi_tf_funding/run_backtest.py;strategies/impl_vpvr_multi_tf_funding/strategy.py,False,none_visible,manual,risk/sizing,,44
impl_vpvr_multi_tf_funding,ACTIVE,,strategies/impl_vpvr_multi_tf_funding,strategies/impl_vpvr_multi_tf_funding/run_backtest.py;strategies/impl_vpvr_multi_tf_funding/strategy.py,False,none_visible,manual,execution,strategy,44
impl_vpvr_multi_tf_funding,ACTIVE,,strategies/impl_vpvr_multi_tf_funding,strategies/impl_vpvr_multi_tf_funding/run_backtest.py;strategies/impl_vpvr_multi_tf_funding/strategy.py,False,none_visible,manual,cost,,44
impl_vpvr_multi_tf_funding,ACTIVE,,strategies/impl_vpvr_multi_tf_funding,strategies/impl_vpvr_multi_tf_funding/run_backtest.py;strategies/impl_vpvr_multi_tf_funding/strategy.py,False,none_visible,manual,evaluation,data_loader;run_backtest;test_build_signals,44
impl_vpvr_multi_tf_funding,ACTIVE,,strategies/impl_vpvr_multi_tf_funding,strategies/impl_vpvr_multi_tf_funding/run_backtest.py;strategies/impl_vpvr_multi_tf_funding/strategy.py,False,none_visible,manual,other,build_signals;combine_signals;data_loader;run_backtest;strategy;test_build_signals;test_combine_signals,44
large_order_iceberg_tape_20260718,ACTIVE,,strategies/large_order_iceberg_tape_20260718,,False,none_visible,none,signal,,0
large_order_iceberg_tape_20260718,ACTIVE,,strategies/large_order_iceberg_tape_20260718,,False,none_visible,none,risk/sizing,,0
large_order_iceberg_tape_20260718,ACTIVE,,strategies/large_order_iceberg_tape_20260718,,False,none_visible,none,execution,,0
large_order_iceberg_tape_20260718,ACTIVE,,strategies/large_order_iceberg_tape_20260718,,False,none_visible,none,cost,,0
large_order_iceberg_tape_20260718,ACTIVE,,strategies/large_order_iceberg_tape_20260718,,False,none_visible,none,evaluation,,0
large_order_iceberg_tape_20260718,ACTIVE,,strategies/large_order_iceberg_tape_20260718,,False,none_visible,none,other,,0
loid_iceberg_v4_1m_20260720,ACTIVE,,strategies/loid_iceberg_v4_1m_20260720,strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d.py;strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d_chunked.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_fast.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_minimal.py;strategies/loid_iceberg_v4_1m_20260720/run_threshold_scan.py;strategies/loid_iceberg_v4_1m_20260720/tests/test_backtest.py,True,_shared,_shared,signal,iceberg_detector;test_backtest;test_iceberg_detector,63
loid_iceberg_v4_1m_20260720,ACTIVE,,strategies/loid_iceberg_v4_1m_20260720,strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d.py;strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d_chunked.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_fast.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_minimal.py;strategies/loid_iceberg_v4_1m_20260720/run_threshold_scan.py;strategies/loid_iceberg_v4_1m_20260720/tests/test_backtest.py,True,_shared,_shared,risk/sizing,test_backtest,63
loid_iceberg_v4_1m_20260720,ACTIVE,,strategies/loid_iceberg_v4_1m_20260720,strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d.py;strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d_chunked.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_fast.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_minimal.py;strategies/loid_iceberg_v4_1m_20260720/run_threshold_scan.py;strategies/loid_iceberg_v4_1m_20260720/tests/test_backtest.py,True,_shared,_shared,execution,backtest;run_param_scan_fast,63
loid_iceberg_v4_1m_20260720,ACTIVE,,strategies/loid_iceberg_v4_1m_20260720,strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d.py;strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d_chunked.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_fast.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_minimal.py;strategies/loid_iceberg_v4_1m_20260720/run_threshold_scan.py;strategies/loid_iceberg_v4_1m_20260720/tests/test_backtest.py,True,_shared,_shared,cost,test_backtest,63
loid_iceberg_v4_1m_20260720,ACTIVE,,strategies/loid_iceberg_v4_1m_20260720,strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d.py;strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d_chunked.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_fast.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_minimal.py;strategies/loid_iceberg_v4_1m_20260720/run_threshold_scan.py;strategies/loid_iceberg_v4_1m_20260720/tests/test_backtest.py,True,_shared,_shared,evaluation,iceberg_detector;run_first_btc_90d;run_first_btc_90d_chunked;run_param_scan;run_param_scan_fast;run_param_scan_minimal;run_threshold_scan;test_backtest;test_iceberg_detector,63
loid_iceberg_v4_1m_20260720,ACTIVE,,strategies/loid_iceberg_v4_1m_20260720,strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d.py;strategies/loid_iceberg_v4_1m_20260720/run_first_btc_90d_chunked.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_fast.py;strategies/loid_iceberg_v4_1m_20260720/run_param_scan_minimal.py;strategies/loid_iceberg_v4_1m_20260720/run_threshold_scan.py;strategies/loid_iceberg_v4_1m_20260720/tests/test_backtest.py,True,_shared,_shared,other,analyze_param_scan;backtest;iceberg_detector;run_first_btc_90d;run_first_btc_90d_chunked;run_param_scan;run_param_scan_fast;run_param_scan_minimal;run_threshold_scan;save_composite;test_backtest;test_iceberg_detector,63
loid_vpvr_confluence_20260717,ACTIVE,,strategies/loid_vpvr_confluence_20260717,strategies/loid_vpvr_confluence_20260717/run_backtest.py;strategies/loid_vpvr_confluence_20260717/run_g1g7_backtest.py;strategies/loid_vpvr_confluence_20260717/strategy.py,False,none_visible,none,signal,build_signals,28
loid_vpvr_confluence_20260717,ACTIVE,,strategies/loid_vpvr_confluence_20260717,strategies/loid_vpvr_confluence_20260717/run_backtest.py;strategies/loid_vpvr_confluence_20260717/run_g1g7_backtest.py;strategies/loid_vpvr_confluence_20260717/strategy.py,False,none_visible,none,risk/sizing,,28
loid_vpvr_confluence_20260717,ACTIVE,,strategies/loid_vpvr_confluence_20260717,strategies/loid_vpvr_confluence_20260717/run_backtest.py;strategies/loid_vpvr_confluence_20260717/run_g1g7_backtest.py;strategies/loid_vpvr_confluence_20260717/strategy.py,False,none_visible,none,execution,strategy,28
loid_vpvr_confluence_20260717,ACTIVE,,strategies/loid_vpvr_confluence_20260717,strategies/loid_vpvr_confluence_20260717/run_backtest.py;strategies/loid_vpvr_confluence_20260717/run_g1g7_backtest.py;strategies/loid_vpvr_confluence_20260717/strategy.py,False,none_visible,none,cost,,28
loid_vpvr_confluence_20260717,ACTIVE,,strategies/loid_vpvr_confluence_20260717,strategies/loid_vpvr_confluence_20260717/run_backtest.py;strategies/loid_vpvr_confluence_20260717/run_g1g7_backtest.py;strategies/loid_vpvr_confluence_20260717/strategy.py,False,none_visible,none,evaluation,run_backtest;run_g1g7_backtest,28
loid_vpvr_confluence_20260717,ACTIVE,,strategies/loid_vpvr_confluence_20260717,strategies/loid_vpvr_confluence_20260717/run_backtest.py;strategies/loid_vpvr_confluence_20260717/run_g1g7_backtest.py;strategies/loid_vpvr_confluence_20260717/strategy.py,False,none_visible,none,other,run_backtest;run_g1g7_backtest;strategy,28
momentum_intraday_fast_15m_btc_20260712,ACTIVE,,strategies/momentum_intraday_fast_15m_btc_20260712,,False,none_visible,none,signal,,10
momentum_intraday_fast_15m_btc_20260712,ACTIVE,,strategies/momentum_intraday_fast_15m_btc_20260712,,False,none_visible,none,risk/sizing,,10
momentum_intraday_fast_15m_btc_20260712,ACTIVE,,strategies/momentum_intraday_fast_15m_btc_20260712,,False,none_visible,none,execution,,10
momentum_intraday_fast_15m_btc_20260712,ACTIVE,,strategies/momentum_intraday_fast_15m_btc_20260712,,False,none_visible,none,cost,,10
momentum_intraday_fast_15m_btc_20260712,ACTIVE,,strategies/momentum_intraday_fast_15m_btc_20260712,,False,none_visible,none,evaluation,data_loader,10
momentum_intraday_fast_15m_btc_20260712,ACTIVE,,strategies/momentum_intraday_fast_15m_btc_20260712,,False,none_visible,none,other,data_loader,10
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,,strategies/momentum_trend_btc_only_softer_stop_1h_20260712,strategies/momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py;strategies/momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,False,none_visible,none,signal,framework_adapter_backtrader;strategy;test_strategy,62
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,,strategies/momentum_trend_btc_only_softer_stop_1h_20260712,strategies/momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py;strategies/momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,False,none_visible,none,risk/sizing,strategy;test_strategy,62
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,,strategies/momentum_trend_btc_only_softer_stop_1h_20260712,strategies/momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py;strategies/momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,False,none_visible,none,execution,strategy;test_strategy,62
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,,strategies/momentum_trend_btc_only_softer_stop_1h_20260712,strategies/momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py;strategies/momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,False,none_visible,none,cost,,62
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,,strategies/momentum_trend_btc_only_softer_stop_1h_20260712,strategies/momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py;strategies/momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,False,none_visible,none,evaluation,data_loader;walk_forward,62
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,,strategies/momentum_trend_btc_only_softer_stop_1h_20260712,strategies/momentum_trend_btc_only_softer_stop_1h_20260712/run_backtest.py;strategies/momentum_trend_btc_only_softer_stop_1h_20260712/strategy.py,False,none_visible,none,other,data_loader;framework_adapter_backtrader;run_backtest;strategy;test_strategy;walk_forward,62
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,False,none_visible,none,signal,strategy;test_strategy,54
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,False,none_visible,none,risk/sizing,strategy;test_strategy,54
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,False,none_visible,none,execution,strategy;test_strategy,54
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,False,none_visible,none,cost,,54
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,False,none_visible,none,evaluation,data_loader;walk_forward,54
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_1h_20260712/strategy.py,False,none_visible,none,other,data_loader;run_backtest;strategy;test_strategy;walk_forward,54
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,False,none_visible,none,signal,strategy;test_strategy,54
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,False,none_visible,none,risk/sizing,strategy;test_strategy,54
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,False,none_visible,none,execution,strategy;test_strategy,54
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,False,none_visible,none,cost,,54
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,False,none_visible,none,evaluation,data_loader;walk_forward,54
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v2_1h_20260712/strategy.py,False,none_visible,none,other,data_loader;run_backtest;strategy;test_strategy;walk_forward,54
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,False,none_visible,none,signal,framework_adapter_backtrader;strategy;test_strategy,62
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,False,none_visible,none,risk/sizing,strategy;test_strategy,62
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,False,none_visible,none,execution,strategy;test_strategy,62
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,False,none_visible,none,cost,,62
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,False,none_visible,none,evaluation,data_loader;framework_adapter_backtrader;walk_forward,62
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/run_backtest.py;strategies/momentum_trend_multi_tf_atr_scaled_v3_1h_20260712/strategy.py,False,none_visible,none,other,data_loader;framework_adapter_backtrader;run_backtest;strategy;test_strategy;walk_forward,62
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_h2_vpvr_edge_1m_15m_2h_20260718,,False,none_visible,none,signal,,0
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_h2_vpvr_edge_1m_15m_2h_20260718,,False,none_visible,none,risk/sizing,,0
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_h2_vpvr_edge_1m_15m_2h_20260718,,False,none_visible,none,execution,,0
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_h2_vpvr_edge_1m_15m_2h_20260718,,False,none_visible,none,cost,,0
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_h2_vpvr_edge_1m_15m_2h_20260718,,False,none_visible,none,evaluation,,0
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_h2_vpvr_edge_1m_15m_2h_20260718,,False,none_visible,none,other,,0
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py;strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,False,none_visible,none,signal,data_loader;strategy,18
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py;strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,False,none_visible,none,risk/sizing,strategy,18
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py;strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,False,none_visible,none,execution,strategy,18
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718,strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/run_backtest.py;strategies/mtf_vpvr_edge_zscore_1m_15m_2h_20260718/strategy.py,False,none_visible,none,cost,,18
