feature,horizon_m,rho,pvalue,n
flow_pressure,1,-0.022655414899467347,4.339026860986212e-19,155259
flow_pressure,5,-0.021347482456273464,4.020013432190813e-17,155255
flow_pressure,15,-0.011794830461889835,3.3610890044824096e-06,155245
flow_pressure_z,1,-0.025572899471066116,3.6349259829386925e-20,129338
flow_pressure_z,5,-0.023923921634464253,7.63720009423312e-18,129334
flow_pressure_z,15,-0.013243476519834275,1.9098659273469183e-06,129324
flow_cum_5m,1,-0.02263945817420631,4.5927243610755e-19,155259
flow_cum_5m,5,-0.020418454097372384,8.544820599515939e-16,155255
flow_cum_5m,15,-0.015168332445511827,2.2757459029162063e-09,155245
flow_cum_15m,1,-0.014807621632242461,5.3820254171981144e-09,155259
flow_cum_15m,5,-0.017230935771976038,1.1224745793355596e-11,155255
flow_cum_15m,15,-0.02042869249070387,8.285269174722316e-16,155245
buy_notional_ratio,1,-0.02018383430322985,1.809257873266171e-15,155259
buy_notional_ratio,5,-0.02210550699334284,3.009481493484651e-18,155255
buy_notional_ratio,15,-0.017807387719143055,2.269845100005089e-12,155245
buy_count_ratio,1,-0.02325101712731523,5.059404734951092e-20,155259
buy_count_ratio,5,-0.026025681943233646,1.1075835874463893e-24,155255
buy_count_ratio,15,-0.020012687894341453,3.1214209315778433e-15,155245
whale_total_pct,1,-0.00440210706650197,0.08281999173914079,155259
whale_total_pct,5,-0.0032935918972439113,0.19437405017453913,155255
whale_total_pct,15,-0.0025230493365880715,0.320172319758268,155245
whale_buy_pct,1,-0.013214812933991005,1.9170376877505427e-07,155259
whale_buy_pct,5,-0.012521468852088751,8.059781015573548e-07,155255
whale_buy_pct,15,-0.010207781452103241,5.769261354369779e-05,155245
size_skew,1,-0.0066435876210734325,0.008850508002740214,155259
size_skew,5,-0.008673672317295737,0.0006315898917631302,155255
size_skew,15,-0.010461705133426176,3.754163643108815e-05,155245
volume_imbalance,1,-0.0032212995324253,0.2043415347556668,155259
volume_imbalance,5,-0.006794256266608288,0.007426022210487776,155255
volume_imbalance,15,-0.009345858066201581,0.00023102531925952384,155245
ohlcv_taker_buy_ratio,1,-0.023934365120603072,4.019075221159636e-21,155259
ohlcv_taker_buy_ratio,5,-0.024053674598872702,2.5667552444579134e-21,155255
ohlcv_taker_buy_ratio,15,-0.013367927195934765,1.384381404625468e-07,155245
range_ratio,1,-0.004104047213851841,0.10585493236714852,155259
range_ratio,5,-0.001100999876565661,0.6644212367956883,155255
range_ratio,15,0.002397227574239869,0.34489949430202005,155245
close_loc,1,-0.011847345727998197,3.03663448193458e-06,155259
close_loc,5,-0.01597831317574224,3.050467960681718e-10,155255
close_loc,15,-0.006194260013811881,0.014662359972519873,155245
