feature,horizon_m,rho,pvalue,n
flow_pressure,1,-0.016695624468066765,4.564946356146388e-11,155519
flow_pressure,5,-0.018710750210589558,1.5919089445664525e-13,155515
flow_pressure,15,-0.012771805626737768,4.738380494903574e-07,155505
flow_pressure_z,1,-0.0179923446287662,9.3158496454098e-11,129598
flow_pressure_z,5,-0.020112102662418082,4.4587531118376494e-13,129594
flow_pressure_z,15,-0.01257895823976549,5.946550220863096e-06,129584
flow_cum_5m,1,-0.018079099555444546,1.0023737296656895e-12,155519
flow_cum_5m,5,-0.01758794432327473,4.02345270153807e-12,155515
flow_cum_5m,15,-0.01304466302618913,2.6862618496023495e-07,155505
flow_cum_15m,1,-0.013696238706856854,6.610637476996782e-08,155519
flow_cum_15m,5,-0.0178727798489842,1.8058824395228938e-12,155515
flow_cum_15m,15,-0.016022947101033136,2.634941209664264e-10,155505
buy_notional_ratio,1,-0.012583176048880188,6.961130049408493e-07,155519
buy_notional_ratio,5,-0.014477589044692943,1.1327724610074797e-08,155515
buy_notional_ratio,15,-0.010406217789359722,4.066319862823111e-05,155505
buy_count_ratio,1,-0.010856414850077828,1.8570752073536003e-05,155519
buy_count_ratio,5,-0.012187610649478368,1.5369405633853705e-06,155515
buy_count_ratio,15,-0.006219653016393108,0.014180052376268645,155505
whale_total_pct,1,0.0028823836327036578,0.2556691242714642,155519
whale_total_pct,5,0.008215075803640138,0.0011966566579886993,155515
whale_total_pct,15,0.012404350853185577,9.997090337880703e-07,155505
whale_buy_pct,1,-0.004121749147013852,0.10406828472197345,155519
whale_buy_pct,5,0.0017796805099767668,0.4827921305474655,155515
whale_buy_pct,15,0.007041307979589236,0.005491551163446068,155505
size_skew,1,-0.007289961685248781,0.0040418505264771375,155519
size_skew,5,-0.010085096096024248,6.97414333282474e-05,155515
size_skew,15,-0.008738372132971569,0.0005690799887733335,155505
volume_imbalance,1,0.001351110549931289,0.5941592054195987,155519
volume_imbalance,5,-0.001859973411119256,0.4632641908269174,155515
volume_imbalance,15,-0.005524143678023207,0.02937651674823334,155505
ohlcv_taker_buy_ratio,1,-0.017283240209564517,9.34442737764068e-12,155519
ohlcv_taker_buy_ratio,5,-0.022512050355313725,6.760456158476459e-19,155515
ohlcv_taker_buy_ratio,15,-0.015981061720791372,2.9317910297227344e-10,155505
range_ratio,1,-0.0006272124882932081,0.8046413056615238,155519
range_ratio,5,0.005494608659664878,0.030248635008064594,155515
range_ratio,15,0.009737410814120627,0.00012307308242149993,155505
close_loc,1,-0.04596759781496013,1.621519546770916e-73,155519
close_loc,5,-0.03129520370517814,5.228063405465859e-35,155515
close_loc,15,-0.01634134348544318,1.1602508852350459e-10,155505
