date,equal,risk_parity,correlation_off
2024-04-24,100513.29776515102,100029.75380270217,100025.84439282391
2024-04-25,100609.38059087035,100040.14899412122,100035.34865415115
2024-04-26,100272.97185581601,100017.93360059292,100015.59145935331
2024-04-27,99574.37823551979,99952.29683581977,99955.99771410698
2024-04-28,99751.86477791164,99960.72892876733,99962.99338647773
2024-04-29,99902.46130597952,99963.23559473886,99964.44081672386
2024-04-30,99673.00696486514,99943.70615566571,99946.88915433058
2024-05-01,99002.76623662317,99898.41773454967,99906.84856988487
2024-05-02,98929.45521716961,99896.59898208921,99905.45719902762
2024-05-03,99891.10478278033,99953.42683544954,99954.73647492992
2024-05-04,100437.16997102226,99986.34095453161,99983.40317350675
2024-05-05,101166.45918672073,100024.24927893378,100015.92424367878
2024-05-06,101175.46659595257,100025.33113542337,100016.84673128914
2024-05-07,101114.08583953412,100013.79573035538,100005.7473327572
2024-05-08,101478.61830634148,100031.67171504507,100021.0127593577
2024-05-09,101201.83298009864,100017.8730632569,100009.22745451269
2024-05-10,101588.77902252537,100043.51161647713,100031.8490341176
2024-05-11,101777.95069554509,100054.40734509139,100041.34820035016
2024-05-12,101915.3497792038,100058.46534486182,100044.42435463832
2024-05-13,101888.69603041839,100061.46178460673,100047.44231500133
2024-05-14,101909.43221825341,100062.22345207192,100048.12060360091
2024-05-15,101847.40836082427,100056.87556096874,100043.3248515266
2024-05-16,101614.74557927337,100036.63526814681,100024.9096378667
2024-05-17,102223.52068238136,100073.2572258884,100056.78554933355
2024-05-18,102449.84481971324,100085.91404705192,100067.62437300736
2024-05-19,102954.82999596282,100120.674465725,100098.7701228594
2024-05-20,104095.80955189718,100223.43997062168,100191.74888853329
2024-05-21,104484.15445562835,100249.4556349945,100214.8120163143
2024-05-22,104674.58754575111,100262.27605601141,100226.1644555513
2024-05-23,105313.08400875647,100314.86133182059,100273.4739891816
2024-05-24,105379.2977889314,100321.2439504656,100279.30011773203
2024-05-25,106070.54481452865,100360.7023335742,100313.72560600276
2024-05-26,105951.95513227704,100346.57112890833,100300.5662248731
2024-05-27,105970.4474381204,100343.02653601374,100296.94489253391
2024-05-28,106064.14784598637,100347.22165432219,100300.40629077322
2024-05-29,106358.57301025353,100370.80160964238,100321.57461718345
2024-05-30,106414.58861754888,100375.81494792836,100326.09663494176
2024-05-31,106384.59224105337,100369.93211544218,100320.60756579792
2024-06-01,106168.3891335092,100358.2289580766,100310.51257558994
2024-06-02,106264.9807764357,100373.23949116346,100324.48668041873
2024-06-03,106392.03860650641,100372.73098044965,100323.30404892816
2024-06-04,106829.30045175036,100396.4864148599,100343.80439256583
2024-06-05,107276.21094387695,100420.89658690135,100364.99219576384
2024-06-06,107651.71103839466,100441.28430752117,100382.55574273411
2024-06-07,107359.00434287866,100432.70477923327,100375.78676058406
2024-06-08,107200.19484015903,100427.68361893266,100371.80298931185
2024-06-09,107329.23772608285,100436.99711536618,100380.1452011976
2024-06-10,107126.4513227012,100428.92826089193,100373.40261113607
2024-06-11,107634.11623794961,100458.47674252202,100399.11815469473
2024-06-12,107976.3581477709,100494.46859111442,100432.76598083886
2024-06-13,108057.99662715376,100499.0092251326,100436.6300587844
2024-06-14,108275.13769659898,100519.53635649508,100455.65073134252
2024-06-15,108759.62020153942,100553.01313963096,100485.5918570515
2024-06-16,108386.48001301991,100533.83228546275,100468.94201416086
2024-06-17,108878.59338916914,100567.86557333096,100499.18519746326
2024-06-18,108744.24792374214,100559.25844520754,100491.53933204105
2024-06-19,108881.81553272766,100566.76545850134,100498.2173384805
2024-06-20,109026.9596112332,100577.75438231109,100508.04672707261
2024-06-21,109759.16430253137,100620.88883905752,100545.91475291402
2024-06-22,109908.60414235912,100636.09009584921,100560.19283834097
2024-06-23,109905.15535926295,100639.99367549726,100564.01982702312
2024-06-24,109746.74234084136,100628.30582205126,100553.50623866571
2024-06-25,109909.09154352245,100631.3948990289,100555.3730065243
2024-06-26,109870.79560454068,100627.51109511117,100551.62094277337
2024-06-27,109680.38416066472,100620.96132141279,100546.24254198499
2024-06-28,110101.30552250039,100653.42752430444,100575.30410162154
2024-06-29,110400.22076046048,100672.1809507347,100591.91962335592
2024-06-30,110227.70097025922,100661.95051355175,100582.87701819335
2024-07-01,110605.4956701288,100686.4131721626,100604.55660210144
2024-07-02,110766.51401581879,100691.62653890769,100608.5677963861
2024-07-03,111254.5831636086,100721.14034441291,100634.52249734927
2024-07-04,111512.34452860279,100725.61801837294,100637.4273459885
2024-07-05,111647.30037430588,100730.8539752133,100641.69737267317
2024-07-06,111517.93645973945,100718.60543922966,100630.33811475725
2024-07-07,111293.87372940847,100706.48179994077,100619.70414894568
2024-07-08,112044.28671934192,100740.04761417066,100647.87048642195
2024-07-09,112910.4867474243,100791.49070775266,100693.04089333586
2024-07-10,113051.32547088503,100794.3671472457,100695.09876519465
2024-07-11,113223.39352560787,100805.25159408365,100704.73775682112
2024-07-12,113727.46293609553,100831.15274635663,100727.1142388876
2024-07-13,114142.16892731457,100853.79364204992,100746.94837800333
2024-07-14,114156.10871412656,100852.06577592134,100745.23597287422
2024-07-15,114503.27304189662,100872.52254806735,100763.19548651949
2024-07-16,114755.01194529416,100887.0884911979,100776.00619450131
2024-07-17,114572.24025321024,100884.91687398936,100775.08859110647
2024-07-18,114732.32558951607,100888.79727377139,100778.02905930844
2024-07-19,114574.8881016263,100875.22202459231,100765.38156456669
2024-07-20,115177.95286986738,100911.22881076604,100797.0487924333
2024-07-21,115005.07358145821,100918.6257553533,100805.89930242539
2024-07-22,115396.55566456284,100933.59334062382,100818.36189162507
2024-07-23,115635.96332791437,100934.98042962991,100818.38497753294
2024-07-24,115963.06479295286,100949.55787853399,100830.74047977247
2024-07-25,116405.86303137774,100966.21893492536,100844.42573250715
2024-07-26,116547.18249606577,100980.05728694663,100857.13081455012
2024-07-27,116236.88325015502,100951.26468416349,100830.52291504655
2024-07-28,116736.43464516604,100974.52037748162,100850.34675600035
2024-07-29,117130.45472888864,100992.8619570789,100866.13647066831
2024-07-30,117334.86437978326,101005.70817631396,100877.59453823195
2024-07-31,117078.28189705107,100989.679512946,100863.2330766541
2024-08-01,116839.95811478744,100982.95858797635,100858.08632654573
2024-08-02,116736.589614821,100980.04653693049,100855.65906016032
2024-08-03,116515.76181029905,100967.22503921691,100844.26149094869
2024-08-04,116104.30685069477,100961.48244394301,100841.49006381833
2024-08-05,117114.49794049378,101117.33545195071,100989.56266602901
2024-08-06,116872.79403212375,101075.19487982136,100948.85644702865
