,equal,risk_parity,correlation_off
2024-08-24,99971.82177186354,100023.85181960613,100023.90701448523
2024-08-25,100115.00212580727,100033.19217563904,100033.23325689539
2024-08-26,100085.21375373226,100030.49643062976,100030.5445786023
2024-08-27,99795.4508469139,100062.54450809564,100062.0609292516
2024-08-28,99725.0399709508,100056.89957656838,100056.40929729212
2024-08-29,99665.53500092724,100054.01709391856,100053.56085572725
2024-08-30,99707.98438872235,100041.45675009633,100041.06524329215
2024-08-31,99846.77527668144,100050.28104849545,100049.87466973794
2024-09-01,99816.64403287382,100048.49282360755,100048.09671912163
2024-09-02,99853.49688731658,100054.1759494169,100053.75629958294
2024-09-03,99828.28612913821,100052.39347524088,100051.97641032208
2024-09-04,99769.62028544,100057.14628279445,100056.72736278932
2024-09-05,99764.78663330077,100058.14637264221,100057.75612870915
2024-09-06,99821.71996884266,100062.27598102608,100061.84788930127
2024-09-07,99866.0558003085,100078.5297390799,100078.07076821127
2024-09-08,99831.20219875952,100079.30999787322,100078.90357037468
2024-09-09,99597.25207255699,100056.94135354923,100056.5530670867
2024-09-10,99647.1504377879,100059.19216648933,100058.77174319336
2024-09-11,99782.12449712069,100064.16537706686,100063.66160184043
2024-09-12,99777.9078148053,100073.8369231612,100073.36575156575
2024-09-13,99636.50952092104,100062.91627843743,100062.4919235441
2024-09-14,99634.08481974201,100062.6884370874,100062.26315517303
2024-09-15,99434.15378910837,100043.55393832429,100043.0449263827
2024-09-16,99427.14764326348,100041.39581770002,100040.85265980283
2024-09-17,99325.42009574936,100031.36116700462,100030.7694473784
2024-09-18,99388.760499549,100003.34429895155,100002.66267518098
2024-09-19,99217.33581293997,99991.75271789728,99991.10093385038
2024-09-20,98893.32673931512,99993.27208204601,99992.63536231953
2024-09-21,98934.6469391197,99953.81577635845,99952.9437517635
2024-09-22,98938.76385967962,99954.63715348914,99953.77578327066
2024-09-23,99027.77391789123,99960.73624054616,99959.8604756689
2024-09-24,98980.38267391366,99958.81807325884,99957.97781033456
2024-09-25,99013.02683450008,99961.3406673415,99960.50114442715
2024-09-26,98979.0641400145,99958.87152759149,99958.05617371431
2024-09-27,98917.65281251678,99953.56018567244,99952.73156344754
2024-09-28,98884.8418550282,99967.22214374575,99966.38887463478
2024-09-29,98657.51911191855,99951.19348368456,99950.38772414412
2024-09-30,98645.9878737141,99943.30439458527,99942.53125631856
2024-10-01,98523.21376090463,99934.12516175819,99933.35633900888
2024-10-02,98603.4724468037,99955.24753105426,99954.37497045433
2024-10-03,98611.14427089693,99955.89014340192,99955.01453521349
2024-10-04,98734.61561614451,99961.89045065102,99961.03103630093
2024-10-05,98803.65736255434,99966.51404684868,99965.64097967118
2024-10-06,98833.88663653024,99968.45918168926,99967.5785042447
2024-10-07,98803.68124363654,99946.33092236161,99945.46546693717
2024-10-08,98815.42154460782,99938.68761394614,99937.79332303639
2024-10-09,98932.73285426805,99946.54924657092,99945.63206811371
2024-10-10,99068.51729526259,99954.57234942031,99953.6063207772
2024-10-11,99234.87182634986,99975.1056996797,99974.05671198583
2024-10-12,99299.50608190891,99978.4785764917,99977.3972511399
2024-10-13,99278.1727432086,99976.67242453864,99975.60070252747
2024-10-14,99346.26706023134,99979.76999009118,99978.65467559505
2024-10-15,99269.24019616473,99970.97669305767,99969.79959025896
2024-10-16,99436.82661674373,99980.93180233632,99979.69633702705
2024-10-17,99437.79213274174,99989.80680364712,99988.58277528768
2024-10-18,99409.72650435152,99989.4400263811,99988.25299823825
2024-10-19,99321.08633108648,99983.37446063221,99982.21938795551
2024-10-20,99142.46986781253,99988.18409670507,99986.80852193359
2024-10-21,99292.94216537256,99997.41616357508,99995.99398180924
2024-10-22,99426.25972762225,100000.96320174907,99999.473308695
2024-10-23,99174.3678178515,99975.67746487567,99974.21864240596
2024-10-24,99339.3243977265,99985.17536899766,99983.6524919531
2024-10-25,99197.21340531964,99975.91294922738,99974.42224322625
2024-10-26,99366.53604247332,99993.16465762787,99991.66476172868
2024-10-27,99484.36372880447,100000.04686813781,99998.50360113403
2024-10-28,99484.63557995785,99998.43117938287,99996.8535745847
2024-10-29,99411.41296595853,100034.50878675713,100032.57788600647
2024-10-30,99411.56781435534,100034.3107817888,100032.39256313299
2024-10-31,99570.61194766453,100038.73638020875,100036.76887706578
2024-11-01,99622.71248602077,100034.5721398054,100032.6081580881
2024-11-02,99466.54556669544,100025.68287352807,100023.78075382079
2024-11-03,99438.12278716498,100026.34913657967,100024.50626570289
2024-11-04,99476.91591193115,100023.78211572615,100021.88538951757
2024-11-05,99554.4279016389,100034.5417791646,100032.66689537831
2024-11-06,99437.15600800092,100022.49696035146,100020.55599272392
2024-11-07,99621.38375755599,100040.66674190301,100038.81348836602
2024-11-08,99435.61983093031,100028.77287311139,100026.96552245163
2024-11-09,99484.43225530692,100029.66324412746,100027.87674824713
2024-11-10,99487.23971651324,100025.41136121454,100023.53117981133
2024-11-11,99084.81661527453,99997.07916875633,99995.2453544148
2024-11-12,99545.97209173135,100032.06589819546,100030.22905569225
2024-11-13,99859.66583037886,100129.88278811496,100127.88711012612
2024-11-14,100091.14781526316,100141.11873744673,100139.05289761444
2024-11-15,100101.79357257178,100134.23033822703,100132.11152347516
2024-11-16,100309.84852742888,100145.80062651499,100143.59491571796
2024-11-17,100011.37437979877,100128.50460055622,100126.40800858282
2024-11-18,100281.63564748637,100141.17532094065,100138.98494099325
2024-11-19,100456.58013480004,100154.40423308735,100152.21467997273
2024-11-20,100632.50997144624,100162.30697517689,100160.00540453951
2024-11-21,100585.92281654633,100157.6540869805,100155.32835296252
2024-11-22,100781.28637041688,100163.94545637976,100161.44359238897
2024-11-23,100873.77797051129,100163.30844033358,100160.67897761005
2024-11-24,100615.99118217666,100144.04713551894,100141.41910106866
2024-11-25,100817.04521281942,100149.14657335376,100146.47219141354
2024-11-26,100710.67622178636,100141.54209530137,100138.87557474923
2024-11-27,100977.57968285268,100157.99243389006,100155.2505963824
2024-11-28,101136.00297733332,100231.4589367374,100228.92008814588
2024-11-29,101114.67220650324,100231.25703483234,100228.74743328684
2024-11-30,101206.76203722785,100231.39627666489,100228.74501648746
2024-12-01,101323.29133739695,100240.55116076607,100237.90912926507
2024-12-02,101507.38947092861,100250.49557598813,100247.77365394823
2024-12-03,101441.54400746022,100247.1120730031,100244.42218481586
2024-12-04,101598.49896368144,100257.76415508412,100255.05201471061
2024-12-05,101547.7286554644,100261.59115982025,100259.03863281889
2024-12-06,101378.95450788652,100254.80483962603,100252.3738940073
2024-12-07,101507.53455057196,100257.4677228908,100254.99534703817
2024-12-08,101650.63242208447,100266.9694577059,100264.47253489852
2024-12-09,101604.17081394212,100294.61388195104,100292.12314646372
2024-12-10,101645.08563027208,100300.5887090372,100298.15933066639
2024-12-11,101738.61800850174,100297.27008273688,100294.8163631661
2024-12-12,101622.6998284313,100284.29492717375,100281.80888746193
2024-12-13,101624.92683801445,100288.16171698362,100285.7533036318
2024-12-14,101298.48481030663,100269.07127517686,100266.77264329407
2024-12-15,101267.7099972296,100268.65817998801,100266.39912900254
2024-12-16,101251.34943596392,100269.43259091488,100267.21544179882
2024-12-17,101070.3732213176,100270.34099498797,100268.16943035217
2024-12-18,101385.28207114304,100290.71511366116,100288.47615550489
2024-12-19,101649.32547670827,100378.89142498608,100376.85719700858
2024-12-20,101651.98842452632,100411.16978835211,100409.25154648168
2024-12-21,101112.23815299242,100381.21789502668,100379.51566547005
2024-12-22,101324.18119776745,100394.23518807755,100392.4728492761
2024-12-23,101526.59033357039,100405.64577455932,100403.82363656002
2024-12-24,101542.9658858751,100399.4251606259,100397.63903852901
2024-12-25,101417.54945344219,100394.18621225227,100392.48656542895
2024-12-26,101779.17633900688,100416.28939803984,100414.48657325917
2024-12-27,101968.96480871234,100428.36338470696,100426.51733233343
2024-12-28,101719.56773281445,100381.62467200111,100380.18015317709
2024-12-29,101665.47861915056,100349.99118516949,100348.40476669144
2024-12-30,101751.64078597579,100360.34504123556,100358.67855951168
2024-12-31,101568.11149004677,100332.14000959758,100330.49111664576
2025-01-01,101661.82212094235,100337.04733287403,100335.35479865117
2025-01-02,101459.46849316127,100327.80185317136,100326.2316349454
2025-01-03,101383.38776455926,100321.49052722253,100319.91827328896
2025-01-04,101561.10887878235,100330.93649108276,100329.30540658487
2025-01-05,101569.08341899025,100331.30559189964,100329.6697752745
2025-01-06,101645.79915181495,100335.83860208368,100334.17788190264
2025-01-07,101752.44380907156,100338.74273787408,100336.97622688493
2025-01-08,101553.15923942463,100328.38703094189,100326.71447747212
