date,equal,risk_parity,correlation_off
2022-01-02,100072.57547293979,99991.24913552082,99992.19167432339
2022-01-03,100205.30360666082,100043.94556094168,100043.14702124428
2022-01-04,100281.55869454674,100114.252069215,100110.43323026935
2022-01-05,100404.01260900062,100148.38710392486,100143.68986556579
2022-01-06,100101.00284230287,99978.07622351544,99979.88808407531
2022-01-07,99650.88440706213,99952.99681693569,99952.96808183074
2022-01-08,98640.87296480854,99709.04659187228,99714.32369083307
2022-01-09,98472.72551760067,99675.69747789891,99681.48077304506
2022-01-10,97708.37800305366,99403.15946097841,99413.61514829872
2022-01-11,97721.85499390085,99310.70776676,99324.26798981873
2022-01-12,97606.83854226721,99258.92601925608,99274.2835128946
2022-01-13,97529.14764364179,99247.87398820001,99263.24148469258
2022-01-14,97904.48256693252,99333.80686699056,99347.49168921413
2022-01-15,98022.229554173,99374.34921079809,99386.81997409977
2022-01-16,98110.54534784013,99406.40180732466,99417.8784086578
2022-01-17,98041.85877231571,99404.09469151705,99415.20669244326
2022-01-18,98368.23467454387,99472.87288438714,99482.80934412622
2022-01-19,98801.78687403772,99523.56386863238,99531.24367152949
2022-01-20,98552.31655723276,99485.94434541314,99493.78289282808
2022-01-21,97735.1511408583,99402.0391041977,99408.4051647582
2022-01-22,97805.63223856127,99493.35560491188,99495.61722644493
2022-01-23,96663.97381772389,99241.90994459337,99247.78601940033
2022-01-24,95935.36644812195,98943.483630863,98958.32306492496
2022-01-25,96258.03414794174,99017.80823252401,99031.2087389446
2022-01-26,96910.90481478111,99096.58382250286,99110.66065997462
2022-01-27,97095.32492168926,99161.1151591736,99175.30629976143
2022-01-28,97852.39656691288,99355.86204677845,99365.5991790225
2022-01-29,97646.58635746282,99303.88829165131,99314.79824483384
2022-01-30,97518.83700178756,99252.39753569216,99262.95883085592
2022-01-31,97503.0292146727,99268.11782514205,99277.77680718068
2022-02-01,97441.46700889287,99273.00016673323,99281.98047345328
2022-02-02,98133.36344216083,99407.80695370385,99412.14160673888
2022-02-03,98134.31742899836,99404.85148565103,99409.3417350891
2022-02-04,98476.95442432382,99431.70896743899,99437.24306565351
2022-02-05,98408.39495926151,99418.5303386187,99424.25022528591
2022-02-06,98890.45885504475,99865.73699857848,99871.31391339867
2022-02-07,98485.53267072761,99779.53454592529,99786.62977729298
2022-02-08,98805.83620274084,99846.13242533205,99852.1149770601
2022-02-09,98577.37028804589,99676.3091967312,99684.59349094244
2022-02-10,98404.20011536535,99611.29701006024,99621.64533097486
2022-02-11,97823.72852257328,99478.52883797437,99491.50101966951
2022-02-12,97725.19496421337,99457.99927584882,99471.31211171087
2022-02-13,97457.66722255072,99349.62593083734,99364.31838086346
2022-02-14,97462.31142015837,99309.0302789197,99322.28071306775
2022-02-15,97125.59513800613,99262.57836539099,99275.79562175053
2022-02-16,97401.03068254403,99344.14145122284,99355.24378732876
2022-02-17,97444.57131039692,99352.5959118575,99363.57952702617
2022-02-18,97139.5356490809,99267.24156877998,99280.37247162532
2022-02-19,97020.716585515,99266.24771256241,99278.58991819259
2022-02-20,96633.89314878247,99210.31198850872,99222.73471559609
2022-02-21,96529.70869719001,99232.45081889484,99244.46726014712
2022-02-22,96948.51060274772,99366.99364569869,99379.407291223
2022-02-23,96653.82358356765,99306.10458274337,99319.49539620725
2022-02-24,96933.03096845934,99411.93429832172,99432.09743617664
2022-02-25,97676.9737525634,99555.18011637882,99573.41735265269
2022-02-26,97661.24463155473,99520.22909046884,99540.11208821552
2022-02-27,97707.42972010685,99528.57023261453,99547.09060127295
2022-02-28,98158.2528968054,99638.80772826556,99654.96046579337
2022-03-01,98966.85184985283,99791.16262068975,99805.32517770343
2022-03-02,99025.78809339432,99718.03666829245,99731.0213723127
2022-03-03,99039.4159189888,99705.9593008283,99718.36492025437
2022-03-04,98851.92404956247,99668.15307707142,99681.15703529153
2022-03-05,98870.27636671024,99646.33403022021,99660.56343138065
2022-03-06,98610.00462183793,99631.86347502263,99646.4007847985
2022-03-07,98643.14005923679,99680.21453079737,99694.93181858069
2022-03-08,98790.36359934245,99650.78408277473,99664.52765240177
2022-03-09,99427.01861412842,99810.1057599852,99820.27147473102
2022-03-10,99748.6284759061,99856.22103068714,99866.29554996868
2022-03-11,99916.91779257759,99896.9344735892,99906.12335105627
2022-03-12,99713.58485525884,99874.85816252806,99883.7542817374
2022-03-13,99801.87079876286,99913.97222307375,99921.50990252387
2022-03-14,100042.0437674864,99972.35457163575,99978.61291957679
2022-03-15,99624.32667974783,99889.60496283074,99897.14838106117
2022-03-16,99775.74792209707,99957.14647490132,99962.33724966396
2022-03-17,99407.89833314855,99899.43970686867,99904.99253693069
2022-03-18,99157.84975505716,99811.11106309928,99819.37808581386
2022-03-19,99143.07709829904,99803.4856417831,99812.03390902173
2022-03-20,99398.86503241306,99834.68811156381,99842.44009725712
2022-03-21,99347.01104962145,99769.62753305759,99778.69447400948
2022-03-22,99352.30875297703,99771.92018861399,99780.90845555947
2022-03-23,99171.32076304183,99812.72850769587,99823.02823294062
2022-03-24,98742.26233849862,99745.48903898477,99756.1903585769
2022-03-25,98469.78917643405,99691.20203668703,99702.73439966563
2022-03-26,98304.32234302258,99654.52603096623,99666.44772823062
2022-03-27,98581.29797072202,99736.15509731964,99745.90891039724
2022-03-28,98568.99494863389,99744.33746267592,99753.59342575516
2022-03-29,98680.26149219264,99737.73347736668,99748.0995798261
2022-03-30,98117.17293353907,99560.34777111984,99571.1035239517
2022-03-31,98670.4290598731,99679.96538620205,99687.66951536221
2022-04-01,99063.33885717798,99748.34593397607,99755.34820118433
2022-04-02,98681.9636204675,99690.1956176847,99697.47421635075
2022-04-03,98935.1589284996,99776.33973622808,99780.20345534617
2022-04-04,99540.78887729454,99898.33182660418,99900.26639209743
2022-04-05,99752.04627488159,99940.23499790409,99941.52144473503
2022-04-06,99222.81580983894,99768.06687812731,99774.37166450765
2022-04-07,99733.99276895213,99888.63105018495,99892.41301381479
2022-04-08,98914.27487716381,99700.13935661635,99706.177176248
2022-04-09,98925.44776103851,99715.43438091835,99720.77953331136
2022-04-10,99085.56522754121,99767.16038197199,99771.01434310511
2022-04-11,99125.60613945956,99751.76113952923,99756.66957007628
2022-04-12,98802.61784111704,99886.45524730612,99893.5813259645
2022-04-13,98593.75496824253,99855.17678675754,99863.10785949945
2022-04-14,98973.67286732854,99912.03408647444,99918.77150603112
2022-04-15,98964.04901223628,99910.6906895245,99918.18780170826
2022-04-16,99065.74085441278,99891.42396479628,99898.39538341454
