strategy,status,family,timeframe,entry_points,modules,portable_modules,cautionary_modules
donchian_breakout_atr_1d_20260709,ACTIVE,donchian_breakout,1d,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; __init__.py; test_data_loader.py; test_strategy.py,2,4
impl_vpvr_multi_tf_funding,ACTIVE,impl_vpvr,?,run_backtest.py; strategy.py,build_signals.py; combine_signals.py; data_loader.py; run_backtest.py; strategy.py; __init__.py; test_build_signals.py; test_combine_signals.py,5,3
large_order_iceberg_tape_20260718,ACTIVE,large_order,?,,,0,0
loid_iceberg_v4_1m_20260720,ACTIVE,loid_iceberg,1m,backtest.py,analyze_param_scan.py; backtest.py; iceberg_detector.py; run_first_btc_90d.py; run_first_btc_90d_chunked.py; run_param_scan.py; run_param_scan_fast.py; run_param_scan_minimal.py; run_threshold_scan.py; save_composite.py; test_backtest.py; test_iceberg_detector.py,4,8
loid_vpvr_confluence_20260717,ACTIVE,loid_vpvr,?,run_backtest.py; strategy.py,build_signals.py; run_backtest.py; run_g1g7_backtest.py; strategy.py,1,3
momentum_intraday_fast_15m_btc_20260712,ACTIVE,momentum_intraday,15m,,data_loader.py,0,1
momentum_trend_btc_only_softer_stop_1h_20260712,ACTIVE,momentum_trend,1h,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; run_backtest.py; strategy.py; __init__.py; test_strategy.py; walk_forward.py,2,5
momentum_trend_multi_tf_atr_scaled_1h_20260712,ACTIVE,momentum_trend,1h,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; __init__.py; test_strategy.py; walk_forward.py,2,4
momentum_trend_multi_tf_atr_scaled_v2_1h_20260712,ACTIVE,momentum_trend,1h,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; __init__.py; test_strategy.py; walk_forward.py,2,4
momentum_trend_multi_tf_atr_scaled_v3_1h_20260712,ACTIVE,momentum_trend,1h,run_backtest.py; strategy.py,data_loader.py; framework_adapter_backtrader.py; run_backtest.py; strategy.py; __init__.py; test_strategy.py; walk_forward.py,2,5
mtf_h2_vpvr_edge_1m_15m_2h_20260718,ACTIVE,mtf_h2,1m,,,0,0
mtf_vpvr_edge_zscore_1m_15m_2h_20260718,ACTIVE,mtf_vpvr,1m,run_backtest.py; smoke_test.py; strategy.py,data_loader.py; diagnose.py; inspect_full.py; inspect_trades.py; run_backtest.py; smoke_test.py; strategy.py,0,7
mtf_xs_pairs_1m_15m_2h_h1_20260718,ACTIVE,mtf_xs,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; test_h1_strategy_20260718.py; walk_forward.py,1,4
mtf_xs_pairs_1m_15m_2h_h2_20260718,ACTIVE,mtf_xs,1m,run_backtest.py; strategy.py,data_loader.py; run_backtest.py; strategy.py; walk_forward.py,1,3
mtf_xs_pairs_1m_15m_2h_h3_20260718,ACTIVE,mtf_xs,1m,strategy.py,data_loader.py; framework_validate.py; sizing_sweep.py; strategy.py; write_winner_trades.py,1,4
mtf_xs_pairs_1m_15m_2h_h4_20260718,ACTIVE,mtf_xs,1m,,,0,0
