pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T02:33:00,59090.74,212.8,2021-11-21T04:02:00,58748.7,212.115,0.0017694008320518159,90,2.0119988064012015,0.3645902173168931,,0,z_mean_revert,0.002569400832051816
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T08:00:00,59053.51,214.398,2021-11-21T08:10:00,58838.27,212.927,0.00241624154740352,11,-2.040506232756372,-0.37218601491619646,,0,z_mean_revert,0.00321624154740352
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T12:15:00,58988.66,212.019,2021-11-21T12:25:00,59180.0,213.592,0.0033754721046047828,11,2.054239878735436,0.013867249375109069,,0,z_mean_revert,0.004175472104604783
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-21T14:18:00,58827.78,211.122,2021-11-21T14:24:00,58864.69,212.013,0.0027928839744183706,7,2.0360586550019097,0.24419417117469977,,0,z_mean_revert,0.0035928839744183705
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T16:15:00,59293.74,216.149,2021-11-21T17:02:00,59904.55,216.859,0.006216653584016596,48,-2.3550886637468356,-0.24759586225231656,,0,z_mean_revert,0.007016653584016597
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-21T18:30:00,59403.77,227.711,2021-11-21T22:12:00,59424.93,232.184,-0.02008711347353551,223,-2.9387262922676274,-0.4865479240947907,,0,z_mean_revert,-0.01928711347353551
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-22T04:00:00,57386.01,219.924,2021-11-22T05:31:00,57262.43,220.003,0.0017127015394669217,92,2.497194567360605,0.4151305703017237,,0,z_mean_revert,0.0025127015394669217
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-22T08:42:00,57482.89,217.055,2021-11-22T09:29:00,57524.3,218.755,0.00631172800835369,48,2.0063809857026556,0.43972016125348323,,0,z_mean_revert,0.0071117280083536905
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-22T17:00:00,57778.87,224.561,2021-11-22T18:26:00,57209.2,220.147,0.008996642374903519,87,-2.5520129682643065,-0.23002967260307425,,0,z_mean_revert,0.00979664237490352
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-23T07:15:00,56333.5,215.81,2021-11-23T07:34:00,56016.15,213.258,-0.006991801339981984,20,2.910933085624304,4.202524930504111,,0,adverse_stop,-0.006191801339981984
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-23T07:45:00,56128.0,213.491,2021-11-23T11:04:00,56194.26,212.332,-0.007409316240807295,200,2.855817878853943,0.3333661848218123,,0,z_mean_revert,-0.006609316240807295
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-23T17:15:00,57289.8,222.032,2021-11-23T19:20:00,57299.91,221.196,0.003141694235212734,126,-2.5103939974767053,-0.423294240511158,,0,z_mean_revert,0.003941694235212734
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-23T23:27:00,57553.8,221.602,2021-11-24T02:20:00,56618.98,217.287,-0.004029304161041835,174,2.0156206234270964,0.41791044640568414,,0,z_mean_revert,-0.0032293041610418354
BTCUSDT/SOLUSDT,long_a_short_b,2021-11-24T04:15:00,56569.72,219.035,2021-11-24T05:36:00,56643.79,218.566,0.0026505680359213643,82,-2.2284001430800178,-0.39679222591916125,,0,z_mean_revert,0.003450568035921364
BTCUSDT/SOLUSDT,short_a_long_b,2021-11-24T10:45:00,56650.0,215.082,2021-11-24T11:18:00,56562.49,216.078,0.005375540432441506,34,2.530485703505503,0.4609943351407716,,0,z_mean_revert,0.006175540432441506
