pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason,gross_pct
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-20T03:02:00,91557.6,231.64,2024-11-20T04:55:00,92144.7,233.7,0.0016807531868233924,114,2.622899256676781,0.40493324968988703,,0,z_mean_revert,0.0024807531868233923
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-21T02:45:00,94229.9,230.82,2024-11-21T04:29:00,96450.0,238.0,0.006746027674351529,105,2.87733999927958,0.4768894710560651,,0,z_mean_revert,0.00754602767435153
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-22T19:15:00,99137.6,252.09,2024-11-22T19:59:00,99112.6,254.19,0.007782532960490718,45,2.5277387964091185,0.38520640567899267,,0,z_mean_revert,0.008582532960490719
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-23T00:33:00,98735.2,257.81,2024-11-23T00:57:00,98729.0,255.74,0.007166374546385934,25,-2.618600731307576,-0.31422311257491436,,0,z_mean_revert,0.007966374546385935
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-23T01:12:00,98591.5,257.46,2024-11-23T01:25:00,98421.6,254.86,0.007575383811711101,14,-2.551758375497788,0.19218073456183254,,0,z_mean_revert,0.008375383811711101
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-23T04:45:00,98397.3,263.49,2024-11-23T05:32:00,98458.4,258.83,0.01750663266865984,48,-3.1838625301841637,-0.4412193097625531,,0,z_mean_revert,0.01830663266865984
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-23T11:40:00,98567.1,256.39,2024-11-23T12:30:00,98536.0,257.4,0.0034548323074539374,51,2.5832725180321563,0.39330959128120724,,0,z_mean_revert,0.004254832307453937
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-23T15:00:00,98800.0,263.62,2024-11-23T15:55:00,98456.6,260.2,0.008697510525363739,56,-2.560590143503616,-0.42114054711973004,,0,z_mean_revert,0.00949751052536374
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-23T20:31:00,97363.0,253.41,2024-11-23T20:59:00,97764.4,255.61,0.003758867183596327,29,2.7023034946949713,0.49767543239848216,,0,z_mean_revert,0.004558867183596327
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-24T01:00:00,98013.1,258.8,2024-11-24T02:09:00,98431.5,258.45,0.00482121279984018,70,-3.437459874841153,-0.46930938185758264,,0,z_mean_revert,0.005621212799840181
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-24T11:35:00,97369.1,248.88,2024-11-24T12:43:00,96553.1,242.02,-0.019983002306492057,69,2.7084735175402797,3.938156236397475,,0,adverse_stop,-0.01918300230649206
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-24T13:01:00,96828.5,243.74,2024-11-24T14:36:00,97136.5,247.57,0.011732583505894257,96,2.5209875284377583,0.1287215227406366,,0,z_mean_revert,0.012532583505894257
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-24T18:15:00,96261.2,249.5,2024-11-24T19:28:00,96318.5,248.19,0.00504575641124474,74,-2.509616824769389,-0.45246848410252977,,0,z_mean_revert,0.00584575641124474
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-25T01:15:00,97592.4,249.39,2024-11-25T01:22:00,97280.1,247.19,-0.0064214802540864865,8,3.1942308829258304,3.9650371272305063,,0,adverse_stop,-0.005621480254086486
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-25T01:23:00,97151.9,246.56,2024-11-25T02:07:00,97495.0,250.45,0.011445509781009689,45,4.107787864926329,0.4368763132105852,,0,z_mean_revert,0.012245509781009689
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-26T08:48:00,92835.8,231.92,2024-11-26T09:11:00,93533.2,234.73,0.00380405879569481,24,2.5081701450818343,0.4564330807317426,,0,z_mean_revert,0.00460405879569481
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-26T11:30:00,91890.3,223.77,2024-11-26T12:12:00,92604.6,228.93,0.014485991970726664,43,2.834071628055983,0.48963376382853996,,0,z_mean_revert,0.015285991970726664
BTCUSDT/SOLUSDT,long_a_short_b,2024-11-26T20:30:00,91279.3,228.93,2024-11-26T22:45:00,92210.8,231.01,0.00031919567820173423,136,-2.500893483281423,-0.38330354341356476,,0,z_mean_revert,0.0011191956782017343
BTCUSDT/SOLUSDT,short_a_long_b,2024-11-27T05:30:00,92764.9,228.99,2024-11-27T06:34:00,93234.7,231.5,0.005096761816132967,65,2.5275712850351955,0.4976252703407835,,0,z_mean_revert,0.005896761816132967
