date,w_A,w_B
2024-10-04,0.6,0.4
2024-10-25,0.6,0.4
2024-11-15,0.6,0.4
2024-12-06,0.4,0.6
2024-12-27,0.4,0.6
2025-01-17,0.6,0.4
2025-02-07,0.6,0.4
2025-02-28,0.6,0.4
2025-03-21,0.6,0.4
2025-04-11,0.4,0.6
2025-05-02,0.6,0.4
2025-05-23,0.6,0.4
2025-06-13,0.6,0.4
2025-07-04,0.6,0.4
2025-07-25,0.6,0.4
2025-08-15,0.6,0.4
2025-09-05,0.6,0.4
2025-09-26,0.6,0.4
2025-10-17,0.6,0.4
2025-11-07,0.6,0.4
2025-11-28,0.6,0.4
2025-12-19,0.6,0.4
2026-01-09,0.4,0.6
2026-01-30,0.4,0.6
2026-02-20,0.6,0.4
2026-03-13,0.6,0.4
2026-04-03,0.6,0.4
2026-04-24,0.4,0.6
