date,eq_A,eq_B,r_A,r_B,w_A,w_B,port_ret,port_equity
2025-01-18,100355.27484277468,2257840.706733,0.0,0.016788078275609353,0.6,0.4,0.006715231310243742,100671.52313102437
2025-01-19,100355.27484277468,2254559.674377,0.0,-0.0014531726468638428,0.6,0.4,-0.0005812690587455371,100613.0058895315
2025-01-20,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-21,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-22,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-23,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-24,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-25,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-26,100355.27484277468,2254559.674377,0.0,0.0,0.6,0.4,0.0,100613.0058895315
2025-01-27,100355.27484277468,2273649.077166,0.0,0.008467020414651527,0.6,0.4,0.003386808165860611,100953.76283946996
2025-01-28,100355.27484277468,2273649.077166,0.0,0.0,0.1,0.9,0.0,100953.76283946996
2025-01-29,100850.53870866248,2273649.077166,0.004935105470676326,0.0,0.1,0.9,0.0004935105470676327,101003.58458619738
2025-01-30,100850.53870866248,2273649.077166,0.0,0.0,0.6,0.4,0.0,101003.58458619738
2025-01-31,100850.53870866248,2273649.077166,0.0,0.0,0.6,0.4,0.0,101003.58458619738
2025-02-01,100850.53870866248,2261487.543022,0.0,-0.005348905539617643,0.6,0.4,-0.0021395622158470575,100787.48113295164
2025-02-02,100850.53870866248,2343025.109921,0.0,0.03605483795415565,0.6,0.4,0.01442193518166226,102241.0316529741
2025-02-03,100850.53870866248,2363047.769629,0.0,0.008545644527333085,0.6,0.4,0.0034182578109332343,102590.51785801974
2025-02-04,100850.53870866248,2363047.769629,0.0,0.0,0.6,0.4,0.0,102590.51785801974
2025-02-05,100850.53870866248,2363047.769629,0.0,0.0,0.6,0.4,0.0,102590.51785801974
2025-02-06,100850.53870866248,2372315.330597,0.0,0.003921867804413948,0.6,0.4,0.001568747121765579,102751.45643762995
2025-02-07,100850.53870866248,2372315.330597,0.0,0.0,0.6,0.4,0.0,102751.45643762995
2025-02-08,100850.53870866248,2372315.330597,0.0,0.0,0.6,0.4,0.0,102751.45643762995
2025-02-09,100850.53870866248,2384412.736793,0.0,0.005099409020366208,0.6,0.4,0.0020397636081464833,102961.04511915547
2025-02-10,100850.53870866248,2384412.736793,0.0,0.0,0.6,0.4,0.0,102961.04511915547
2025-02-11,100850.53870866248,2384412.736793,0.0,0.0,0.6,0.4,0.0,102961.04511915547
2025-02-12,100850.53870866248,2395962.515235,0.0,0.004843867114019185,0.6,0.4,0.001937546845607674,103160.53696734658
2025-02-13,100850.53870866248,2395962.515235,0.0,0.0,0.6,0.4,0.0,103160.53696734658
2025-02-14,100850.53870866248,2395962.515235,0.0,0.0,0.6,0.4,0.0,103160.53696734658
2025-02-15,100850.53870866248,2395962.515235,0.0,0.0,0.6,0.4,0.0,103160.53696734658
2025-02-16,100850.53870866248,2416615.404447,0.0,0.0086198715884227,0.6,0.4,0.0034479486353690804,103516.22920000707
2025-02-17,100850.53870866248,2416505.840189,0.0,-4.5337896050101634e-05,0.6,0.4,-1.8135158420040654e-05,103514.35191679148
2025-02-18,100850.53870866248,2369205.797755,0.0,-0.019573733962215623,0.6,0.4,-0.007829493584886249,102703.88696251532
2025-02-19,100850.53870866248,2369205.797755,0.0,0.0,0.6,0.4,0.0,102703.88696251532
2025-02-20,100850.53870866248,2369205.797755,0.0,0.0,0.6,0.4,0.0,102703.88696251532
2025-02-21,100850.53870866248,2369205.797755,0.0,0.0,0.6,0.4,0.0,102703.88696251532
2025-02-22,100850.53870866248,2369205.797755,0.0,0.0,0.6,0.4,0.0,102703.88696251532
2025-02-23,100850.53870866248,2369205.797755,0.0,0.0,0.6,0.4,0.0,102703.88696251532
2025-02-24,100850.53870866248,2278409.423591,0.0,-0.03832354886605316,0.6,0.4,-0.015329419546421265,101129.49599021868
2025-02-25,100850.53870866248,2216744.709735,0.0,-0.027064808114605765,0.6,0.4,-0.010825923245842306,100034.67582873786
2025-02-26,100850.53870866248,2216744.709735,0.0,0.0,0.6,0.4,0.0,100034.67582873786
2025-02-27,100850.53870866248,2216744.709735,0.0,0.0,0.6,0.4,0.0,100034.67582873786
2025-02-28,100850.53870866248,2264960.639873,0.0,0.021750781642223327,0.6,0.4,0.008700312656889331,100905.00878497846
2025-03-01,100850.53870866248,2280473.505222,0.0,0.006849066193870046,0.1,0.9,0.006164159574483042,101527.00336099368
2025-03-02,100964.1638295628,2274912.934634,0.0011266684576525243,-0.002438340360134461,0.1,0.9,-0.0020818394783557624,101315.64043727762
2025-03-03,100964.1638295628,2271750.366026,0.0,-0.0013901932508502135,0.6,0.4,-0.0005560773003400855,101259.30110946103
2025-03-04,100964.1638295628,2271750.366026,0.0,0.0,0.6,0.4,0.0,101259.30110946103
2025-03-05,100964.1638295628,2271750.366026,0.0,0.0,0.6,0.4,0.0,101259.30110946103
2025-03-06,100964.1638295628,2271750.366026,0.0,0.0,0.6,0.4,0.0,101259.30110946103
2025-03-07,100964.1638295628,2293615.763413,0.0,0.009624912012339282,0.6,0.4,0.0038499648049357127,101649.14585490483
2025-03-08,100964.1638295628,2293615.763413,0.0,0.0,0.6,0.4,0.0,101649.14585490483
2025-03-09,100964.1638295628,2348852.971817,0.0,0.024083026148113307,0.6,0.4,0.009633210459245324,102628.35346992766
2025-03-10,100964.1638295628,2427765.366447,0.0,0.033596140574501776,0.6,0.4,0.013438456229800711,104007.52010596982
2025-03-11,100964.1638295628,2427765.366447,0.0,0.0,0.6,0.4,0.0,104007.52010596982
2025-03-12,100964.1638295628,2427765.366447,0.0,0.0,0.6,0.4,0.0,104007.52010596982
2025-03-13,100964.1638295628,2427765.366447,0.0,0.0,0.6,0.4,0.0,104007.52010596982
2025-03-14,100964.1638295628,2385257.665928,0.0,-0.017508982172033005,0.6,0.4,-0.007003592868813202,103279.09377985269
2025-03-15,100964.1638295628,2384607.785719,0.0,-0.0002724570256218417,0.6,0.4,-0.00010898281024873668,103267.83813397262
2025-03-16,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-17,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-18,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-19,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-20,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-21,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-22,100964.1638295628,2384607.785719,0.0,0.0,0.6,0.4,0.0,103267.83813397262
2025-03-23,100964.1638295628,2395263.702915,0.0,0.004468624676903454,0.6,0.4,0.0017874498707613818,103452.424217899
2025-03-24,100964.1638295628,2418849.961121,0.0,0.00984704029760719,0.6,0.4,0.003938816119042877,103859.9042939625
2025-03-25,100964.1638295628,2424048.232364,0.0,0.002149067253675696,0.6,0.4,0.0008596269014702785,103949.18506167772
2025-03-26,100964.1638295628,2424048.232364,0.0,0.0,0.6,0.4,0.0,103949.18506167772
2025-03-27,100964.1638295628,2424048.232364,0.0,0.0,0.6,0.4,0.0,103949.18506167772
2025-03-28,100964.1638295628,2448413.587235,0.0,0.010051514052275445,0.6,0.4,0.004020605620910178,104367.12373942573
2025-03-29,100964.1638295628,2448413.587235,0.0,0.0,0.6,0.4,0.0,104367.12373942573
2025-03-30,100964.1638295628,2448413.587235,0.0,0.0,0.6,0.4,0.0,104367.12373942573
2025-03-31,100964.1638295628,2448413.587235,0.0,0.0,0.6,0.4,0.0,104367.12373942573
2025-04-01,100964.1638295628,2467229.754497,0.0,0.007685044454948109,0.6,0.4,0.0030740177819792436,104687.95013365475
2025-04-02,100964.1638295628,2447707.461137,0.0,-0.007912636966385889,0.1,0.9,-0.0071213732697473,103942.4281639083
2025-04-03,100964.1638295628,2460042.464617,0.0,0.005039410826598534,0.1,0.9,0.004535469743938681,104413.85590195721
2025-04-04,100964.1638295628,2460042.464617,0.0,0.0,0.1,0.9,0.0,104413.85590195721
2025-04-05,100964.1638295628,2460042.464617,0.0,0.0,0.1,0.9,0.0,104413.85590195721
2025-04-06,100964.1638295628,2489646.205752,0.0,0.012033833383282344,0.1,0.9,0.01083045004495411,105544.7049523044
2025-04-07,100964.1638295628,2446236.140281,0.0,-0.017436238679498617,0.1,0.9,-0.015692614811548756,103888.43255208933
2025-04-08,100964.1638295628,2446236.140281,0.0,0.0,0.1,0.9,0.0,103888.43255208933
2025-04-09,100964.1638295628,2446236.140281,0.0,0.0,0.1,0.9,0.0,103888.43255208933
2025-04-10,100964.1638295628,2446236.140281,0.0,0.0,0.1,0.9,0.0,103888.43255208933
2025-04-11,100964.1638295628,2446236.140281,0.0,0.0,0.1,0.9,0.0,103888.43255208933
2025-04-12,101132.76443185512,2437441.861232,0.0016699053990771873,-0.0035950245784489576,0.1,0.9,-0.0030685315806963432,103569.64761593421
2025-04-13,101132.76443185512,2437441.861232,0.0,0.0,0.6,0.4,0.0,103569.64761593421
2025-04-14,101132.76443185512,2437441.861232,0.0,0.0,0.6,0.4,0.0,103569.64761593421
2025-04-15,101132.76443185512,2437441.861232,0.0,0.0,0.6,0.4,0.0,103569.64761593421
2025-04-16,101132.76443185512,2493229.946608,0.0,0.022887965560664414,0.6,0.4,0.009155186224265767,104517.84702703968
2025-04-17,101132.76443185512,2493229.946608,0.0,0.0,0.6,0.4,0.0,104517.84702703968
2025-04-18,101132.76443185512,2493229.946608,0.0,0.0,0.6,0.4,0.0,104517.84702703968
2025-04-19,101132.76443185512,2493229.946608,0.0,0.0,0.6,0.4,0.0,104517.84702703968
2025-04-20,101132.76443185512,2493229.946608,0.0,0.0,0.6,0.4,0.0,104517.84702703968
2025-04-21,101132.76443185512,2502251.100135,0.0,0.0036182597354379453,0.6,0.4,0.0014473038941751782,104669.11611405271
2025-04-22,101132.76443185512,2502251.100135,0.0,0.0,0.6,0.4,0.0,104669.11611405271
2025-04-23,101132.76443185512,2502251.100135,0.0,0.0,0.6,0.4,0.0,104669.11611405271
2025-04-24,101132.76443185512,2502251.100135,0.0,0.0,0.6,0.4,0.0,104669.11611405271
2025-04-25,101132.76443185512,2508331.295889,0.0,0.0024298903310191466,0.6,0.4,0.0009719561324076587,104770.84990333348
2025-04-26,101132.76443185512,2508331.295889,0.0,0.0,0.6,0.4,0.0,104770.84990333348
2025-04-27,101132.76443185512,2535132.712554,0.0,0.010684958844521697,0.6,0.4,0.004273983537808679,105218.63879106255
2025-04-28,101132.76443185512,2535132.712554,0.0,0.0,0.6,0.4,0.0,105218.63879106255
2025-04-29,101132.76443185512,2535132.712554,0.0,0.0,0.6,0.4,0.0,105218.63879106255
2025-04-30,101132.76443185512,2566387.025981,0.0,0.01232847230136258,0.6,0.4,0.004931388920545033,105737.51282063164
2025-05-01,101132.76443185512,2566387.025981,0.0,0.0,0.6,0.4,0.0,105737.51282063164
2025-05-02,101132.76443185512,2566387.025981,0.0,0.0,0.6,0.4,0.0,105737.51282063164
2025-05-03,101132.76443185512,2566387.025981,0.0,0.0,0.6,0.4,0.0,105737.51282063164
2025-05-04,101132.76443185512,2566387.025981,0.0,0.0,0.6,0.4,0.0,105737.51282063164
2025-05-05,101132.76443185512,2566387.025981,0.0,0.0,0.6,0.4,0.0,105737.51282063164
2025-05-06,101132.76443185512,2587434.867729,0.0,0.008201351368644083,0.6,0.4,0.0032805405474576332,106084.38901882705
2025-05-07,101132.76443185512,2601008.369874,0.0,0.005245929980418618,0.6,0.4,0.002098371992167447,106306.99352955035
2025-05-08,101132.76443185512,2613877.441961,0.0,0.004947724211907589,0.6,0.4,0.0019790896847630356,106517.38460386287
2025-05-09,101132.76443185512,2658208.835318,0.0,0.01696001221990784,0.6,0.4,0.006784004887963136,107239.9990616685
2025-05-10,101132.76443185512,2657065.196347,0.0,-0.0004302291662735547,0.6,0.4,-0.00017209166650942188,107221.54395151351
2025-05-11,101132.76443185512,2657065.196347,0.0,0.0,0.6,0.4,0.0,107221.54395151351
2025-05-12,101149.57412909176,2657065.196347,0.00016621415750939228,0.0,0.6,0.4,9.972849450563537e-05,107232.23699467037
2025-05-13,101149.57412909176,2627286.018721,0.0,-0.011207544951076676,0.6,0.4,-0.00448301798043067,106751.51294814145
2025-05-14,101149.57412909176,2637669.522379,0.0,0.003952178629966996,0.6,0.4,0.0015808714519867984,106920.27336741757
2025-05-15,101149.57412909176,2637669.522379,0.0,0.0,0.6,0.4,0.0,106920.27336741757
2025-05-16,101149.57412909176,2637669.522379,0.0,0.0,0.6,0.4,0.0,106920.27336741757
2025-05-17,101149.57412909176,2637669.522379,0.0,0.0,0.6,0.4,0.0,106920.27336741757
2025-05-18,101149.57412909176,2637669.522379,0.0,0.0,0.6,0.4,0.0,106920.27336741757
2025-05-19,101149.57412909176,2621866.02281,0.0,-0.005991463083194204,0.6,0.4,-0.0023965852332776816,106664.02981912719
2025-05-20,101149.57412909176,2621866.02281,0.0,0.0,0.6,0.4,0.0,106664.02981912719
2025-05-21,101149.57412909176,2651700.148836,0.0,0.011378966646825361,0.6,0.4,0.004551586658730145,107149.52039421834
2025-05-22,101149.57412909176,2651700.148836,0.0,0.0,0.6,0.4,0.0,107149.52039421834
2025-05-23,101149.57412909176,2708677.022042,0.0,0.021486921600472497,0.6,0.4,0.008594768640189,108070.44573191386
2025-05-24,101149.57412909176,2708677.022042,0.0,0.0,0.6,0.4,0.0,108070.44573191386
2025-05-25,101149.57412909176,2708677.022042,0.0,0.0,0.6,0.4,0.0,108070.44573191386
2025-05-26,101149.57412909176,2708677.022042,0.0,0.0,0.6,0.4,0.0,108070.44573191386
2025-05-27,101149.57412909176,2708677.022042,0.0,0.0,0.6,0.4,0.0,108070.44573191386
2025-05-28,101149.57412909176,2708677.022042,0.0,0.0,0.6,0.4,0.0,108070.44573191386
2025-05-29,101149.57412909176,2708677.022042,0.0,0.0,0.6,0.4,0.0,108070.44573191386
2025-05-30,101319.902072566,2755569.977127,0.0016839215087238735,0.017312124961154973,0.6,0.4,0.007935202889696314,108928.00664517652
2025-05-31,101319.902072566,2724431.940267,0.0,-0.01130003488151854,0.6,0.4,-0.0045200139526074155,108435.65053531062
