ts,symbol,loid_z,vpvr_dist_pct,hvn_price,funding_rate,side
2026-07-03T01:13:00+00:00,BTCUSDT,3.9562,0.00182,61517.1603,0.0001,buy_absorption
2026-07-03T01:14:00+00:00,BTCUSDT,6.2761,0.001566,61517.1603,0.0001,buy_absorption
2026-07-03T03:49:00+00:00,BTCUSDT,3.5686,0.000124,61384.6875,0.0001,buy_absorption
2026-07-03T04:57:00+00:00,BTCUSDT,3.481,0.000868,61366.005,0.0001,buy_absorption
2026-07-03T05:21:00+00:00,BTCUSDT,3.0374,0.000657,61516.7105,0.0001,sell_absorption
2026-07-03T08:43:00+00:00,BTCUSDT,13.0228,0.001132,61785.9882,0.0001,buy_absorption
2026-07-04T00:05:00+00:00,BTCUSDT,5.7436,0.000176,62607.6658,0.0001,buy_absorption
2026-07-04T00:06:00+00:00,BTCUSDT,10.0741,0.000162,62764.8527,0.0001,buy_absorption
2026-07-04T00:07:00+00:00,BTCUSDT,4.5726,0.000354,62764.8527,0.0001,mixed
2026-07-04T00:08:00+00:00,BTCUSDT,4.8279,0.001247,62764.8527,0.0001,buy_absorption
2026-07-04T00:10:00+00:00,BTCUSDT,4.3512,0.000522,62764.8527,0.0001,sell_absorption
2026-07-04T01:02:00+00:00,BTCUSDT,7.465,0.001402,62605.9,0.0001,sell_absorption
2026-07-04T03:32:00+00:00,BTCUSDT,4.1555,0.000448,62535.3082,0.0001,buy_absorption
2026-07-04T05:53:00+00:00,BTCUSDT,6.3361,0.000142,62469.6977,0.0001,sell_absorption
2026-07-04T05:54:00+00:00,BTCUSDT,8.2861,0.000237,62469.6977,0.0001,sell_absorption
2026-07-04T05:55:00+00:00,BTCUSDT,3.9301,0.000592,62469.6977,0.0001,sell_absorption
2026-07-04T05:56:00+00:00,BTCUSDT,3.5472,0.000619,62469.6977,0.0001,sell_absorption
2026-07-04T08:39:00+00:00,BTCUSDT,30.9502,0.000852,62554.5895,0.0001,mixed
2026-07-04T11:28:00+00:00,BTCUSDT,9.5248,5e-05,62442.38,0.0001,sell_absorption
2026-07-04T11:34:00+00:00,BTCUSDT,7.053,0.00021,62513.4,0.0001,buy_absorption
2026-07-04T11:45:00+00:00,BTCUSDT,5.4555,1e-06,62461.14,0.0001,sell_absorption
2026-07-04T11:46:00+00:00,BTCUSDT,4.5761,9e-06,62478.56,0.0001,buy_absorption
2026-07-04T12:33:00+00:00,BTCUSDT,3.4453,0.001231,62542.88,0.0001,buy_absorption
2026-07-04T12:58:00+00:00,BTCUSDT,5.1633,0.001714,62542.88,0.0001,buy_absorption
2026-07-04T14:12:00+00:00,BTCUSDT,3.8044,0.001334,62575.4175,0.0001,buy_absorption
2026-07-04T22:52:00+00:00,BTCUSDT,4.2893,4.7e-05,63193.5,9.5e-05,buy_absorption
2026-07-04T23:02:00+00:00,BTCUSDT,3.6942,0.001423,63193.5,9.5e-05,sell_absorption
2026-07-04T23:12:00+00:00,BTCUSDT,5.6293,0.001853,63193.5,9.5e-05,sell_absorption
2026-07-05T00:56:00+00:00,BTCUSDT,7.309,0.001863,63012.1147,9.5e-05,sell_absorption
2026-07-05T04:32:00+00:00,BTCUSDT,3.1907,0.001469,62823.3,9.5e-05,buy_absorption
2026-07-05T07:09:00+00:00,BTCUSDT,3.2537,2.3e-05,62739.746,9.5e-05,buy_absorption
2026-07-05T07:22:00+00:00,BTCUSDT,19.4348,6.1e-05,62739.746,9.5e-05,mixed
2026-07-06T19:18:00+00:00,BTCUSDT,3.4457,0.000919,63850.478,0.0001,buy_absorption
2026-07-07T00:20:00+00:00,BTCUSDT,3.8955,0.00081,64174.0557,0.0001,buy_absorption
2026-07-07T00:24:00+00:00,BTCUSDT,4.0487,0.000541,64174.0557,0.0001,buy_absorption
2026-07-07T00:25:00+00:00,BTCUSDT,4.3903,0.000396,64261.778,0.0001,buy_absorption
2026-07-07T00:43:00+00:00,BTCUSDT,3.2094,0.001811,64172.8363,0.0001,sell_absorption
2026-07-07T02:29:00+00:00,BTCUSDT,12.177,0.000309,63563.76,0.0001,sell_absorption
2026-07-07T02:30:00+00:00,BTCUSDT,3.9858,0.000906,63563.76,0.0001,buy_absorption
2026-07-07T07:35:00+00:00,BTCUSDT,3.8208,0.001121,63151.0635,0.0001,sell_absorption
2026-07-10T00:00:00+00:00,BTCUSDT,4.3177,0.000655,63238.5998,9.1e-05,buy_absorption
