funding_threshold,vpvr_window_bars,n_bars,n_trades,win_rate,profit_factor,sharpe_daily,total_return,annualized_return,max_drawdown_pct,avg_bars_held,status,G1_sharpe_ge_1.0,G2_ann_ge_0.15,G3_mdd_gt_-25,G4_pf_gt_1.5,gates_pass_count
0.0002,30,17473,223,0.435,0.6945,-1.1018,-0.000582,-0.001168,-0.1049,5.34,ok,False,False,True,False,1
0.0005,20,17473,53,0.3774,0.8409,-0.1979,-5.9e-05,-0.000118,-0.0486,5.4,ok,False,False,True,False,1
0.0006,20,17473,24,0.4583,1.0406,-0.0212,-6e-06,-1.1e-05,-0.0428,5.88,ok,False,False,True,False,1
0.0004,20,17473,88,0.3864,0.5625,-2.131,-0.000696,-0.001396,-0.0746,5.56,ok,False,False,True,False,1
0.0003,20,17473,145,0.4414,0.6314,-2.0243,-0.000741,-0.001486,-0.0742,5.75,ok,False,False,True,False,1
0.0007,20,17473,11,0.3636,0.3841,-1.341,-0.000278,-0.000559,-0.0467,6.36,ok,False,False,True,False,1
0.0002,20,17473,236,0.4449,0.6272,-2.6958,-0.001213,-0.002434,-0.1263,5.51,ok,False,False,True,False,1
0.0008,20,17473,3,0.0,0.0,-1.4166,-0.000224,-0.000449,-0.0272,6.33,ok,False,False,True,False,1
0.0003,30,17473,138,0.4275,0.6741,-1.2225,-0.000562,-0.001128,-0.0993,5.38,ok,False,False,True,False,1
0.0004,30,17473,82,0.4024,0.6808,-1.0756,-0.000413,-0.000828,-0.0893,5.55,ok,False,False,True,False,1
0.0005,30,17473,49,0.3673,0.8529,-0.1263,-3.5e-05,-7e-05,-0.0547,5.16,ok,False,False,True,False,1
0.0008,30,17473,3,0.3333,0.4352,-0.9679,-0.000182,-0.000365,-0.0325,4.67,ok,False,False,True,False,1
0.0007,30,17473,12,0.5,0.9714,-0.4868,-9.8e-05,-0.000197,-0.0425,4.83,ok,False,False,True,False,1
0.0006,30,17473,22,0.5,1.0975,0.0255,7e-06,1.3e-05,-0.054,5.45,ok,False,False,True,False,1
0.0002,40,17473,207,0.4203,0.5824,-2.7361,-0.001385,-0.002777,-0.1581,5.23,ok,False,False,True,False,1
0.0006,40,17473,21,0.381,0.7248,-0.9404,-0.000257,-0.000516,-0.0531,5.52,ok,False,False,True,False,1
0.0007,40,17473,10,0.3,0.4318,-1.5534,-0.000338,-0.000678,-0.0478,5.0,ok,False,False,True,False,1
0.0004,40,17473,69,0.3623,0.5622,-1.8243,-0.000695,-0.001395,-0.0988,5.59,ok,False,False,True,False,1
0.0003,40,17473,124,0.3952,0.5217,-2.5126,-0.001061,-0.002127,-0.1216,5.36,ok,False,False,True,False,1
0.0008,40,17473,4,0.25,0.1755,-1.7663,-0.000376,-0.000755,-0.0454,3.75,ok,False,False,True,False,1
0.0002,50,17473,197,0.4315,0.5715,-3.377,-0.001409,-0.002826,-0.1637,5.21,ok,False,False,True,False,1
0.0005,40,17473,42,0.3571,0.7929,-0.5846,-0.00016,-0.000321,-0.058,5.57,ok,False,False,True,False,1
0.0004,50,17473,67,0.4478,0.6271,-1.8929,-0.00058,-0.001163,-0.0954,5.24,ok,False,False,True,False,1
0.0005,50,17473,40,0.45,0.8792,-0.3267,-5.8e-05,-0.000117,-0.0384,5.47,ok,False,False,True,False,1
0.0003,50,17473,118,0.4153,0.5308,-2.7942,-0.000968,-0.001941,-0.1204,5.21,ok,False,False,True,False,1
0.0006,50,17473,19,0.4737,0.7082,-1.0075,-0.000182,-0.000366,-0.0407,5.58,ok,False,False,True,False,1
0.0008,50,17473,5,0.4,0.3386,-1.8658,-0.000183,-0.000366,-0.0289,2.2,ok,False,False,True,False,1
0.0003,60,17473,114,0.3509,0.4584,-2.6942,-0.001064,-0.002134,-0.121,4.68,ok,False,False,True,False,1
0.0007,50,17473,9,0.4444,0.4796,-2.0592,-0.00023,-0.000461,-0.0315,4.22,ok,False,False,True,False,1
0.0002,60,17473,191,0.3822,0.4834,-2.8544,-0.001259,-0.002524,-0.1523,4.91,ok,False,False,True,False,1
0.0004,60,17473,62,0.2903,0.3559,-3.0195,-0.001034,-0.002074,-0.1263,4.73,ok,False,False,True,False,1
0.0005,60,17473,38,0.3158,0.6005,-1.0051,-0.000214,-0.00043,-0.0489,4.95,ok,False,False,True,False,1
0.0007,60,17473,9,0.4444,0.6976,-1.1544,-0.000104,-0.000208,-0.0257,3.44,ok,False,False,True,False,1
0.0008,60,17473,5,0.4,0.4844,-1.8375,-7.6e-05,-0.000153,-0.0173,2.4,ok,False,False,True,False,1
0.0006,60,17473,18,0.4444,0.7938,-0.4409,-7.6e-05,-0.000152,-0.0333,4.56,ok,False,False,True,False,1
