pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T13:48:00,47042.84,173.02,2022-01-01T14:16:00,47045.94,172.67,0.001288784909499597,29,-2.5886933592205983,-0.2851355618943812,-0.062036715947332906,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:19:00,46959.99,173.03,2022-01-01T15:20:00,46970.0,173.07,-0.0008180136032146283,2,-3.2848761291855073,-3.214557142067795,-0.0702325734816611,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:21:00,46973.2,173.03,2022-01-01T15:23:00,46989.39,173.18,-0.0013222370760769034,3,-2.894579972199806,-3.182609813586825,-0.0702325734816611,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:24:00,46982.58,173.13,2022-01-01T15:28:00,47004.45,173.31,-0.0013741894864634833,5,-2.996837270413159,-3.1517608875016845,-0.0702325734816611,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:29:00,47026.82,173.44,2022-01-01T15:35:00,47304.09,173.75,0.0033086355966932776,7,-3.2659707053932068,-0.23244554659800942,-0.0702325734816611,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T16:44:00,47421.77,174.8,2022-01-01T16:52:00,47325.98,174.0,0.0017567006948754579,9,-2.575775357767148,-0.4764224999607781,-0.051726582253753955,0,z_mean_revert
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:38:00,47640.34,3752.21,2022-01-01T17:39:00,47747.44,3757.03,-0.001763518497190341,2,2.7424248278331333,4.16368056560452,0.00031560622735706515,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:40:00,47819.0,3759.88,2022-01-01T17:41:00,47854.12,3759.73,-0.0015743309930667851,2,5.045085983325763,5.7930320140719385,0.00031560622735706515,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:42:00,47852.99,3761.17,2022-01-01T17:43:00,47847.18,3760.31,-0.0009072387336158443,2,4.9513849479533,4.873006447287067,0.00031560622735706515,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:44:00,47846.04,3757.82,2022-01-01T17:45:00,47887.96,3762.0,-0.0005637965115340198,2,5.382512731883634,4.83570176291746,0.00031560622735706515,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:46:00,47867.83,3762.8,2022-01-01T17:47:00,47879.99,3762.5,-0.0011337606855272623,2,3.954230800989747,4.172470166109176,0.009598801935249117,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:48:00,47825.46,3757.24,2022-01-01T17:49:00,47770.0,3753.58,-0.0006144859167797938,2,4.280547249393575,3.9373953553576855,0.009598801935249117,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:50:00,47786.36,3752.98,2022-01-01T17:51:00,47807.38,3758.6,0.0002576021972306115,2,4.275819759024336,3.138735925652768,0.009598801935249117,0,regime_break
BTCUSDT/ETHUSDT,short_a_long_b,2022-01-01T17:52:00,47817.97,3759.76,2022-01-01T18:33:00,47505.64,3743.27,0.0013457266524324004,42,2.9848692994051076,0.34214334119249856,0.009598801935249117,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:00:00,47590.11,175.88,2022-01-01T19:01:00,47590.12,176.24,-0.0028466399973928517,2,-2.8944238459452323,-3.8757782506273513,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:00:00,3754.3,175.88,2022-01-01T19:01:00,3754.09,176.24,-0.002902785985299116,2,-3.4104326913755796,-4.712685688525,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:02:00,47575.58,176.07,2022-01-01T19:03:00,47599.99,176.14,-0.0006844908004562715,2,-3.4225235719662255,-3.2729991494074198,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:02:00,3753.66,176.07,2022-01-01T19:03:00,3755.43,176.14,-0.0007260293714564707,2,-3.9586050850529424,-3.7736770295911093,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:04:00,47578.52,176.15,2022-01-01T19:05:00,47590.12,176.17,-0.0006697320972473879,2,-3.4299245163119316,-3.2760642566796196,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:04:00,3755.0,176.15,2022-01-01T19:05:00,3755.02,176.17,-0.0009082133652432482,2,-3.754681752148799,-3.697323762907917,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:06:00,47588.2,176.14,2022-01-01T19:09:00,47533.72,175.99,-0.0010932262935394502,4,-3.133323435199204,-3.0595027402210313,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:06:00,3755.03,176.14,2022-01-01T19:07:00,3756.91,176.11,-0.00012901915661909168,2,-3.482815813016739,-3.0030936814099185,-0.04111836239024504,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:08:00,3752.04,175.87,2022-01-01T19:09:00,3752.4,175.99,-0.0013863743653899966,2,-2.898393779485694,-3.1603782028903713,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:10:00,47546.41,176.09,2022-01-01T19:11:00,47500.02,175.96,-0.0010374194449978883,2,-3.1160983770071162,-3.1398180141995797,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:10:00,3752.7,176.09,2022-01-01T19:11:00,3746.78,175.96,-0.0016392719995496955,2,-3.345232309463854,-3.6927203972218865,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:12:00,47521.99,176.14,2022-01-01T19:13:00,47515.32,176.1,-0.0007132639893151265,2,-3.289057966638756,-3.1698596714272296,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:12:00,3748.31,176.14,2022-01-01T19:13:00,3749.19,176.1,-0.0003381354433655608,2,-3.8838256790865535,-3.5292166892916983,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:14:00,47508.6,176.16,2022-01-01T19:15:00,47447.0,175.99,-0.0011315755618076287,2,-3.277880875319975,-3.3180269965830704,-0.02535945086665681,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:14:00,3749.35,176.16,2022-01-01T19:15:00,3744.35,175.99,-0.0011685326952281853,2,-3.568948980853153,-3.634471250701515,-0.04111836239024504,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:16:00,47457.78,176.0,2022-01-01T19:17:00,47450.74,175.96,-0.0007210696519958974,2,-3.1693965945598204,-3.0639138963742303,-0.03208251286574214,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:16:00,3744.92,176.0,2022-01-01T19:17:00,3744.29,175.96,-0.0007409551654461215,2,-3.480759497196579,-3.3562321260465726,-0.0433780379913543,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:18:00,47452.55,175.95,2022-01-01T19:19:00,47452.23,176.02,-0.0012045838741240092,2,-2.959634643879724,-3.04086866611744,-0.03208251286574214,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:18:00,3744.31,175.95,2022-01-01T19:19:00,3745.19,176.02,-0.0009628170202221391,2,-3.2401022972941607,-3.228295842200115,-0.0433780379913543,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:20:00,47479.99,176.11,2022-01-01T19:22:00,47456.42,176.12,-0.001353202342260195,3,-2.9512244372053926,-3.016837427540127,-0.03208251286574214,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:20:00,3747.0,176.11,2022-01-01T19:21:00,3745.72,176.03,-0.0006873450775459526,2,-3.159734693819652,-3.0374999066678594,-0.0433780379913543,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:22:00,3745.33,176.12,2022-01-01T19:33:00,3743.89,176.43,-0.002944642329140356,12,-3.215079088558905,-3.314744972586232,-0.0433780379913543,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:23:00,47439.73,176.03,2022-01-01T19:33:00,47363.99,176.43,-0.004668892030357896,11,-2.9022156145330733,-3.444116985706046,-0.03208251286574214,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:34:00,47360.23,176.45,2022-01-01T19:35:00,47342.09,176.37,-0.0007296355601413611,2,-3.3985727761792317,-3.2878347561395187,-0.03957339335582215,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:34:00,3743.95,176.45,2022-01-01T19:35:00,3740.71,176.37,-0.0012120099440984015,2,-3.2608956275921206,-3.313162681145173,-0.04785606295614695,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:36:00,47362.89,176.64,2022-01-01T19:37:00,47338.68,176.62,-0.0011979350487316457,2,-3.476650419693803,-3.475272923768495,-0.03957339335582215,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:36:00,3741.14,176.64,2022-01-01T19:37:00,3739.08,176.62,-0.0012374096609551791,2,-3.670761219349749,-3.692155687620391,-0.04785606295614695,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:38:00,47320.87,176.49,2022-01-01T19:39:00,47323.49,176.89,-0.003011050669485237,2,-3.2933228855733745,-3.7242605507533373,-0.03957339335582215,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:38:00,3739.66,176.49,2022-01-01T19:39:00,3738.2,176.89,-0.0034568271841098667,2,-3.3231687941785686,-4.004233937364734,-0.04785606295614695,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:40:00,47318.73,176.95,2022-01-01T19:41:00,47309.87,176.71,0.0003690744769626837,2,-3.7070363558094246,-3.3353984470033073,-0.03957339335582215,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:40:00,3737.64,176.95,2022-01-01T19:41:00,3737.76,176.71,0.0005884211641027599,2,-4.006068401550742,-3.4970361956067295,-0.04785606295614695,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:42:00,47355.48,176.84,2022-01-01T19:43:00,47351.15,176.73,-0.000269404876793921,2,-3.2002378663977793,-3.009530705875339,-0.03957339335582215,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:42:00,3741.62,176.84,2022-01-01T19:43:00,3739.94,176.73,-0.0006269721582131453,2,-3.325194388525517,-3.1982558672326227,-0.04785606295614695,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:44:00,47321.34,176.88,2022-01-01T19:45:00,47309.21,176.76,-0.00037790650368838485,2,-3.255337831183988,-3.0882348316874424,-0.03957339335582215,0,regime_break
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:44:00,3738.86,176.88,2022-01-01T19:45:00,3738.13,176.76,-0.0003168206279086976,2,-3.417878823918289,-3.21166867900286,-0.04785606295614695,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:46:00,47325.15,176.85,2022-01-01T21:51:00,47283.61,176.73,-0.000999216250372114,126,-3.0525060948353646,-0.39482144802107744,-0.04150792491913096,0,z_mean_revert
ETHUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:46:00,3739.9,176.85,2022-01-01T21:49:00,3753.04,177.14,0.0010736551801381563,124,-3.147522300828156,-0.36086620059481533,-0.05019191058787066,0,z_mean_revert
