variant,family,params,n_windows,oos_sharpe_mean,oos_ann_mean,oos_max_dd_worst,oos_pf_portfolio,boot_ci_lower,boot_ci_upper,passed,tag
atr_mult_1_25,atr_mult,"{""multiplier"": 1.25}",7,1.8246073496973962,0.3932241250488514,-0.13389816601417426,1.0113612801720955,1.0171294247874008,2.6073357062281155,False,NOT-PROFITABLE
atr_mult_1_00,atr_mult,"{""multiplier"": 1.0}",7,1.794576289114316,0.2992040388226612,-0.10544340814075781,1.0111177099157442,0.9853252866450048,2.5957465183579758,False,NOT-PROFITABLE
atr_mult_1_50,atr_mult,"{""multiplier"": 1.5}",7,1.7643571460899523,0.45921210441127647,-0.1617947895764047,1.0110596434773689,0.9712438695443302,2.546330500684177,False,NOT-PROFITABLE
atr_mult_1_75,atr_mult,"{""multiplier"": 1.75}",7,1.641196843718596,0.47945689235158817,-0.1836883427764211,1.010350061403491,0.8669973816944129,2.4201446226238876,False,NOT-PROFITABLE
atr_mult_0_75,atr_mult,"{""multiplier"": 0.75}",7,1.6466817785836256,0.19941350714667602,-0.08421118410322015,1.0102136377884905,0.8365202000880857,2.4993499529245704,False,NOT-PROFITABLE
atr_mult_2_00,atr_mult,"{""multiplier"": 2.0}",7,1.446638564544964,0.4491137345310014,-0.2021053455348817,1.0092426510155177,0.6867981445246542,2.2043015566870015,False,NOT-PROFITABLE
regime_boost_1_6,regime,"{""boost_max"": 1.6}",7,1.166642986141396,0.3752363306498968,-0.21775635735062193,1.0076216251436139,0.3806845005495223,1.9050501229597856,False,NOT-PROFITABLE
atr_mult_0_50,atr_mult,"{""multiplier"": 0.5}",7,1.1045714313065464,0.0928405570889158,-0.07130405625111014,1.0069713272817244,0.19154329557385377,2.008564009807284,False,NOT-PROFITABLE
kelly_25pct,kelly,"{""kelly_fraction"": 0.25}",7,1.104361171404015,0.09280859073396559,-0.07131349691440314,1.0069626986254692,0.19099941891123504,2.0084620822944372,False,NOT-PROFITABLE
kelly_50pct,kelly,"{""kelly_fraction"": 0.5}",7,1.104361171404015,0.09280859073396559,-0.07131349691440314,1.0069626986254692,0.19099941891123504,2.0084620822944372,False,NOT-PROFITABLE
regime_boost_2_0,regime,"{""boost_max"": 2.0}",7,1.0158618914084137,0.33445634285827225,-0.23621844762851119,1.0067345024966614,0.17430338877981466,1.8214350491177989,False,NOT-PROFITABLE
vol_target_20pct,vol_target,"{""target_annual_vol_pct"": 20.0}",7,0.6839720939591432,0.21211053381906414,-0.318889330750618,1.0045517115863747,-0.26259942980410705,1.6100841043972303,False,NOT-PROFITABLE
vol_target_10pct,vol_target,"{""target_annual_vol_pct"": 10.0}",7,0.6839720939591432,0.21211053381906414,-0.318889330750618,1.0045517115863747,-0.26259942980410705,1.6100841043972303,False,NOT-PROFITABLE
vol_target_15pct,vol_target,"{""target_annual_vol_pct"": 15.0}",7,0.6839720939591432,0.21211053381906414,-0.318889330750618,1.0045517115863747,-0.26259942980410705,1.6100841043972303,False,NOT-PROFITABLE
