symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,macro_proximity_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
BTCUSDT,short,2022-02-05 00:00:00,2022-02-05 00:00:00,41428.66,2022-02-07 00:00:00,2022-02-07 00:00:00,42784.68,hard_stop,-339.3145,-0.033931,12,6,0.5745,1.0,100000.0
BTCUSDT,long,2022-02-11 08:00:00,2022-02-11 08:00:00,43332.95,2022-02-13 16:00:00,2022-02-13 16:00:00,42015.27,hard_stop,-316.0827,-0.031608,14,6,0.0353,1.0,100000.0
BTCUSDT,long,2022-02-17 12:00:00,2022-02-17 12:00:00,41907.7,2022-02-17 20:00:00,2022-02-17 20:00:00,40491.7,hard_stop,-349.8854,-0.034989,2,42,0.0228,1.0,100000.0
BTCUSDT,short,2022-02-21 08:00:00,2022-02-21 08:00:00,37549.9,2022-02-25 00:00:00,2022-02-25 00:00:00,38899.4,macro_regime_off,-371.3884,-0.037139,22,-24,0.1611,1.0,100000.0
BTCUSDT,long,2022-02-26 08:00:00,2022-02-26 08:00:00,38921.0,2022-02-28 20:00:00,2022-02-28 20:00:00,43155.0,take_profit,1075.8446,0.107584,15,6,0.3856,1.0,100000.0
BTCUSDT,long,2022-03-06 04:00:00,2022-03-06 04:00:00,39369.6,2022-03-07 00:00:00,2022-03-07 00:00:00,37848.8,hard_stop,-398.2879,-0.039829,5,12,0.0938,1.0,100000.0
BTCUSDT,long,2022-03-08 12:00:00,2022-03-08 12:00:00,38648.9,2022-03-09 00:00:00,2022-03-09 00:00:00,41198.5,macro_regime_off,647.6824,0.064768,3,-12,0.1809,1.0,100000.0
BTCUSDT,short,2022-03-11 00:00:00,2022-03-11 00:00:00,38703.1,2022-03-15 00:00:00,2022-03-15 00:00:00,38746.5,macro_regime_off,-23.2136,-0.002321,24,6,0.1526,1.0,100000.0
BTCUSDT,short,2022-04-10 20:00:00,2022-04-10 20:00:00,42140.4,2022-04-11 00:00:00,2022-04-11 00:00:00,42105.1,macro_regime_off,-3.6232,-0.000362,1,-12,0.102,1.0,100000.0
BTCUSDT,long,2022-04-13 16:00:00,2022-04-13 16:00:00,41041.5,2022-04-14 16:00:00,2022-04-14 16:00:00,39752.6,hard_stop,-326.048,-0.032605,6,6,0.0488,1.0,100000.0
BTCUSDT,long,2022-04-17 16:00:00,2022-04-17 16:00:00,40357.8,2022-04-17 20:00:00,2022-04-17 20:00:00,39649.1,hard_stop,-187.6042,-0.01876,1,30,0.4205,1.0,100000.0
