variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_ann_bps_at_entry,funding_z_at_entry,poc_distance_atr_at_entry
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-04-13 16:00:00,41047.100000,2022-04-14 16:00:00,39754.500000,-0.032697,6,asym_hard_stop,-1805.436,-3.036,0.042
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-04-17 16:00:00,40357.700000,2022-04-17 20:00:00,39665.700000,-0.018348,1,asym_hard_stop,-3047.494,-4.215,0.421
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-04-23 16:00:00,39747.600000,2022-04-25 04:00:00,38442.300000,-0.034049,9,asym_hard_stop,-1213.370,-1.872,0.744
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-06-26 12:00:00,21303.000000,2022-06-27 20:00:00,20710.000000,-0.029044,8,asym_hard_stop,-2258.438,-2.798,0.163
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-07-13 04:00:00,19683.800000,2022-07-17 00:00:00,21315.800000,0.081688,23,asym_take_profit,-1212.165,-1.738,0.856
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-09-06 08:00:00,19909.400000,2022-09-06 16:00:00,18807.900000,-0.056528,2,asym_hard_stop,-1800.618,-2.173,0.127
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2022-09-13 16:00:00,20275.200000,2022-09-16 12:00:00,19650.600000,-0.032023,17,asym_hard_stop,-4169.213,-3.424,0.648
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-02-15 12:00:00,22807.500000,2023-02-15 20:00:00,24353.300000,0.066574,2,asym_take_profit,-747.775,-1.586,0.746
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-03-13 12:00:00,24078.000000,2023-03-17 08:00:00,26982.800000,0.119418,23,asym_take_profit,-284.809,-2.607,0.757
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-03-27 16:00:00,26973.400000,2023-04-02 00:00:00,28479.600000,0.054608,32,asym_take_profit,-181.551,-2.757,0.889
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-04-04 00:00:00,27861.500000,2023-04-10 16:00:00,29179.500000,0.046065,40,asym_take_profit,-62.087,-2.014,0.807
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-05-27 00:00:00,26752.600000,2023-05-28 20:00:00,28077.600000,0.048317,11,asym_take_profit,-312.951,-2.687,0.149
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-07-13 00:00:00,30284.900000,2023-07-17 16:00:00,29878.700000,-0.014641,28,asym_hard_stop,-259.515,-2.332,0.172
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-08-25 20:00:00,26034.000000,2023-08-28 04:00:00,25903.400000,-0.006231,14,asym_hard_stop,-357.408,-1.833,0.064
vpvr_funding_asym_4h_20260713,ETHUSDT,long,2023-09-01 08:00:00,26025.400000,2023-09-05 00:00:00,25662.100000,-0.015181,22,asym_hard_stop,-464.280,-1.861,0.033
