bar,equity
0,50000.000000
1,50000.000000
2,50000.000000
3,50000.000000
4,50000.000000
5,50000.000000
6,50000.000000
7,50000.000000
8,50000.000000
9,50000.000000
10,50000.000000
11,50000.000000
12,50000.000000
13,50000.000000
14,50000.000000
15,50000.000000
16,50000.000000
17,50000.000000
18,50000.000000
19,50000.000000
20,50000.000000
21,50000.000000
22,50000.000000
23,50000.000000
24,50000.000000
25,50000.000000
26,50000.000000
27,50000.000000
28,50000.000000
29,50000.000000
30,50000.000000
31,50000.000000
32,50000.000000
33,50000.000000
34,50000.000000
35,50000.000000
36,50000.000000
37,50000.000000
38,50000.000000
39,50000.000000
40,50000.000000
41,50000.000000
42,50000.000000
43,50000.000000
44,50000.000000
45,50000.000000
46,50000.000000
47,50000.000000
48,50000.000000
49,50000.000000
50,50000.000000
51,50000.000000
52,50000.000000
53,50000.000000
54,50000.000000
55,50137.080642
56,49213.206099
57,47658.850759
58,48034.115219
59,48872.347274
60,49466.239361
61,49609.992662
62,49309.069574
63,49664.540565
64,51305.323254
65,51344.013635
66,51260.035863
67,50993.978010
68,51868.843421
69,53279.102842
70,53610.573015
71,53450.451963
72,52934.168924
73,52966.140728
74,52865.518520
75,52343.767074
76,51863.821744
77,51374.691695
78,51778.717805
79,51813.630850
80,50754.876497
81,51946.032658
82,52408.939844
83,52407.383438
84,52403.270045
85,52493.586108
86,52567.883003
87,53250.411103
88,53045.019748
89,52670.368468
90,52472.183025
91,52758.094434
92,52444.163322
93,53095.832018
94,52575.413409
95,52980.914642
96,51572.707013
97,51768.690980
98,51533.507952
99,51225.832828
100,50943.508773
101,50799.342788
102,50369.483678
103,50452.250078
104,50187.530651
105,49320.336809
106,49494.520200
107,49998.645443
108,49036.655621
109,48440.183061
110,49315.372505
111,49401.484350
112,49483.232537
113,48779.728608
114,48779.566009
115,48779.566009
116,48779.566009
117,48779.566009
118,48779.566009
119,48779.566009
120,48779.566009
121,48779.566009
122,48779.566009
123,48779.566009
124,48779.566009
125,48779.566009
126,48779.566009
127,48779.566009
128,48779.566009
129,48779.566009
130,48779.566009
131,48779.566009
132,48779.566009
133,48779.566009
134,48779.566009
135,48779.566009
136,48779.566009
137,48779.566009
138,48779.566009
139,47326.026049
140,44390.927495
141,45122.448985
142,47188.972948
143,48381.614240
144,47913.931776
145,47270.143364
146,48080.005808
147,47978.078889
148,48905.991360
149,48761.949662
150,49109.421659
151,48817.730915
152,50507.715277
153,51678.960338
154,51055.906849
155,48867.299898
156,46930.180509
157,47706.291296
158,48759.785132
159,49218.333454
160,47530.954103
161,48120.055393
162,48573.795393
163,47453.620194
164,47583.438821
165,48498.625104
166,48871.835705
167,50528.493209
168,50462.870662
169,50988.513274
170,50723.133429
171,50489.971084
172,51410.437666
173,51637.859044
174,51023.850511
175,51983.162430
176,52127.401109
177,51951.202318
178,50819.023562
179,51639.689309
180,49858.230930
181,50192.909491
182,50772.460823
183,52021.221245
184,53055.059859
185,53337.769014
186,54622.151524
187,54320.133200
188,54814.411101
189,54963.183891
190,54620.828192
191,55350.946296
192,55239.545960
193,54613.364274
194,54961.407926
195,52915.444242
196,53775.582379
197,53247.997985
198,53247.820491
199,53247.820491
200,53247.820491
201,53247.820491
202,53247.820491
203,53247.820491
204,53247.820491
205,53247.820491
206,53247.820491
207,54064.038856
208,55696.403028
209,56372.840431
210,56418.776783
211,56482.394255
212,56671.636963
213,57412.565328
214,56651.043305
215,56679.433826
216,56597.381008
217,56628.403870
218,56544.302986
219,56261.042410
220,56438.399445
221,57440.466553
222,57694.565164
223,57895.201737
224,57665.312607
225,58711.550551
226,59524.130757
227,59017.962671
228,59142.449321
229,59656.250900
230,58354.947862
231,57808.633115
232,57345.401681
233,58563.950228
234,57803.086983
235,58349.682740
236,59225.869260
237,59705.902906
238,60992.357671
239,60931.460450
240,59718.412622
241,59913.323838
242,61007.261341
243,60292.672710
244,58625.729125
245,57711.895408
246,57879.589710
247,58210.190313
248,58027.962833
249,58296.858654
250,56223.438240
251,54998.296584
252,55125.862066
253,54833.282790
254,55056.047212
255,54098.223886
256,55446.967483
257,54809.679894
258,54801.011804
259,54881.966507
260,55036.517232
261,54814.549565
262,53632.335438
263,53899.516530
264,53797.823101
265,54119.751317
266,54119.570917
267,54119.570917
268,54119.570917
269,54119.570917
270,54119.570917
271,54119.570917
272,54119.570917
273,54119.570917
274,54119.570917
275,54119.570917
276,54119.570917
277,54119.570917
278,54119.570917
279,54119.570917
280,54119.570917
281,54119.570917
282,54119.570917
283,54119.570917
284,54119.570917
285,54119.570917
286,54119.570917
287,54119.570917
288,54119.570917
289,54119.570917
290,54119.570917
291,52653.648167
292,52602.039049
293,52253.571377
294,52737.781348
295,52857.016611
296,51172.749686
297,51607.532114
298,51576.916646
299,51929.828480
300,50977.322038
301,49870.557008
302,49869.725832
303,49869.725832
304,49869.725832
305,49869.725832
306,49869.725832
307,49869.725832
308,49869.725832
309,49869.725832
310,49869.725832
311,48272.523599
312,47351.928226
313,47286.041186
314,48669.352186
315,49318.367141
316,49482.433079
317,49545.545535
318,49331.066125
319,50651.859537
320,51097.311035
321,50511.122519
322,49475.097280
323,48472.323319
324,45048.056568
325,45047.455927
326,45505.037542
327,46657.762327
328,49343.083562
329,49343.858191
330,50112.691190
331,49652.171009
332,50025.945546
333,51918.718277
334,50887.818116
335,52586.159265
336,53057.488001
337,53039.660215
338,52246.828375
339,52879.447415
340,53328.334670
341,52762.014749
342,51551.157349
343,51937.782958
344,53538.208883
345,53306.219425
346,49494.764298
347,49652.087654
348,49493.565256
349,50018.365056
350,50124.808678
351,53449.252318
352,53317.397918
353,55453.969547
354,55277.551881
355,55465.474465
356,55100.037369
357,55965.898638
358,55902.422606
359,56472.945963
360,57231.953185
361,56319.173511
362,56986.602495
363,56001.577626
364,55628.036906
365,55887.408047
366,54890.097519
367,55131.287926
368,55209.007520
369,53602.818971
370,53392.573349
371,53705.266150
372,51640.565297
373,51781.889500
374,51991.012169
375,50608.945178
376,49570.972751
377,49658.658673
378,49716.781890
379,49954.718452
380,50142.070819
381,50039.274077
382,50565.835944
383,50458.847902
384,49966.962522
385,49966.795965
386,49966.795965
387,49966.795965
388,49966.795965
389,49966.795965
390,49966.795965
391,49966.795965
392,49966.795965
393,49966.795965
394,49966.795965
395,49966.795965
396,49966.795965
397,49966.795965
398,49966.795965
399,49966.795965
400,49966.795965
401,49966.795965
402,49966.795965
403,49966.795965
404,49966.795965
405,49966.795965
406,49966.795965
407,49966.795965
408,49966.795965
409,49966.795965
410,49966.795965
411,49966.795965
412,49966.795965
413,49966.795965
414,49966.795965
415,49966.795965
416,49966.795965
417,48621.923622
418,48175.666094
419,48162.819259
420,48666.853628
421,48762.898945
422,48561.175055
