variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,pnl_price_pct,pnl_carry_pct,bars_held,exit_reason,funding_sum_24h_bps_at_entry,funding_vol_bps_at_entry,cum_carry_pct_at_exit
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-01-12T20:00:00+00:00,43902.660000,2022-01-17T16:00:00+00:00,42238.310000,-0.038663,-0.038110,-0.000553,30,hard_stop,-0.060,0.448,-0.000553
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-01-26T12:00:00+00:00,37985.000000,2022-02-05T08:00:00+00:00,41430.000000,0.089848,0.090494,-0.000646,60,time_stop,-0.176,0.497,-0.000646
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-02-08T00:00:00+00:00,44178.570000,2022-02-13T16:00:00+00:00,42031.160000,-0.050656,-0.048808,-0.001849,35,hard_stop,-0.575,0.668,-0.001849
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-02-18T20:00:00+00:00,39974.440000,2022-02-21T08:00:00+00:00,37577.330000,-0.060741,-0.060166,-0.000575,16,hard_stop,-0.611,0.542,-0.000575
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-02-22T00:00:00+00:00,36591.060000,2022-03-03T20:00:00+00:00,42454.000000,0.159028,0.160029,-0.001001,60,time_stop,-0.294,0.586,-0.001001
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-03-07T12:00:00+00:00,39071.480000,2022-03-17T08:00:00+00:00,40748.510000,0.041296,0.042722,-0.001426,60,time_stop,-0.539,0.586,-0.001426
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-04-12T12:00:00+00:00,40179.130000,2022-04-22T08:00:00+00:00,40585.540000,0.009332,0.009915,-0.000583,60,time_stop,-1.040,0.551,-0.000583
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-04-23T12:00:00+00:00,39792.650000,2022-04-30T20:00:00+00:00,37630.800000,-0.053927,-0.054528,0.000601,45,hard_stop,-5.057,0.770,0.000601
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-05-06T12:00:00+00:00,36004.340000,2022-05-08T12:00:00+00:00,34357.920000,-0.045995,-0.045928,-0.000066,13,hard_stop,-0.265,0.716,-0.000066
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-05-12T04:00:00+00:00,28193.400000,2022-05-22T00:00:00+00:00,29363.500000,0.040093,0.041303,-0.001209,60,time_stop,-0.434,0.779,-0.001209
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-05-24T20:00:00+00:00,29654.580000,2022-06-03T16:00:00+00:00,29572.520000,-0.007277,-0.002967,-0.004310,60,time_stop,-0.151,0.608,-0.004310
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-06-08T00:00:00+00:00,30026.720000,2022-06-11T12:00:00+00:00,28405.540000,-0.055863,-0.054191,-0.001672,22,hard_stop,-0.135,0.511,-0.001672
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-06-13T16:00:00+00:00,23218.220000,2022-06-16T20:00:00+00:00,20401.310000,-0.121015,-0.121523,0.000508,20,hard_stop,-0.305,0.558,0.000508
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-06-17T16:00:00+00:00,20515.590000,2022-06-18T16:00:00+00:00,18067.600000,-0.119846,-0.119523,-0.000322,7,hard_stop,-1.939,0.502,-0.000322
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-06-22T16:00:00+00:00,20117.340000,2022-06-30T16:00:00+00:00,18927.340000,-0.060931,-0.059353,-0.001578,49,hard_stop,-0.340,0.474,-0.001578
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-07-14T00:00:00+00:00,20224.240000,2022-07-23T20:00:00+00:00,22451.070000,0.104958,0.109907,-0.004949,60,time_stop,-0.361,0.397,-0.004949
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-08-13T04:00:00+00:00,24572.120000,2022-08-17T12:00:00+00:00,23391.900000,-0.048545,-0.048231,-0.000314,27,hard_stop,-0.609,0.480,-0.000314
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-08-20T12:00:00+00:00,21299.440000,2022-08-26T20:00:00+00:00,20241.050000,-0.049318,-0.049891,0.000573,39,hard_stop,-0.815,0.431,0.000573
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-08-27T12:00:00+00:00,19977.360000,2022-09-06T08:00:00+00:00,19918.330000,-0.003109,-0.003155,0.000046,60,time_stop,-0.411,0.328,0.000046
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-09-07T04:00:00+00:00,18800.430000,2022-09-17T00:00:00+00:00,19884.930000,0.053760,0.057485,-0.003725,60,time_stop,-0.121,0.345,-0.003725
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-09-19T16:00:00+00:00,19514.800000,2022-09-29T12:00:00+00:00,19288.850000,-0.013446,-0.011778,-0.001668,60,time_stop,-0.429,0.480,-0.001668
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-10-28T00:00:00+00:00,20292.810000,2022-11-06T20:00:00+00:00,20905.580000,0.027943,0.029996,-0.002053,60,time_stop,-0.438,0.351,-0.002053
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-11-09T04:00:00+00:00,18240.720000,2022-11-09T20:00:00+00:00,15922.810000,-0.126986,-0.127273,0.000288,5,hard_stop,-1.338,0.525,0.000288
vpvr_funding_aware_v1_20260711,BTCUSDT,long,2022-11-11T04:00:00+00:00,17404.080000,2022-11-14T00:00:00+00:00,16139.790000,-0.072448,-0.072843,0.000396,18,hard_stop,-39.860,3.554,0.000396
