variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_z_at_entry,poc_dist_atr_at_entry,funding_paid_pct
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-12 00:00:00,42675.000000,2022-01-12 01:00:00,42626.050000,0.000047,1,hard_stop,2.646,1.634,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-12 16:00:00,43611.020000,2022-01-12 17:00:00,43841.570000,-0.006387,1,hard_stop,2.646,4.468,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-13 08:00:00,43896.440000,2022-01-13 09:00:00,43883.000000,-0.000803,1,hard_stop,2.646,11.885,0.000091
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-13 16:00:00,43250.890000,2022-01-13 17:00:00,42822.120000,0.008814,1,hard_stop,2.646,4.125,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-15 16:00:00,43338.220000,2022-01-15 17:00:00,43383.260000,-0.002139,1,hard_stop,2.646,2.232,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-16 16:00:00,43381.450000,2022-01-16 17:00:00,43071.880000,0.006036,1,hard_stop,2.646,1.643,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-01-22 16:00:00,35100.020000,2022-01-23 16:00:00,35228.450000,0.001644,24,time_stop,-2.646,-9.083,-0.000815
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-25 16:00:00,36837.700000,2022-01-25 17:00:00,37273.330000,-0.012926,1,hard_stop,2.646,2.773,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-26 16:00:00,38264.860000,2022-01-26 17:00:00,38040.900000,0.004542,1,hard_stop,2.646,5.832,-0.000110
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-27 08:00:00,36450.000000,2022-01-27 09:00:00,36525.850000,-0.003237,1,hard_stop,2.646,1.706,0.000044
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-28 00:00:00,37157.270000,2022-01-28 01:00:00,36880.800000,0.006193,1,hard_stop,2.646,1.713,-0.000047
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-28 08:00:00,36658.470000,2022-01-28 09:00:00,36486.090000,0.003602,1,hard_stop,2.646,0.778,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-29 00:00:00,37788.270000,2022-01-29 01:00:00,37535.770000,0.005582,1,hard_stop,2.646,3.521,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-29 16:00:00,37538.190000,2022-01-29 17:00:00,37646.310000,-0.004038,1,hard_stop,2.646,4.872,0.000042
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-01-30 16:00:00,37832.440000,2022-01-30 17:00:00,37991.000000,-0.005348,1,hard_stop,2.646,0.877,0.000043
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-01-31 08:00:00,37145.630000,2022-02-01 08:00:00,38597.530000,0.040484,24,time_stop,-2.646,-1.427,0.002597
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-01 16:00:00,39110.890000,2022-02-01 17:00:00,38867.240000,0.005013,1,hard_stop,2.646,1.802,-0.000017
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-02 00:00:00,38557.270000,2022-02-02 01:00:00,38439.760000,0.001863,1,hard_stop,2.646,0.222,0.000016
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-02 08:00:00,38447.490000,2022-02-02 14:00:00,37703.720000,-0.020385,6,atr_trail,-2.646,-0.051,0.000160
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-03 00:00:00,36878.390000,2022-02-04 00:00:00,37180.530000,0.005890,24,time_stop,-2.646,-3.583,-0.001103
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-05 00:00:00,41471.410000,2022-02-05 01:00:00,41274.080000,0.003642,1,hard_stop,2.646,4.675,0.000083
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-05 16:00:00,41283.810000,2022-02-05 17:00:00,41583.930000,-0.008370,1,hard_stop,2.646,9.003,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-06 16:00:00,41640.850000,2022-02-06 17:00:00,41644.840000,-0.001310,1,hard_stop,2.646,0.795,-0.000014
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-07 16:00:00,43797.710000,2022-02-07 17:00:00,44204.420000,-0.010627,1,hard_stop,2.646,6.036,-0.000140
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-08 00:00:00,43850.000000,2022-02-08 01:00:00,44042.350000,-0.005639,1,hard_stop,2.646,4.684,-0.000053
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-08 08:00:00,44004.510000,2022-02-08 09:00:00,43859.020000,0.002151,1,hard_stop,2.646,4.709,0.000045
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-08 16:00:00,43017.010000,2022-02-08 17:00:00,42953.860000,0.000368,1,hard_stop,2.646,2.402,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-10 00:00:00,44103.290000,2022-02-10 01:00:00,44253.220000,-0.004500,1,hard_stop,2.646,5.705,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-11 08:00:00,43000.320000,2022-02-11 18:00:00,42664.580000,-0.009496,10,atr_trail,-2.646,-1.972,-0.000488
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-12 00:00:00,42311.000000,2022-02-13 00:00:00,42390.820000,-0.000670,24,time_stop,-2.646,-3.012,-0.001357
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-14 00:00:00,42113.120000,2022-02-15 00:00:00,42576.180000,0.008538,24,time_stop,-2.646,-4.878,-0.001257
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-16 00:00:00,44195.770000,2022-02-16 01:00:00,43988.690000,0.003586,1,hard_stop,2.646,4.936,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-19 00:00:00,40201.590000,2022-02-19 12:00:00,39754.990000,-0.013098,12,atr_trail,-2.646,-7.471,-0.000789
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-21 00:00:00,38741.340000,2022-02-21 11:00:00,37577.330000,-0.031415,11,atr_trail,-2.646,-4.149,-0.000169
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-22 00:00:00,37229.720000,2022-02-23 00:00:00,38137.910000,0.024021,24,time_stop,-2.646,-3.230,0.000827
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-23 08:00:00,38673.030000,2022-02-23 09:00:00,38876.900000,-0.006637,1,hard_stop,2.646,1.482,-0.000165
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-23 16:00:00,38638.240000,2022-02-23 17:00:00,38084.480000,0.013054,1,hard_stop,2.646,1.171,-0.000078
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-24 00:00:00,36755.820000,2022-02-24 03:00:00,34936.890000,-0.050203,3,atr_trail,-2.646,-1.915,0.000484
vpvr_funding_term_curve_1h_20260714,BTCUSDT,long,2022-02-24 16:00:00,36156.980000,2022-02-25 16:00:00,39374.000000,0.089475,24,time_stop,-2.646,-2.912,0.001701
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-26 00:00:00,39765.450000,2022-02-26 01:00:00,39704.810000,0.000403,1,hard_stop,2.646,1.735,0.000078
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-26 16:00:00,39148.750000,2022-02-26 17:00:00,39248.580000,-0.003650,1,hard_stop,2.646,3.936,0.000100
vpvr_funding_term_curve_1h_20260714,BTCUSDT,short,2022-02-27 16:00:00,39092.990000,2022-02-27 17:00:00,38969.710000,0.001926,1,hard_stop,2.646,0.161,-0.000027
