variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_z_at_entry,poc_dist_atr_at_entry,funding_paid_pct
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-01-10 08:00:00,3143.240000,2022-01-10 12:00:00,3030.080000,-0.036817,4,atr_trail,-2.646,-3.489,0.000384
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-11 08:00:00,3106.520000,2022-01-11 09:00:00,3121.900000,-0.006051,1,hard_stop,2.646,2.813,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-12 16:00:00,3368.200000,2022-01-12 17:00:00,3378.580000,-0.004277,1,hard_stop,2.646,9.531,0.000005
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-13 08:00:00,3355.440000,2022-01-13 09:00:00,3360.480000,-0.002644,1,hard_stop,2.646,14.419,0.000058
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-13 16:00:00,3300.470000,2022-01-13 17:00:00,3280.860000,0.004842,1,hard_stop,2.646,8.892,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-01-16 08:00:00,3310.720000,2022-01-17 03:00:00,3256.050000,-0.018991,19,atr_trail,-2.646,-2.755,-0.001278
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-01-17 16:00:00,3226.940000,2022-01-18 13:00:00,3138.000000,-0.029899,21,atr_trail,-2.646,-1.448,-0.001137
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-01-24 16:00:00,2259.560000,2022-01-25 16:00:00,2431.260000,0.073692,24,time_stop,-2.646,-2.304,-0.001096
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-01-26 00:00:00,2422.630000,2022-01-26 21:00:00,2416.700000,-0.001807,21,atr_trail,-2.646,-0.417,0.001841
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-27 08:00:00,2438.580000,2022-01-27 09:00:00,2440.050000,-0.001703,1,hard_stop,2.646,0.834,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-28 00:00:00,2430.470000,2022-01-28 01:00:00,2395.320000,0.013226,1,hard_stop,2.646,0.924,-0.000037
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-28 08:00:00,2402.290000,2022-01-28 09:00:00,2386.920000,0.005293,1,hard_stop,2.646,0.350,0.000095
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-29 00:00:00,2560.000000,2022-01-29 01:00:00,2531.600000,0.009966,1,hard_stop,2.646,3.532,0.000072
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-29 16:00:00,2557.700000,2022-01-29 17:00:00,2563.460000,-0.003352,1,hard_stop,2.646,5.122,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-30 08:00:00,2605.680000,2022-01-30 09:00:00,2608.570000,-0.002400,1,hard_stop,2.646,5.905,-0.000090
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-01-30 16:00:00,2596.620000,2022-01-30 17:00:00,2617.720000,-0.009352,1,hard_stop,2.646,6.007,-0.000026
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-01-31 00:00:00,2538.050000,2022-02-01 00:00:00,2687.340000,0.056740,24,time_stop,-2.646,-1.628,-0.000880
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-01 08:00:00,2763.150000,2022-02-01 09:00:00,2733.340000,0.009688,1,hard_stop,2.646,7.821,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-02-03 08:00:00,2671.260000,2022-02-04 08:00:00,2834.370000,0.060841,24,time_stop,-2.646,-0.221,0.000979
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-08 00:00:00,3128.250000,2022-02-08 01:00:00,3149.120000,-0.007780,1,hard_stop,2.646,3.565,0.000092
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-08 16:00:00,3043.450000,2022-02-08 17:00:00,3051.430000,-0.003754,1,hard_stop,2.646,0.538,0.000068
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-09 00:00:00,3127.270000,2022-02-09 01:00:00,3100.800000,0.007364,1,hard_stop,2.646,3.291,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-10 00:00:00,3218.240000,2022-02-10 01:00:00,3221.910000,-0.002244,1,hard_stop,2.646,5.550,0.000096
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-10 16:00:00,3223.720000,2022-02-10 17:00:00,3208.810000,0.003391,1,hard_stop,2.646,0.879,-0.000035
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-02-11 08:00:00,3068.570000,2022-02-11 18:00:00,3004.330000,-0.021654,10,atr_trail,-2.646,-2.468,0.000480
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-02-13 16:00:00,2887.490000,2022-02-14 16:00:00,2948.620000,0.017845,24,time_stop,-2.646,-1.710,-0.002126
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-16 08:00:00,3137.760000,2022-02-16 09:00:00,3127.000000,0.002329,1,hard_stop,2.646,6.677,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-02-18 08:00:00,2937.010000,2022-02-18 15:00:00,2798.580000,-0.048926,7,hard_stop,-2.646,-3.899,-0.000593
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-23 08:00:00,2700.730000,2022-02-23 09:00:00,2711.990000,-0.005269,1,hard_stop,2.646,2.698,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-02-24 00:00:00,2559.140000,2022-02-24 03:00:00,2395.450000,-0.064703,3,atr_trail,-2.646,-3.838,0.000460
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-02-24 16:00:00,2472.590000,2022-02-25 16:00:00,2724.660000,0.100050,24,time_stop,-2.646,-2.411,-0.000696
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-02-26 00:00:00,2831.000000,2022-02-26 01:00:00,2816.590000,0.003990,1,hard_stop,2.646,3.289,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-01 00:00:00,2947.440000,2022-03-01 01:00:00,2917.250000,0.009143,1,hard_stop,2.646,5.656,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-03-05 00:00:00,2593.040000,2022-03-06 00:00:00,2671.800000,0.031636,24,time_stop,-2.646,-0.502,0.002462
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-03-06 08:00:00,2634.330000,2022-03-06 23:00:00,2549.370000,-0.031729,15,atr_trail,-2.646,-17.324,0.001722
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-03-07 08:00:00,2531.810000,2022-03-07 18:00:00,2521.460000,-0.004528,10,atr_trail,-2.646,-6.272,0.000760
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-11 08:00:00,2596.590000,2022-03-11 09:00:00,2599.270000,-0.002132,1,hard_stop,2.646,0.271,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,long,2022-03-11 16:00:00,2558.960000,2022-03-12 16:00:00,2593.430000,0.010707,24,time_stop,-2.646,-0.848,-0.001564
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-16 00:00:00,2610.800000,2022-03-16 01:00:00,2641.930000,-0.013052,1,hard_stop,2.646,1.166,0.000072
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-16 08:00:00,2673.580000,2022-03-16 09:00:00,2682.920000,-0.004593,1,hard_stop,2.646,2.298,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-17 08:00:00,2768.650000,2022-03-17 09:00:00,2767.710000,-0.000760,1,hard_stop,2.646,5.907,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-18 16:00:00,2920.360000,2022-03-18 17:00:00,2933.910000,-0.005876,1,hard_stop,2.646,4.126,-0.000036
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-19 08:00:00,2935.100000,2022-03-19 09:00:00,2944.080000,-0.004243,1,hard_stop,2.646,5.500,0.000016
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-19 16:00:00,2972.490000,2022-03-19 17:00:00,2956.570000,0.004256,1,hard_stop,2.646,8.887,0.000100
vpvr_funding_term_curve_1h_20260714,ETHUSDT,short,2022-03-20 08:00:00,2925.290000,2022-03-20 09:00:00,2919.930000,0.000732,1,hard_stop,2.646,6.843,0.000100
