variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_ema_at_entry,exit_reason
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-04T02:00:00,46133.31,504.92,2022-01-04T02:30:00,46111.81,505.63,0.0010722040507522798,2,2.6116224840140507,2.2950781263313287,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-05T22:00:00,42966.69,469.62,2022-01-05T22:30:00,43415.84,475.95,0.002225536395755868,2,3.1212083634866614,2.0317245179474748,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-05T23:00:00,43596.01,476.49,2022-01-05T23:30:00,43421.69,473.95,-0.0021321159647904367,2,2.9399252482005473,3.178978385580791,0.0001,regime_break
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T00:00:00,43500.0,471.5,2022-01-06T00:30:00,43656.0,472.67,-0.0019047646908253216,2,4.716041043645219,4.436125600550903,0.0001,regime_break
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T01:00:00,43576.4,471.43,2022-01-06T01:30:00,43525.91,469.64,-0.0034383035063900494,2,4.157138592267998,4.248605303764447,0.0001,regime_break
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T02:00:00,43226.14,466.51,2022-01-06T02:30:00,43248.4,465.98,-0.002451061864826553,2,3.865113291418231,3.8266927581822006,0.0001,regime_break
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T03:00:00,43082.06,467.78,2022-01-06T03:30:00,42817.38,465.07,-0.00044969713129436805,2,2.3712905357049547,2.228803057666978,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T04:00:00,42809.06,463.94,2022-01-06T04:30:00,43007.21,466.3,-0.0003418284042840718,2,2.4895197420098865,2.3214173005180587,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T09:30:00,42591.58,460.97,2022-01-06T12:00:00,42655.72,459.29,-0.005950420249423582,6,2.145799991381568,2.387562601743778,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-06T12:30:00,43047.4,464.06,2022-01-06T14:30:00,42802.24,468.85,0.015217058603457812,5,2.163475015179882,0.1871418673922493,0.0001,z_mean_revert
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-07T05:00:00,41770.29,448.17,2022-01-07T05:30:00,41835.97,448.67,-0.001256761400548622,2,2.3609930631708815,2.324770494175145,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-07T06:00:00,41625.21,444.17,2022-01-07T06:30:00,41520.0,442.85,-0.0012442802922396404,2,2.757541166106941,2.6771515978878084,0.0001,confluence_lost
A,BTCUSDT/BNBUSDT,short_a_long_b,2022-01-07T07:00:00,41605.72,444.54,2022-01-07T07:30:00,41691.61,447.14,0.002984362911015693,2,2.395462855660534,1.9466313417964662,0.0001,confluence_lost
