variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_ema_at_entry,exit_reason
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-03T15:30:00,46915.29,170.95,2022-01-03T16:00:00,46635.11,170.2,-0.0008152074879536485,2,2.628575161367267,2.34632973812303,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-03T19:30:00,46628.56,169.94,2022-01-03T20:00:00,46357.42,167.32,-0.012002314941630773,2,2.3178017365461363,3.2857725755884775,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-04T00:30:00,46484.05,168.43,2022-01-04T01:00:00,46205.9,169.21,0.008214776906477275,2,2.5634542677867724,1.337791510803614,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-04T01:30:00,46301.2,167.84,2022-01-04T02:00:00,46135.82,167.99,0.002065537965414046,2,2.3953483324169493,1.861779878020751,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-04T04:30:00,46347.55,166.76,2022-01-04T05:00:00,46050.91,167.93,0.011016409313699918,2,2.7992033636928118,1.3858335609244743,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T16:30:00,46634.99,167.7,2022-01-05T17:00:00,46331.11,167.77,0.004533549391976546,2,2.346104318447003,1.1610118281523878,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T17:30:00,46345.55,163.56,2022-01-05T18:00:00,45978.96,164.38,0.010523379506411981,2,4.742529794334437,2.7025579448442754,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T18:30:00,45974.33,163.89,2022-01-05T19:00:00,45919.99,162.0,-0.012750161270838986,2,2.9357425072715713,3.9478971170893637,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T19:30:00,45957.89,158.65,2022-01-05T20:00:00,44706.0,158.1,0.021373185676134956,2,5.456772197682603,2.825264664466994,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T20:30:00,44170.63,156.3,2022-01-05T21:00:00,44176.27,156.43,-0.0016959528099676356,2,2.638122884434918,2.4699234898522615,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T21:30:00,43888.23,153.4,2022-01-05T22:00:00,43741.67,150.0,-0.021224884496263183,2,3.4223752217778878,4.521522695493498,0.0001,regime_break
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-05T22:30:00,43188.71,151.58,2022-01-05T23:00:00,43470.06,154.97,0.01344999404425802,2,2.5668616158702053,1.339451598397395,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T01:00:00,43689.46,153.27,2022-01-06T01:30:00,43596.07,152.49,-0.005351472021616163,2,2.3021610496977827,2.410257996842588,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T02:00:00,43502.38,150.85,2022-01-06T02:30:00,43278.0,150.86,0.002824169735926987,2,2.8477758081808013,2.3963618107175377,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T03:00:00,43239.69,150.21,2022-01-06T03:30:00,43083.35,148.12,-0.012698194343591027,2,2.5014638724337193,2.965779971490178,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-06T04:00:00,42921.42,148.46,2022-01-06T04:30:00,42853.92,149.48,0.006043178871022972,2,2.4921343477410733,1.9510517191179222,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T03:00:00,42782.28,141.16,2022-01-07T03:30:00,42205.74,139.63,0.0002373755990367622,2,2.9183740034134655,2.679701209999719,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T04:00:00,41858.82,138.63,2022-01-07T04:30:00,41401.17,140.21,0.019930424137641525,2,2.531080152920526,1.5751413894443702,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T06:00:00,41831.99,138.09,2022-01-07T06:30:00,41650.79,137.15,-0.0048755415557300424,2,2.4183609036846327,2.4336843445456426,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-07T13:30:00,42679.44,137.99,2022-01-07T14:00:00,41480.86,140.15,0.04133661951941699,2,2.490178781066969,0.8410325200296115,0.0001,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T12:30:00,41476.06,135.52,2022-01-10T13:00:00,40935.89,135.65,0.01158292550738789,2,2.44984413755721,1.433878827542352,8.782666666666666e-05,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T14:00:00,40753.6,131.24,2022-01-10T14:30:00,39901.32,133.3,0.034209433111032486,2,3.2800663159252537,0.7166009719763738,8.782666666666666e-05,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T15:00:00,40780.0,132.32,2022-01-10T16:30:00,41616.31,136.75,0.010571596788856844,4,2.6199356209077576,1.657263538546426,8.782666666666666e-05,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T17:00:00,41971.0,132.92,2022-01-10T18:30:00,41295.01,133.7,0.019574312286316856,4,3.7530286469580783,2.2494217872410935,9.053185185185185e-05,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T19:00:00,41527.73,133.33,2022-01-10T19:30:00,41509.99,132.64,-0.007147944940269754,2,2.6362097589276794,2.7757669446375273,9.053185185185185e-05,confluence_lost
A,BTCUSDT/SOLUSDT,short_a_long_b,2022-01-10T20:00:00,41427.97,132.73,2022-01-10T20:30:00,41327.64,135.25,0.01900770502685352,2,2.519517427252541,1.3748517236405728,9.053185185185185e-05,confluence_lost
A,BTCUSDT/SOLUSDT,long_a_short_b,2022-01-12T09:00:00,42577.0,143.84,2022-01-12T10:30:00,42896.79,140.66,0.027218760336406092,4,-2.34761572798598,-0.1762495759859452,6.821515307751315e-05,z_mean_revert
A,BTCUSDT/SOLUSDT,long_a_short_b,2022-01-12T13:30:00,43646.68,147.18,2022-01-12T14:00:00,43880.0,146.87,0.005051917303338163,2,-2.4853188428403343,-1.8233120774749678,6.821515307751315e-05,confluence_lost
