pair,direction,entry_ts,exit_ts,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,pnl_pct,bars_held,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b
BTCUSDT/ETHUSDT,long_a_short_b,2022-01-06T13:48:00,2022-01-06T13:54:00,-2.5630150632425273,-3.1280178629240476,,1,-0.003374089665763335,7,regime_break,43099.93,3394.46,43175.0,3409.11
BTCUSDT/ETHUSDT,long_a_short_b,2022-01-06T13:55:00,2022-01-06T15:13:00,-3.0057212291413777,-0.4759388066589893,,1,0.001962701645617427,79,z_mean_revert,43156.4,3407.01,42743.49,3365.0
BTCUSDT/ETHUSDT,long_a_short_b,2022-01-19T11:01:00,2022-01-19T11:05:00,-2.919052306408052,0.23875253525956935,,1,0.002046175730242928,5,z_mean_revert,41569.88,3088.55,41828.98,3099.01
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:32:00,2022-02-04T13:33:00,2.9803425205658343,4.396527395811736,,-1,-0.0024227004706755865,2,regime_break,37659.75,2807.81,37582.98,2797.53
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:34:00,2022-02-04T13:35:00,4.888624146612548,4.774100998466935,,-1,-0.0008904141711794982,2,regime_break,37562.8,2793.88,37593.22,2795.89
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:36:00,2022-02-04T13:37:00,3.042217646902048,3.9472651910894645,,-1,-0.0019789370140223853,2,regime_break,37597.63,2801.64,37605.99,2798.96
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:38:00,2022-02-04T13:39:00,3.5505195779299745,4.132171034656884,,-1,-0.0016788688758031293,2,regime_break,37621.6,2801.16,37609.0,2797.76
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:40:00,2022-02-04T13:41:00,2.633991538451007,3.3666189447019317,,-1,-0.0017964705998218858,2,regime_break,37661.69,2806.9,37590.0,2798.76
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:42:00,2022-02-04T13:43:00,3.136294384746469,3.8718881507713845,,-1,-0.0018732070772933033,2,regime_break,37596.86,2799.95,37560.0,2794.2
BTCUSDT/ETHUSDT,short_a_long_b,2022-02-04T13:44:00,2022-02-04T13:45:00,4.733027778560621,4.588815073118772,,-1,-0.0008797875459077613,2,regime_break,37540.74,2788.73,37570.12,2790.69
BTCUSDT/ETHUSDT,long_a_short_b,2022-02-28T01:36:00,2022-02-28T02:13:00,-2.5611452886690858,-0.45161480550884475,,1,0.0038480034269085203,38,z_mean_revert,38280.98,2674.58,37954.81,2639.36
BTCUSDT/ETHUSDT,long_a_short_b,2022-03-14T22:07:00,2022-03-14T22:58:00,-2.591834584428368,0.3037195886237453,,1,0.0035992031471689064,52,z_mean_revert,38738.01,2544.08,39288.79,2569.06
BTCUSDT/ETHUSDT,short_a_long_b,2022-03-17T17:12:00,2022-03-17T17:27:00,3.2134941097232366,0.24956827638600504,,-1,0.003204793459877476,16,z_mean_revert,40658.57,2779.3,40748.97,2796.61
BTCUSDT/ETHUSDT,long_a_short_b,2022-05-02T13:46:00,2022-05-02T13:47:00,-2.9064783234038067,-3.071682608159138,,1,-0.0010083137215467267,2,regime_break,38935.55,2833.61,38878.66,2830.06
BTCUSDT/ETHUSDT,long_a_short_b,2022-05-02T13:48:00,2022-05-02T13:50:00,-3.5218006615753192,-3.326990679605836,,1,-0.0007490699154190976,3,regime_break,38882.74,2831.99,38731.77,2820.85
BTCUSDT/ETHUSDT,long_a_short_b,2022-05-02T13:51:00,2022-05-02T14:18:00,-3.012107639346763,-0.48682899479695124,,1,0.0017518393779745408,28,z_mean_revert,38854.02,2828.96,38684.25,2809.38
BTCUSDT/ETHUSDT,short_a_long_b,2022-07-24T10:36:00,2022-07-24T10:50:00,2.9844787888732682,3.0217828226985244,,-1,-0.001474797421140849,15,regime_break,22548.12,1585.93,22491.11,1580.85
BTCUSDT/ETHUSDT,short_a_long_b,2022-08-06T05:19:00,2022-08-06T05:27:00,2.5313919791420996,3.806464939700941,,-1,-0.003580180415029698,9,regime_break,23154.66,1723.42,23156.56,1718.77
BTCUSDT/ETHUSDT,short_a_long_b,2022-08-06T05:28:00,2022-08-06T05:29:00,4.360850108488405,4.012057623473472,,-1,-0.0004631072426914733,2,regime_break,23157.96,1716.64,23147.73,1716.46
BTCUSDT/ETHUSDT,short_a_long_b,2022-08-18T22:14:00,2022-08-18T22:21:00,2.9262135043840622,0.33915337191878503,,-1,0.0012026923271927456,8,z_mean_revert,23344.02,1864.59,23380.65,1871.25
BTCUSDT/ETHUSDT,long_a_short_b,2022-08-20T04:58:00,2022-08-20T04:59:00,-3.421341626809018,-3.0104084048934525,,1,-0.00016729863590922921,2,regime_break,21267.9,1650.64,21239.61,1647.4
BTCUSDT/ETHUSDT,long_a_short_b,2022-08-20T05:00:00,2022-08-20T06:13:00,-2.903872595013556,-0.4940130797304639,,1,0.0023434366201119613,74,z_mean_revert,21219.96,1645.69,21155.4,1635.51
