pair,direction,entry_ts,exit_ts,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,pnl_pct,bars_held,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b
ETHUSDT/SOLUSDT,short_a_long_b,2022-01-08T12:40:00,2022-01-08T12:48:00,2.720294529504269,0.3153840687300483,,-1,0.005602467458017535,9,z_mean_revert,3202.69,144.3,3194.17,144.84
ETHUSDT/SOLUSDT,long_a_short_b,2022-02-06T23:07:00,2022-02-06T23:09:00,-3.029666141534879,-3.9448139112885463,,1,-0.0022625339361999944,3,regime_break,3002.2,113.5,3005.48,113.79
ETHUSDT/SOLUSDT,short_a_long_b,2022-02-20T14:20:00,2022-02-20T14:25:00,2.8503160932915814,0.247634639680261,,-1,0.007172097085751972,6,z_mean_revert,2605.43,87.46,2629.94,88.98
ETHUSDT/SOLUSDT,short_a_long_b,2022-02-24T09:59:00,2022-02-24T10:02:00,2.5424471763496723,3.105640945509832,,-1,-0.006076336078623323,4,regime_break,2369.44,80.54,2369.88,80.13
ETHUSDT/SOLUSDT,long_a_short_b,2022-03-05T05:40:00,2022-03-05T05:41:00,-2.878786521102279,-3.019902780901303,,1,-0.0012767985374234395,2,regime_break,2620.01,87.86,2620.55,87.92
ETHUSDT/SOLUSDT,long_a_short_b,2022-03-05T05:42:00,2022-03-05T05:49:00,-2.9900982799316167,-3.492536497041955,,1,-0.0031433442539229076,8,regime_break,2619.75,87.9,2621.36,88.16
ETHUSDT/SOLUSDT,long_a_short_b,2022-03-18T06:06:00,2022-03-18T06:26:00,-2.817652045000097,-0.2898407297719057,,1,0.0013816174530757682,21,z_mean_revert,2806.31,87.02,2805.66,86.81
ETHUSDT/SOLUSDT,short_a_long_b,2022-03-31T14:04:00,2022-03-31T14:31:00,2.7929968108915455,0.3526981123424271,,-1,0.016798432832712786,28,z_mean_revert,3342.66,121.56,3345.43,123.8
ETHUSDT/SOLUSDT,long_a_short_b,2022-04-08T15:05:00,2022-04-08T15:45:00,-3.291109163110377,-0.4813539155795464,,1,0.006851049653324637,41,z_mean_revert,3299.17,118.43,3277.89,116.76
ETHUSDT/SOLUSDT,long_a_short_b,2022-04-14T22:12:00,2022-04-14T22:36:00,-2.519463175944898,-0.16367099319944056,,1,0.0044246703837044436,25,z_mean_revert,3021.63,101.1,3020.68,100.54
ETHUSDT/SOLUSDT,short_a_long_b,2022-04-20T04:32:00,2022-04-20T05:27:00,2.537784982284645,0.2697484427747619,,-1,0.0026732370041044015,56,z_mean_revert,3082.8,107.58,3088.14,108.14
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-01T03:19:00,2022-05-01T03:21:00,-2.6326984599303067,-3.1192239535172317,,1,-0.002986693056228206,3,regime_break,2766.61,87.14,2769.45,87.42
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-01T03:22:00,2022-05-01T03:23:00,-3.397741896358028,-3.295458001028676,,1,-0.0005884583687093319,2,regime_break,2771.72,87.62,2771.99,87.61
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-01T03:24:00,2022-05-01T03:25:00,-3.3502380461082923,-3.190143849287558,,1,-0.0002059879756612697,2,regime_break,2773.51,87.7,2773.26,87.64
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-01T03:26:00,2022-05-01T03:27:00,-2.8258811180492027,-3.060906795233829,,1,-0.0020231769350531384,2,regime_break,2772.69,87.49,2771.2,87.55
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-01T03:28:00,2022-05-01T03:29:00,-3.044369656794112,-3.004796568780863,,1,-0.0008776849299588545,2,regime_break,2772.38,87.6,2774.38,87.67
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-01T03:30:00,2022-05-01T03:49:00,-2.7437204428278488,-3.0615889124801363,,1,-0.006985469390072696,20,regime_break,2772.85,87.54,2773.12,88.09
ETHUSDT/SOLUSDT,long_a_short_b,2022-05-29T08:13:00,2022-05-29T08:16:00,-2.7001946211177112,-3.3518943492959106,,1,-0.003564358441344372,4,regime_break,1785.0,42.81,1786.32,42.96
ETHUSDT/SOLUSDT,long_a_short_b,2022-06-08T02:07:00,2022-06-08T02:08:00,-2.9822692977212077,-3.453214295110774,,1,-0.004278102287174823,2,regime_break,1832.34,40.64,1832.73,40.79
ETHUSDT/SOLUSDT,long_a_short_b,2022-06-08T02:09:00,2022-06-08T02:56:00,-2.714256995505062,-0.4551876936611893,,1,0.012785606905368363,48,z_mean_revert,1832.08,40.59,1827.18,39.93
ETHUSDT/SOLUSDT,short_a_long_b,2022-06-16T03:47:00,2022-06-16T04:47:00,2.518874802641701,0.39702376156701974,,-1,0.008309978199442259,61,z_mean_revert,1212.8,33.84,1193.15,33.6
ETHUSDT/SOLUSDT,short_a_long_b,2022-06-25T02:19:00,2022-06-25T02:22:00,2.8656372044845253,3.1283292448697533,,-1,-0.0021152722877379785,4,regime_break,1217.16,41.48,1216.12,41.39
ETHUSDT/SOLUSDT,short_a_long_b,2022-06-25T02:23:00,2022-06-25T05:14:00,3.011533306290253,0.4665140316350659,,-1,-0.005269499003565636,172,z_mean_revert,1216.54,41.41,1223.74,41.47
ETHUSDT/SOLUSDT,short_a_long_b,2022-08-20T05:01:00,2022-08-20T05:26:00,2.850249614626078,0.15440520422239132,,-1,0.00399973292192426,26,z_mean_revert,1641.51,36.71,1641.68,36.89
ETHUSDT/SOLUSDT,long_a_short_b,2022-08-25T03:25:00,2022-08-25T03:26:00,-2.6495182031452047,-0.046745386647012825,,1,0.0031278145766223905,2,z_mean_revert,1677.1,35.61,1675.21,35.43
ETHUSDT/SOLUSDT,short_a_long_b,2022-09-04T06:41:00,2022-09-04T07:15:00,2.6636371533403693,0.18088418971651965,,-1,0.0020962614714888036,35,z_mean_revert,1547.51,31.2,1544.02,31.22
ETHUSDT/SOLUSDT,long_a_short_b,2022-09-10T01:03:00,2022-09-10T01:19:00,-2.553107864596316,-0.3704936364960418,,1,0.0035928595985351927,17,z_mean_revert,1719.87,34.93,1718.07,34.74
ETHUSDT/SOLUSDT,short_a_long_b,2022-09-22T02:52:00,2022-09-22T02:53:00,3.0707035043115622,3.0513705206791704,,-1,-0.0009253421207497718,2,regime_break,1262.16,30.92,1261.91,30.91
ETHUSDT/SOLUSDT,short_a_long_b,2022-09-22T02:54:00,2022-09-22T04:05:00,2.962933510366475,0.16537863802815816,,-1,0.004440515500550824,72,z_mean_revert,1262.67,30.93,1268.3,31.23
ETHUSDT/SOLUSDT,long_a_short_b,2022-10-12T04:06:00,2022-10-12T04:56:00,-2.5091738749871566,-0.4201763145121931,,1,0.0012710355217556931,51,z_mean_revert,1287.1,31.12,1291.42,31.16
ETHUSDT/SOLUSDT,long_a_short_b,2022-10-26T20:57:00,2022-10-26T22:03:00,-2.5093054953232565,-0.21103854228940525,,1,0.00291105034878938,67,z_mean_revert,1553.8,31.3,1545.17,31.01
ETHUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:41:00,2022-10-29T00:48:00,2.554565829606671,3.302031459085025,,-1,-0.0024764882110714695,8,regime_break,1549.43,31.89,1550.57,31.86
ETHUSDT/SOLUSDT,short_a_long_b,2022-10-29T00:49:00,2022-10-29T00:58:00,3.2042827477904585,0.4576124680722962,,-1,0.0038557654327239462,10,z_mean_revert,1550.0,31.85,1553.49,32.07
ETHUSDT/SOLUSDT,short_a_long_b,2022-10-29T01:36:00,2022-10-29T02:49:00,2.502610282389168,3.0573912483075225,,-1,-0.005939427478781933,74,regime_break,1555.66,31.97,1577.28,32.25
ETHUSDT/SOLUSDT,long_a_short_b,2022-11-03T20:09:00,2022-11-03T20:35:00,-3.0546255597465044,-3.0253231955176316,,1,-0.001587965525607115,27,regime_break,1539.56,31.28,1541.3,31.34
