pair,direction,entry_ts,exit_ts,entry_price_a,entry_price_b,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-01T04:43:00,2022-01-01T06:59:00,46756.97,171.86,46979.62,172.45,-0.002128830013000326,137,2.0453971486408,0.4930800857569842,,0,z_mean_revert
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-01T08:32:00,2022-01-01T08:46:00,47253.94,172.86,47229.78,173.12,0.0012153874877205658,15,2.0002107949780954,0.4819710369451728,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T12:38:00,2022-01-01T12:48:00,47042.92,172.85,47068.27,172.71,0.0005488204353990784,11,-2.129091851359066,-0.462282076271662,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T13:43:00,2022-01-01T14:16:00,47067.83,172.99,47045.94,172.67,0.0005847444178024526,34,-2.0068678681232774,-0.2851355618943812,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:16:00,2022-01-01T15:19:00,46970.66,172.81,46959.99,173.03,-0.002300237559216355,4,-2.070030255246457,-3.2848761291855073,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:20:00,2022-01-01T15:23:00,46970.0,173.07,46989.39,173.18,-0.0010227642872896229,4,-3.214557142067795,-3.182609813586825,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:24:00,2022-01-01T15:28:00,46982.58,173.13,47004.45,173.31,-0.0013741894864634833,5,-2.996837270413159,-3.1517608875016845,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:29:00,2022-01-01T15:35:00,47026.82,173.44,47304.09,173.75,0.0033086355966932776,7,-3.2659707053932068,-0.23244554659800942,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T16:43:00,2022-01-01T16:52:00,47426.42,174.77,47325.98,174.0,0.0014879835573148544,10,-2.406448088273682,-0.4764224999607781,,0,z_mean_revert
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-01T17:40:00,2022-01-01T17:41:00,47819.0,175.32,47854.12,175.22,-0.0021048216834568026,2,2.180615901240579,3.190006252965369,,0,regime_break
