pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,slope15m_at_entry,trend2h_at_entry,exit_reason
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T13:48:00,47042.84,173.02,2022-01-01T14:16:00,47045.94,172.67,0.001288784909499597,29,-2.5886933592205983,-0.2851355618943812,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:19:00,46959.99,173.03,2022-01-01T15:20:00,46970.0,173.07,-0.0008180136032146283,2,-3.2848761291855073,-3.214557142067795,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:21:00,46973.2,173.03,2022-01-01T15:23:00,46989.39,173.18,-0.0013222370760769034,3,-2.894579972199806,-3.182609813586825,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:24:00,46982.58,173.13,2022-01-01T15:28:00,47004.45,173.31,-0.0013741894864634833,5,-2.996837270413159,-3.1517608875016845,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T15:29:00,47026.82,173.44,2022-01-01T15:35:00,47304.09,173.75,0.0033086355966932776,7,-3.2659707053932068,-0.23244554659800942,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T16:44:00,47421.77,174.8,2022-01-01T16:52:00,47325.98,174.0,0.0017567006948754579,9,-2.575775357767148,-0.4764224999607781,,0,z_mean_revert
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-01T17:41:00,47854.12,175.22,2022-01-01T17:42:00,47852.99,175.24,-0.0006622443469706856,2,3.190006252965369,3.007692919179449,,0,regime_break
BTCUSDT/SOLUSDT,short_a_long_b,2022-01-01T17:43:00,47847.18,175.2,2022-01-01T17:56:00,47684.96,175.13,0.0021908340685365076,14,3.0216704220627038,0.4956576566820634,,0,z_mean_revert
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:00:00,47590.11,175.88,2022-01-01T19:01:00,47590.12,176.24,-0.0028466399973928517,2,-2.8944238459452323,-3.8757782506273513,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:02:00,47575.58,176.07,2022-01-01T19:03:00,47599.99,176.14,-0.0006844908004562715,2,-3.4225235719662255,-3.2729991494074198,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:04:00,47578.52,176.15,2022-01-01T19:05:00,47590.12,176.17,-0.0006697320972473879,2,-3.4299245163119316,-3.2760642566796196,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:06:00,47588.2,176.14,2022-01-01T19:09:00,47533.72,175.99,-0.0010932262935394502,4,-3.133323435199204,-3.0595027402210313,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:10:00,47546.41,176.09,2022-01-01T19:11:00,47500.02,175.96,-0.0010374194449978883,2,-3.1160983770071162,-3.1398180141995797,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:12:00,47521.99,176.14,2022-01-01T19:13:00,47515.32,176.1,-0.0007132639893151265,2,-3.289057966638756,-3.1698596714272296,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:14:00,47508.6,176.16,2022-01-01T19:15:00,47447.0,175.99,-0.0011315755618076287,2,-3.277880875319975,-3.3180269965830704,,0,regime_break
BTCUSDT/SOLUSDT,long_a_short_b,2022-01-01T19:16:00,47457.78,176.0,2022-01-01T19:17:00,47450.74,175.96,-0.0007210696519958974,2,-3.1693965945598204,-3.0639138963742303,,0,regime_break
