,equity_usd
2024-08-23 00:00:00+00:00,100000.0
2024-08-27 00:00:00+00:00,100251.71236142628
2024-09-13 00:00:00+00:00,100251.71236142628
2024-09-30 00:00:00+00:00,100224.4257984448
2024-10-15 00:00:00+00:00,100224.4257984448
2024-10-20 00:00:00+00:00,100316.41075947194
2024-10-23 00:00:00+00:00,100316.41075947194
2024-10-29 00:00:00+00:00,100502.71895268932
2024-12-09 00:00:00+00:00,100502.71895268932
2024-12-28 00:00:00+00:00,100355.27484277467
2025-01-18 00:00:00+00:00,100355.27484277467
2025-01-29 00:00:00+00:00,100850.53870866247
2025-02-25 00:00:00+00:00,100850.53870866247
2025-03-02 00:00:00+00:00,100964.16382956279
2025-04-08 00:00:00+00:00,100964.16382956279
2025-04-12 00:00:00+00:00,101132.76443185512
2025-04-22 00:00:00+00:00,101132.76443185512
2025-05-12 00:00:00+00:00,101149.57412909176
2025-05-24 00:00:00+00:00,101149.57412909176
2025-05-30 00:00:00+00:00,101319.902072566
2025-06-06 00:00:00+00:00,101319.902072566
2025-06-10 00:00:00+00:00,101473.17918209519
2025-06-14 00:00:00+00:00,101473.17918209519
2025-06-15 00:00:00+00:00,101674.37574359647
2025-06-26 00:00:00+00:00,101674.37574359647
2025-07-03 00:00:00+00:00,101907.883674536
2025-07-21 00:00:00+00:00,101907.883674536
2025-08-11 00:00:00+00:00,102029.05457917739
2025-08-14 00:00:00+00:00,102029.05457917739
2025-09-06 00:00:00+00:00,101769.59442240358
2025-10-01 00:00:00+00:00,101769.59442240358
2025-10-12 00:00:00+00:00,101950.27846780777
2025-11-20 00:00:00+00:00,101950.27846780777
2025-11-26 00:00:00+00:00,102142.24623464898
2026-02-05 00:00:00+00:00,102142.24623464898
2026-02-06 00:00:00+00:00,102363.5389931597
2026-02-17 00:00:00+00:00,102363.5389931597
2026-02-22 00:00:00+00:00,102467.5455429344
2026-03-04 00:00:00+00:00,102467.5455429344
2026-03-07 00:00:00+00:00,102570.95475831944
2026-04-01 00:00:00+00:00,102570.95475831944
2026-05-07 00:00:00+00:00,102218.39245423723
