new_variant,published,feature_corr,concentration_warn
iter#70_DeFi-basis,vpvr_funding_regime_15m_20260711,0.774,YES
iter#70_DeFi-basis,vpvr_onchain_proxy_1h_20260711,0.779,YES
iter#70_DeFi-basis,vpvr_reversion_1m_kama_reversal_20260709,-0.080,
iter#70_DeFi-basis,vpvr_reversion_1m_volume_profile_break_20260709,0.336,
iter#70_DeFi-basis,vpvr_xs_leadlag_5m_20260711,0.781,YES
iter#70_DeFi-basis,vpvr_xs_pairs_30m_funding_filter_20260712,-0.708,YES
iter#70_DeFi-basis,vpvr_xs_pairs_30m_funding_filter_btc_sol_regularized_20260712,-0.707,YES
iter#70_DeFi-basis,vpvr_xs_pairs_30m_funding_filter_btc_sol_v3_20260712,-0.750,YES
iter#70_DeFi-basis,vpvr_xs_pairs_30m_funding_filter_eth_sol_20260712,-0.498,
iter#70_DeFi-basis,vpvr_xs_pairs_btc_sol_4h_20260712,0.157,
iter#71_sentiment,vpvr_funding_regime_15m_20260711,0.099,
iter#71_sentiment,vpvr_onchain_proxy_1h_20260711,-0.106,
iter#71_sentiment,vpvr_reversion_1m_kama_reversal_20260709,-0.596,
iter#71_sentiment,vpvr_reversion_1m_volume_profile_break_20260709,-0.839,YES
iter#71_sentiment,vpvr_xs_leadlag_5m_20260711,0.352,
iter#71_sentiment,vpvr_xs_pairs_30m_funding_filter_20260712,-0.388,
iter#71_sentiment,vpvr_xs_pairs_30m_funding_filter_btc_sol_regularized_20260712,-0.402,
iter#71_sentiment,vpvr_xs_pairs_30m_funding_filter_btc_sol_v3_20260712,-0.549,
iter#71_sentiment,vpvr_xs_pairs_30m_funding_filter_eth_sol_20260712,-0.607,YES
iter#71_sentiment,vpvr_xs_pairs_btc_sol_4h_20260712,-0.916,YES
iter#72_stable-depeg,vpvr_funding_regime_15m_20260711,0.091,
iter#72_stable-depeg,vpvr_onchain_proxy_1h_20260711,0.144,
iter#72_stable-depeg,vpvr_reversion_1m_kama_reversal_20260709,0.340,
iter#72_stable-depeg,vpvr_reversion_1m_volume_profile_break_20260709,0.575,
iter#72_stable-depeg,vpvr_xs_leadlag_5m_20260711,-0.118,
iter#72_stable-depeg,vpvr_xs_pairs_30m_funding_filter_20260712,0.088,
iter#72_stable-depeg,vpvr_xs_pairs_30m_funding_filter_btc_sol_regularized_20260712,0.123,
iter#72_stable-depeg,vpvr_xs_pairs_30m_funding_filter_btc_sol_v3_20260712,0.257,
iter#72_stable-depeg,vpvr_xs_pairs_30m_funding_filter_eth_sol_20260712,0.378,
iter#72_stable-depeg,vpvr_xs_pairs_btc_sol_4h_20260712,0.610,YES
