symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,atr_4h_at_entry,vpvr_dist_atr_4h_at_entry,size_units,nav_at_entry
SOLUSDT,long,2022-02-25,2022-02-26,92.748546,2022-02-27,2022-02-27,84.83303,trailing_stop<entry-2.0*ATR,-516.14304049945,-0.0853438284628204,11,4.646642797692054,0.6288392606273121,65.20649323423129,100000.0
SOLUSDT,long,2022-10-25,2022-10-25,29.695938,2022-10-30,2022-10-30,32.34353,time_stop>=30bars,885.479459965854,0.08915670553999666,31,0.6325490970463309,2.283702319621698,334.44709757615783,99297.34327036126
SOLUSDT,long,2023-08-24,2023-08-24,21.794358,2023-08-24,2023-08-24,20.925814,trailing_stop<entry-2.0*ATR,-414.31926948319983,-0.03985178182353433,2,0.47866574615421015,1.4448687105277207,477.0273808617639,103944.26628977834
SOLUSDT,long,2023-08-29,2023-08-29,21.584315999999998,2023-08-30,2023-08-30,20.675864,trailing_stop<entry-2.0*ATR,-434.67618927449496,-0.042088523907822584,6,0.45782665173445936,0.4546533902582999,478.4800840049845,103256.00212827564
SOLUSDT,long,2023-10-07,2023-10-07,23.674734,2023-10-09,2023-10-09,23.245350000000002,vol_cool,-186.60848013281714,-0.018136803564508863,12,0.6249089257305227,0.607761184614786,434.595793352378,102868.82428650786
SOLUSDT,long,2025-05-01,2025-05-01,151.83036,2025-05-03,2025-05-03,147.110572,trailing_stop<entry-2.0*ATR,-315.6473452964699,-0.031085930376507198,11,3.203949371863495,0.3521275204986482,66.8774413800934,101519.95601498178
SOLUSDT,long,2025-06-23,2025-06-24,144.53890199999998,2025-06-27,2025-06-27,141.341726,trailing_stop<entry-2.0*ATR,-223.9069869042338,-0.022119830410777475,19,4.316324039264161,0.3089348895054425,70.0327372982391,101204.30866968531
SOLUSDT,long,2025-11-20,2025-11-20,143.208636,2025-11-20,2025-11-20,133.883218,trailing_stop<entry-2.0*ATR,-585.9094083853646,-0.06511770700755792,4,4.4834691209353075,0.3460048590779924,62.82929176851523,103045.9205908201
SOLUSDT,long,2026-01-28,2026-01-28,128.185632,2026-01-29,2026-01-29,123.045386,trailing_stop<entry-2.0*ATR,-411.3056218617189,-0.04010001682559872,4,1.9737137046337572,0.7674822642296094,80.01671940637054,102549.42759120447
SOLUSDT,long,2026-02-25,2026-02-25,85.997196,2026-02-27,2026-02-27,81.553686,trailing_stop<entry-2.0*ATR,-526.5042874525435,-0.05167040562578351,13,1.9868492830329687,2.0670360199991817,118.48837685805651,101876.30642255698
SOLUSDT,long,2026-06-12,2026-06-12,67.273452,2026-06-14,2026-06-14,68.21635400000001,vol_cool,142.0798857163156,0.014015959817254453,10,1.5947204010281593,0.215167920216108,150.68361899361352,101349.80213510444
SOLUSDT,long,2026-06-26,2026-06-26,72.074412,2026-07-01,2026-07-01,76.99459800000001,time_stop>=30bars,648.2523941302458,0.0682653644125466,31,2.2380719465441445,0.5361261116010266,131.75363576300632,101491.88202082076
