variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_carry_pnl_pct,spread_at_entry_bps
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-02-23T16:00:00+00:00,37250.010000,2022-02-26T16:00:00+00:00,39116.720000,0.049459,10,spread_decay,-0.000254,-0.738
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-04-18T16:00:00+00:00,40801.130000,2022-04-22T08:00:00+00:00,39433.600000,-0.034120,12,atr_trail,-0.000203,-0.918
vpvr_carry_term_8h_20260711,BTCUSDT,short,2022-04-29T16:00:00+00:00,38596.110000,2022-05-02T08:00:00+00:00,38696.050000,-0.002663,9,spread_decay,0.000326,0.587
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-05-13T00:00:00+00:00,30171.130000,2022-05-15T00:00:00+00:00,29825.990000,-0.012277,7,spread_decay,-0.000437,-0.535
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-06-15T16:00:00+00:00,22583.720000,2022-06-18T00:00:00+00:00,19258.580000,-0.147594,8,hard_stop,0.000042,-0.549
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-08-03T16:00:00+00:00,22818.370000,2022-08-04T16:00:00+00:00,22622.980000,-0.008993,4,spread_decay,-0.000030,-0.775
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-09-19T16:00:00+00:00,19537.020000,2022-09-20T08:00:00+00:00,19238.100000,-0.015837,3,spread_decay,-0.000137,-0.850
vpvr_carry_term_8h_20260711,BTCUSDT,short,2022-11-13T00:00:00+00:00,16774.990000,2022-11-18T00:00:00+00:00,16745.100000,0.000608,16,spread_decay,-0.000774,0.521
vpvr_carry_term_8h_20260711,BTCUSDT,long,2022-12-26T16:00:00+00:00,16919.390000,2022-12-28T08:00:00+00:00,16578.520000,-0.020804,6,atr_trail,-0.000257,-0.718
vpvr_carry_term_8h_20260711,BTCUSDT,long,2023-05-01T16:00:00+00:00,28068.260000,2023-05-02T00:00:00+00:00,28057.470000,-0.000794,2,spread_decay,-0.000010,-0.598
vpvr_carry_term_8h_20260711,BTCUSDT,long,2023-06-06T16:00:00+00:00,27230.080000,2023-06-10T00:00:00+00:00,25651.090000,-0.059029,11,hard_stop,-0.000642,-0.688
vpvr_carry_term_8h_20260711,BTCUSDT,long,2023-07-10T08:00:00+00:00,30312.810000,2023-07-12T08:00:00+00:00,30524.630000,0.006220,7,spread_decay,-0.000367,-0.670
vpvr_carry_term_8h_20260711,BTCUSDT,short,2023-12-09T16:00:00+00:00,43713.600000,2023-12-13T08:00:00+00:00,41939.180000,0.041710,12,spread_decay,0.001518,0.844
vpvr_carry_term_8h_20260711,BTCUSDT,short,2024-03-01T16:00:00+00:00,62387.900000,2024-03-04T08:00:00+00:00,66451.650000,-0.061709,9,hard_stop,0.003828,0.909
vpvr_carry_term_8h_20260711,BTCUSDT,long,2024-03-07T08:00:00+00:00,67260.010000,2024-03-09T16:00:00+00:00,68313.270000,0.012537,8,spread_decay,-0.002723,-1.522
vpvr_carry_term_8h_20260711,BTCUSDT,long,2024-03-14T16:00:00+00:00,71388.940000,2024-03-16T16:00:00+00:00,65300.630000,-0.086905,7,hard_stop,-0.001222,-0.532
vpvr_carry_term_8h_20260711,BTCUSDT,long,2024-03-17T08:00:00+00:00,67965.500000,2024-03-18T00:00:00+00:00,68218.380000,0.002871,3,spread_decay,-0.000450,-0.665
vpvr_carry_term_8h_20260711,BTCUSDT,long,2024-08-07T16:00:00+00:00,55134.160000,2024-08-08T00:00:00+00:00,57193.490000,0.036925,2,spread_decay,-0.000026,-0.907
vpvr_carry_term_8h_20260711,BTCUSDT,short,2024-12-05T16:00:00+00:00,96945.630000,2024-12-10T00:00:00+00:00,97196.440000,-0.000819,14,spread_decay,0.002168,1.452
vpvr_carry_term_8h_20260711,BTCUSDT,long,2025-04-26T08:00:00+00:00,94373.240000,2025-04-27T08:00:00+00:00,93901.080000,-0.005410,4,spread_decay,-0.000007,-0.580
vpvr_carry_term_8h_20260711,BTCUSDT,long,2025-07-31T08:00:00+00:00,118306.180000,2025-08-01T00:00:00+00:00,115081.770000,-0.027741,3,atr_trail,-0.000086,-0.516
vpvr_carry_term_8h_20260711,BTCUSDT,long,2025-08-31T08:00:00+00:00,108818.690000,2025-09-04T00:00:00+00:00,110463.360000,0.014096,12,spread_decay,-0.000618,-0.580
vpvr_carry_term_8h_20260711,BTCUSDT,long,2025-10-12T08:00:00+00:00,113198.200000,2025-10-16T08:00:00+00:00,108549.210000,-0.041183,13,atr_trail,0.000287,-0.546
vpvr_carry_term_8h_20260711,BTCUSDT,long,2026-07-08T16:00:00+00:00,62290.000000,2026-07-09T00:00:00+00:00,63000.000000,0.010937,2,spread_decay,-0.000062,-0.656
