variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_carry_pnl_pct,spread_at_entry_bps
vpvr_carry_term_8h_20260711,ETHUSDT,long,2022-03-11T00:00:00+00:00,2608.670000,2022-03-16T08:00:00+00:00,2704.470000,0.035658,17,spread_decay,-0.000666,-0.590
vpvr_carry_term_8h_20260711,ETHUSDT,long,2022-04-08T08:00:00+00:00,3281.240000,2022-04-11T00:00:00+00:00,3178.610000,-0.032384,9,spread_decay,-0.000707,-0.525
vpvr_carry_term_8h_20260711,ETHUSDT,long,2022-07-01T00:00:00+00:00,1066.810000,2022-07-02T16:00:00+00:00,1067.010000,-0.000071,6,spread_decay,0.000142,-0.512
vpvr_carry_term_8h_20260711,ETHUSDT,short,2022-09-01T00:00:00+00:00,1544.600000,2022-09-03T08:00:00+00:00,1548.240000,-0.002986,8,spread_decay,-0.000229,0.731
vpvr_carry_term_8h_20260711,ETHUSDT,long,2022-10-08T00:00:00+00:00,1330.470000,2022-10-10T16:00:00+00:00,1290.030000,-0.031059,9,spread_decay,-0.000264,-0.557
vpvr_carry_term_8h_20260711,ETHUSDT,long,2022-11-01T16:00:00+00:00,1578.480000,2022-11-03T08:00:00+00:00,1542.460000,-0.023217,6,spread_decay,0.000002,-0.617
vpvr_carry_term_8h_20260711,ETHUSDT,short,2022-11-13T00:00:00+00:00,1250.930000,2022-11-14T08:00:00+00:00,1245.320000,0.004033,5,spread_decay,-0.000051,0.941
vpvr_carry_term_8h_20260711,ETHUSDT,long,2023-07-07T00:00:00+00:00,1856.400000,2023-07-07T16:00:00+00:00,1870.910000,0.007357,3,spread_decay,-0.000059,-0.509
vpvr_carry_term_8h_20260711,ETHUSDT,long,2023-08-20T16:00:00+00:00,1685.240000,2023-08-21T08:00:00+00:00,1657.690000,-0.016664,3,spread_decay,0.000084,-0.610
vpvr_carry_term_8h_20260711,ETHUSDT,short,2023-12-08T08:00:00+00:00,2346.080000,2023-12-08T16:00:00+00:00,2358.720000,-0.005684,2,spread_decay,0.000104,0.689
vpvr_carry_term_8h_20260711,ETHUSDT,short,2023-12-10T00:00:00+00:00,2354.000000,2023-12-14T16:00:00+00:00,2315.320000,0.017845,15,atr_trail,0.001814,1.180
vpvr_carry_term_8h_20260711,ETHUSDT,long,2024-03-06T08:00:00+00:00,3790.940000,2024-03-08T16:00:00+00:00,3883.360000,0.020886,8,spread_decay,-0.003093,-2.087
vpvr_carry_term_8h_20260711,ETHUSDT,long,2024-03-15T16:00:00+00:00,3742.190000,2024-03-17T08:00:00+00:00,3628.420000,-0.031807,6,spread_decay,-0.001005,-1.386
vpvr_carry_term_8h_20260711,ETHUSDT,short,2024-03-26T08:00:00+00:00,3593.350000,2024-03-27T08:00:00+00:00,3514.300000,0.022324,4,spread_decay,0.000725,1.517
vpvr_carry_term_8h_20260711,ETHUSDT,long,2024-08-06T16:00:00+00:00,2461.330000,2024-08-08T00:00:00+00:00,2414.000000,-0.019492,5,spread_decay,0.000137,-0.796
vpvr_carry_term_8h_20260711,ETHUSDT,short,2024-11-11T08:00:00+00:00,3236.980000,2024-11-14T00:00:00+00:00,3217.620000,0.007673,9,spread_decay,0.002092,0.582
vpvr_carry_term_8h_20260711,ETHUSDT,long,2025-02-04T00:00:00+00:00,2703.530000,2025-02-07T08:00:00+00:00,2721.730000,0.006433,11,spread_decay,0.000101,-1.070
vpvr_carry_term_8h_20260711,ETHUSDT,long,2025-10-11T16:00:00+00:00,3746.790000,2025-10-13T16:00:00+00:00,4240.850000,0.131490,7,spread_decay,0.000028,-1.096
