variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,cost_pct,net_pnl_pct,bars_held,decision_tf,size_mult,conviction,exit_reason,z_entry,z_exit
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 16:15:00+00:00,2454.58,2025-05-11 16:16:00+00:00,2450.78,-0.0015481263597030281,0.003,-0.004548126359703028,1,15m,1.0,high,hard_stop,-5.212821907604165,-5.212821907604165
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 16:21:00+00:00,2461.81,2025-05-11 16:23:00+00:00,2473.35,0.004687607898253621,0.003,0.0016876078982536206,2,15m,1.0,high,take_profit,-5.212821907604165,-5.212821907604165
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 16:28:00+00:00,2474.23,2025-05-11 16:34:00+00:00,2469.2,-0.002032955707432338,0.003,-0.005032955707432338,6,15m,1.0,high,hard_stop,-5.212821907604165,-4.750637405260069
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 16:39:00+00:00,2468.49,2025-05-11 16:42:00+00:00,2472.09,0.0014583814396655903,0.003,-0.0015416185603344098,3,15m,1.0,high,trailing_stop,-4.750637405260069,-4.750637405260069
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 16:47:00+00:00,2465.7,2025-05-11 16:49:00+00:00,2460.7,-0.0020278217139149124,0.003,-0.0050278217139149125,2,15m,1.0,high,hard_stop,-4.376152630139935,-4.376152630139935
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 16:54:00+00:00,2465.0,2025-05-11 16:59:00+00:00,2470.05,0.002048681541582331,0.003,-0.0009513184584176689,5,15m,1.0,high,take_profit,-4.376152630139935,-4.376152630139935
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 17:04:00+00:00,2474.06,2025-05-11 17:05:00+00:00,2469.4,-0.001883543648900976,0.003,-0.004883543648900976,1,15m,1.0,high,hard_stop,-3.7975400593726216,-3.7975400593726216
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 17:10:00+00:00,2476.91,2025-05-11 17:11:00+00:00,2473.18,-0.0015059085715669607,0.003,-0.004505908571566961,1,15m,1.0,high,hard_stop,-3.7975400593726216,-3.7975400593726216
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 17:16:00+00:00,2478.5,2025-05-11 17:18:00+00:00,2483.49,0.0020133145047407375,0.003,-0.0009866854952592626,2,15m,1.0,high,take_profit,-3.6258774828504174,-3.6258774828504174
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 17:23:00+00:00,2481.1,2025-05-11 17:24:00+00:00,2476.61,-0.001809681189794743,0.003,-0.004809681189794743,1,15m,1.0,high,hard_stop,-3.6258774828504174,-3.6258774828504174
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,long,2025-05-11 17:29:00+00:00,2476.99,2025-05-11 17:31:00+00:00,2482.6,0.0022648456392637684,0.003,-0.0007351543607362317,2,15m,1.0,high,take_profit,-3.6258774828504174,-3.2373184181115056
vpvr_edge_zscore_multi_tf_v1_20260720,ETHUSDT,short,2025-05-19 16:15:00+00:00,2454.99,2025-05-19 16:17:00+00:00,2461.73,-0.0027454286982839804,0.003,-0.0057454286982839805,2,15m,1.0,high,hard_stop,2.1523339934044725,2.1523339934044725
