variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_ann_bps_at_entry,funding_z_at_entry,poc_distance_atr_at_entry
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-04-13 16:00:00,41047.100000,2022-04-14 16:00:00,39754.500000,-0.032697,6,asym_hard_stop,-1346.303,-1.760,0.042
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-04-18 16:00:00,40674.600000,2022-04-22 12:00:00,39416.400000,-0.032156,23,asym_hard_stop,-1876.721,-2.254,0.715
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-04-28 16:00:00,39976.200000,2022-04-29 08:00:00,38735.200000,-0.032247,4,asym_hard_stop,-1419.120,-1.832,0.301
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-05-17 20:00:00,30398.600000,2022-05-18 12:00:00,28927.800000,-0.049588,4,asym_hard_stop,-1675.459,-1.686,0.802
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-09-19 16:00:00,19509.000000,2022-09-21 20:00:00,18452.400000,-0.055373,13,asym_hard_stop,-830.995,-1.928,0.944
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-09-27 08:00:00,20223.100000,2022-09-27 16:00:00,19070.300000,-0.058206,2,asym_hard_stop,-742.848,-1.667,0.925
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-10-22 16:00:00,19172.700000,2022-10-25 16:00:00,20271.200000,0.056077,18,asym_take_profit,-647.035,-1.639,0.571
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-11-09 00:00:00,18302.100000,2022-11-09 12:00:00,17083.300000,-0.067796,3,asym_hard_stop,-1449.999,-2.607,0.029
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2022-12-01 12:00:00,16970.600000,2022-12-13 12:00:00,17750.300000,0.044672,72,asym_take_profit,-3357.489,-1.613,0.940
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2023-03-15 12:00:00,24525.100000,2023-03-17 00:00:00,25830.400000,-0.054414,9,asym_hard_stop,1882.305,2.225,0.043
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-03-26 12:00:00,27825.000000,2023-03-27 12:00:00,26910.300000,-0.034079,6,asym_hard_stop,-459.900,-4.450,0.994
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-03-31 16:00:00,28461.500000,2023-04-02 16:00:00,27947.600000,-0.019268,12,asym_hard_stop,-284.372,-3.254,0.604
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-04-04 16:00:00,28192.800000,2023-04-09 04:00:00,27905.300000,-0.011425,27,asym_hard_stop,-194.034,-2.523,0.062
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-05-07 12:00:00,28971.300000,2023-05-08 00:00:00,28217.500000,-0.027222,3,asym_hard_stop,-41.610,-1.576,0.806
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-05-18 08:00:00,27397.600000,2023-05-18 16:00:00,26733.300000,-0.025449,2,asym_hard_stop,-104.025,-1.618,0.037
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-05-26 12:00:00,26759.100000,2023-05-28 20:00:00,28077.600000,0.048059,14,asym_take_profit,-209.145,-1.865,0.106
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-06-17 04:00:00,26581.500000,2023-06-20 20:00:00,28302.000000,0.063503,22,asym_take_profit,-329.376,-2.528,0.693
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-06-30 16:00:00,30357.900000,2023-07-10 04:00:00,30101.800000,-0.009693,57,asym_hard_stop,-346.896,-2.571,0.580
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-08-26 08:00:00,26020.700000,2023-08-29 12:00:00,27411.700000,0.052238,19,asym_take_profit,-343.502,-2.275,0.026
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-09-13 08:00:00,26184.500000,2023-09-18 08:00:00,27187.600000,0.037079,30,asym_take_profit,-434.386,-2.212,0.326
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-09-27 16:00:00,26243.300000,2023-10-01 00:00:00,27036.200000,0.028993,20,asym_take_profit,-569.728,-2.269,0.035
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2023-10-08 04:00:00,27911.400000,2023-10-09 08:00:00,27457.000000,-0.017487,7,asym_hard_stop,-877.861,-2.721,0.204
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2023-12-21 16:00:00,43621.800000,2024-01-02 00:00:00,45489.700000,-0.043952,68,asym_hard_stop,3705.918,2.398,0.120
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2024-07-30 08:00:00,66536.700000,2024-07-31 20:00:00,64579.600000,-0.030623,9,asym_hard_stop,-1244.687,-2.550,0.839
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2024-08-30 00:00:00,58995.000000,2024-09-01 20:00:00,57269.500000,-0.030465,17,asym_hard_stop,-1334.805,-3.312,0.102
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2024-09-13 08:00:00,57852.100000,2024-09-15 12:00:00,60325.900000,0.041548,13,asym_take_profit,-471.945,-1.764,0.454
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2024-12-04 08:00:00,96311.500000,2024-12-04 20:00:00,98773.900000,-0.026764,3,asym_hard_stop,4663.386,2.646,0.141
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2024-12-19 16:00:00,97134.800000,2024-12-20 08:00:00,92597.500000,-0.047915,4,asym_hard_stop,-300.906,-1.515,0.002
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-02-01 08:00:00,101924.700000,2025-02-02 00:00:00,99100.000000,-0.028918,4,asym_hard_stop,-1311.701,-1.897,0.058
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2025-02-22 00:00:00,96255.000000,2025-02-24 20:00:00,91510.000000,0.048113,17,asym_take_profit,5627.205,8.656,0.448
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-03-19 00:00:00,82984.100000,2025-03-23 20:00:00,86038.100000,0.035573,29,asym_take_profit,-670.140,-1.521,0.128
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2025-05-18 16:00:00,103920.100000,2025-05-18 20:00:00,106462.800000,-0.025667,1,asym_hard_stop,1095.000,1.598,0.764
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-06-07 00:00:00,104908.000000,2025-06-09 08:00:00,107772.400000,0.026090,14,asym_take_profit,-617.251,-1.729,0.981
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-07-08 00:00:00,107847.800000,2025-07-10 16:00:00,113341.700000,0.049725,16,asym_take_profit,-549.580,-1.971,0.286
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-08-17 00:00:00,117714.000000,2025-08-18 00:00:00,115330.400000,-0.021455,6,asym_hard_stop,-79.388,-1.572,0.949
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-09-06 16:00:00,110021.700000,2025-09-08 12:00:00,112584.800000,0.022085,11,asym_take_profit,-98.222,-2.880,0.472
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-09-23 16:00:00,111650.000000,2025-09-25 16:00:00,109357.700000,-0.021743,12,asym_hard_stop,-252.069,-2.576,0.869
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-10-11 00:00:00,112404.100000,2025-10-16 12:00:00,108539.100000,-0.035618,33,asym_hard_stop,-1547.344,-5.430,0.129
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2025-11-29 00:00:00,90644.000000,2025-12-01 00:00:00,86320.800000,-0.048906,12,asym_hard_stop,-1061.165,-3.072,0.622
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2025-12-12 08:00:00,92394.100000,2025-12-14 08:00:00,89331.700000,0.031957,12,asym_take_profit,1073.757,1.735,0.662
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2025-12-18 20:00:00,85426.800000,2025-12-19 08:00:00,88123.300000,-0.032762,3,asym_hard_stop,1095.000,1.777,0.881
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2025-12-25 00:00:00,87763.600000,2025-12-29 00:00:00,90024.800000,-0.026941,24,asym_hard_stop,1039.374,1.841,0.894
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2025-12-31 12:00:00,87810.300000,2026-01-02 00:00:00,88824.500000,-0.012741,9,asym_hard_stop,1036.308,1.761,0.503
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2026-02-20 00:00:00,67306.400000,2026-03-04 08:00:00,71080.500000,-0.057199,74,asym_hard_stop,1095.000,1.716,0.650
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2026-03-07 00:00:00,68067.100000,2026-03-08 20:00:00,65933.200000,-0.032561,11,asym_hard_stop,-644.517,-1.811,0.478
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2026-03-11 00:00:00,69520.100000,2026-03-15 20:00:00,72790.000000,0.045806,29,asym_take_profit,-1166.284,-2.764,0.338
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2026-03-25 12:00:00,70780.500000,2026-03-27 12:00:00,66049.400000,0.065654,12,asym_take_profit,1095.000,2.022,0.430
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2026-04-08 00:00:00,71253.000000,2026-04-10 16:00:00,73224.000000,-0.028846,16,asym_hard_stop,894.943,1.693,0.860
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2026-05-20 16:00:00,77565.900000,2026-05-28 00:00:00,73135.100000,0.055967,44,asym_take_profit,952.212,1.958,0.947
vpvr_funding_asym_4h_20260713,BTCUSDT,long,2026-06-19 16:00:00,62934.200000,2026-06-24 12:00:00,60158.800000,-0.045329,29,asym_hard_stop,-633.129,-1.647,0.116
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2026-06-30 00:00:00,59907.100000,2026-07-02 20:00:00,61463.900000,-0.027170,17,asym_hard_stop,1095.000,2.077,0.264
vpvr_funding_asym_4h_20260713,BTCUSDT,short,2026-07-07 00:00:00,63114.900000,2026-07-10 08:00:00,64349.400000,-0.020740,20,asym_hard_stop,1095.000,1.937,0.692
