bar,equity
0,50000.000000
1,50000.000000
2,50000.000000
3,50000.000000
4,50000.000000
5,50000.000000
6,50000.000000
7,50000.000000
8,50000.000000
9,50000.000000
10,50000.000000
11,50000.000000
12,50000.000000
13,50000.000000
14,50000.000000
15,50000.000000
16,50000.000000
17,50000.000000
18,50000.000000
19,50000.000000
20,50000.000000
21,50000.000000
22,50000.000000
23,50000.000000
24,50000.000000
25,50000.000000
26,50000.000000
27,50000.000000
28,50000.000000
29,50000.000000
30,50000.000000
31,50000.000000
32,50000.000000
33,50000.000000
34,50000.000000
35,50000.000000
36,50000.000000
37,50000.000000
38,50000.000000
39,50000.000000
40,50000.000000
41,50000.000000
42,50000.000000
43,50000.000000
44,50000.000000
45,50000.000000
46,50000.000000
47,50000.000000
48,50000.000000
49,50000.000000
50,50000.000000
51,50000.000000
52,50000.000000
53,50000.000000
54,50000.000000
55,50000.000000
56,50000.000000
57,50000.000000
58,50000.000000
59,50000.000000
60,50000.000000
61,50000.000000
62,50000.000000
63,50000.000000
64,50000.000000
65,50000.000000
66,50000.000000
67,50000.000000
68,50000.000000
69,50000.000000
70,50000.000000
71,50000.000000
72,49555.064085
73,49774.919665
74,49658.351409
75,49194.866607
76,48620.997100
77,48463.581357
78,48535.575449
79,48576.116975
80,47838.699642
81,49090.813607
82,49059.606683
83,49042.079274
84,48890.295042
85,49071.258316
86,48989.487701
87,49421.138030
88,49564.256918
89,49056.982783
90,48930.293359
91,49181.684107
92,48910.599362
93,49197.398201
94,48748.878430
95,49027.809035
96,48542.778734
97,48551.428103
98,48567.646107
99,48343.685408
100,48067.746263
101,48067.425811
102,48067.425811
103,48067.425811
104,48067.425811
105,48067.425811
106,48067.425811
107,48067.425811
108,48067.425811
109,48067.425811
110,48067.425811
111,48067.425811
112,48067.425811
113,48067.425811
114,48067.425811
115,48067.425811
116,48067.425811
117,48067.425811
118,48067.425811
119,48067.425811
120,48067.425811
121,48067.425811
122,48067.425811
123,48067.425811
124,48067.425811
125,48067.425811
126,48067.425811
127,48067.425811
128,48067.425811
129,48067.425811
130,48067.425811
131,48067.425811
132,48067.425811
133,48067.425811
134,48067.425811
135,48067.425811
136,48067.425811
137,48067.425811
138,48067.425811
139,48067.425811
140,48067.425811
141,48067.425811
142,48067.425811
143,48067.425811
144,48067.425811
145,48067.425811
146,48067.425811
147,48067.425811
148,48067.425811
149,48067.425811
150,48067.425811
151,48067.425811
152,48067.425811
153,48067.425811
154,47555.554861
155,46582.253791
156,45237.984961
157,45781.907520
158,46424.520456
159,46377.771845
160,45837.761074
161,47044.829220
162,47287.635251
163,46588.862865
164,46140.317059
165,47074.518364
166,47113.874508
167,47737.248617
168,47762.509192
169,47888.499792
170,47758.101585
171,47541.240543
172,47900.755451
173,48299.192843
174,47984.492994
175,48396.327314
176,48222.455645
177,48053.487395
178,47456.749255
179,47919.159202
180,46831.809165
181,46949.087394
182,47133.664308
183,47715.951150
184,48594.915457
185,48662.150855
186,48829.091028
187,48633.461546
188,48610.450915
189,48866.998564
190,48544.767243
191,48947.985887
192,48771.611568
193,48433.602592
194,48688.333544
195,47342.165888
196,47510.276790
197,46661.306250
198,46564.439770
199,46825.013103
200,46521.840848
201,46679.292630
202,46226.655610
203,47188.262544
204,47171.135392
205,47893.317660
206,47817.448457
207,49947.145620
208,51515.839888
209,52581.033484
210,52415.735708
211,52325.835307
212,52383.666962
213,52383.492349
214,52383.492349
215,52383.492349
216,52383.492349
217,52383.492349
218,52383.492349
219,52383.492349
220,52383.492349
221,52383.492349
222,52383.492349
223,52383.492349
224,52383.492349
225,52383.492349
226,52383.492349
227,52383.492349
228,52383.492349
229,53180.012445
230,52146.832498
231,51478.653671
232,50962.731577
233,52195.113625
234,51361.304411
235,51907.182854
236,51793.256584
237,51970.243196
238,52672.766254
239,52562.310526
240,51851.779120
241,52221.782655
242,53100.836139
243,53235.335370
244,52557.173826
245,51511.074104
246,51329.081568
247,51345.191982
248,51340.861895
249,51712.089918
250,50617.499851
251,50184.213446
252,50086.774975
253,49862.933190
254,50215.954606
255,49876.062339
256,50508.438080
257,49976.733135
258,49985.809150
259,50197.400083
260,50262.110608
261,50363.445433
262,49733.391678
263,49733.107487
264,49733.107487
265,49733.107487
266,49733.107487
267,49733.107487
268,49733.107487
269,49733.107487
270,49733.107487
271,49733.107487
272,49733.107487
273,49733.107487
274,49733.107487
275,49733.107487
276,49733.107487
277,49733.107487
278,49733.107487
279,49733.107487
280,49733.107487
281,49733.107487
282,49733.107487
283,49733.107487
284,49733.107487
285,49733.107487
286,49733.107487
287,49733.107487
288,49733.107487
289,49733.107487
290,49733.107487
291,49733.107487
292,49733.107487
293,49733.107487
294,49920.415731
295,50087.222107
296,49562.187914
297,49719.559077
298,49724.343539
299,49849.887871
300,49491.464862
301,48248.226427
302,47683.240783
303,47668.376802
304,47741.962701
305,47732.110675
306,48390.373540
307,48852.656927
308,46714.520542
309,46713.936611
310,46713.936611
311,46713.936611
312,46713.936611
313,46946.846155
314,47900.278101
315,48205.870762
316,48597.109198
317,48809.110860
318,48198.066374
319,48710.507247
320,49518.213174
321,49179.040824
322,48040.022427
323,47574.291332
324,44621.489330
325,45097.606705
326,45260.778583
327,45877.978123
328,47647.812026
329,48964.221429
330,49720.762249
331,49131.698619
332,49482.685685
333,50329.901217
334,49388.248667
335,50081.023858
336,50298.920331
337,50051.019593
338,49699.157337
339,50061.005566
340,50104.928958
341,49925.566196
342,49270.788626
343,49502.855690
344,50380.896227
345,50223.150876
346,47989.450567
347,48107.732843
348,48238.640274
349,48955.514928
350,48947.930757
351,52133.299850
352,52782.029580
353,55122.513592
354,55109.602371
355,55544.871791
356,55688.552888
357,55725.870558
358,55820.034373
359,56713.336639
360,56590.168028
361,56141.422616
362,56301.837806
363,56325.687917
364,55781.074307
365,56015.974236
366,55260.791819
367,55473.645216
368,55346.929316
369,54276.059775
370,53861.473749
371,54145.785011
372,54145.604525
373,54145.604525
374,54145.604525
375,54145.604525
376,54145.604525
377,54145.604525
378,54145.604525
379,54145.604525
380,54145.604525
381,54145.604525
382,54145.604525
383,54145.604525
384,54145.604525
385,54145.604525
386,54145.604525
387,54145.604525
388,54145.604525
389,54145.604525
390,54145.604525
391,54145.604525
392,54145.604525
393,54145.604525
394,51704.600636
395,52647.146355
396,53629.672618
397,53422.454090
398,54023.687759
399,53568.114055
400,53710.209100
401,53657.204374
402,57097.274623
403,57887.481941
404,58380.934575
405,58886.431687
406,58442.254092
407,58072.112850
408,56441.709941
409,54318.218586
410,54087.630058
411,54225.760379
412,54577.835883
413,54570.673425
414,53596.638595
415,54179.173684
416,55237.636928
417,54115.463391
418,53721.140860
419,53631.379260
420,54126.537044
421,54148.747260
422,54112.966155
