variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,pnl_price_pct,pnl_carry_pct,bars_held,exit_reason,funding_sum_24h_bps_at_entry,funding_vol_bps_at_entry,cum_carry_pct_at_exit
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-01-10T00:00:00+00:00,3155.040000,2022-01-19T20:00:00+00:00,3084.020000,-0.024505,-0.022710,-0.001795,60,time_stop,-0.812,0.528,-0.001795
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-01-24T00:00:00+00:00,2459.690000,2022-02-02T20:00:00+00:00,2680.670000,0.091523,0.089641,0.001883,60,time_stop,-1.706,0.671,0.001883
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-02-04T08:00:00+00:00,2828.170000,2022-02-14T04:00:00+00:00,2883.060000,0.016240,0.019208,-0.002969,60,time_stop,-0.949,0.936,-0.002969
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-02-18T08:00:00+00:00,2878.660000,2022-02-20T04:00:00+00:00,2654.170000,-0.078558,-0.078184,-0.000373,12,hard_stop,-0.360,0.554,-0.000373
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-02-21T16:00:00+00:00,2652.760000,2022-02-24T00:00:00+00:00,2397.410000,-0.096747,-0.096458,-0.000289,15,hard_stop,-0.371,0.642,-0.000289
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-02-24T04:00:00+00:00,2370.450000,2022-03-06T00:00:00+00:00,2639.260000,0.108964,0.113200,-0.004236,60,time_stop,-0.706,0.592,-0.004236
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-03-11T08:00:00+00:00,2652.630000,2022-03-13T20:00:00+00:00,2515.650000,-0.052584,-0.051839,-0.000745,16,hard_stop,-0.966,0.598,-0.000745
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-03-14T08:00:00+00:00,2579.810000,2022-03-24T04:00:00+00:00,3037.470000,0.172225,0.177201,-0.004975,60,time_stop,-0.610,0.708,-0.004975
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-04-08T00:00:00+00:00,3267.660000,2022-04-11T08:00:00+00:00,3051.570000,-0.067497,-0.066330,-0.001167,21,hard_stop,-1.183,0.623,-0.001167
vpvr_funding_aware_v1_20260711,ETHUSDT,long,2022-04-12T16:00:00+00:00,2972.800000,2022-04-22T12:00:00+00:00,2949.530000,-0.005889,-0.008028,0.002138,60,time_stop,-0.799,0.758,0.002138
