variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,kama_turn_at_entry,poc_distance_atr_at_entry
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-24 01:36:00+00:00,158.16,2024-04-24 01:46:00+00:00,158.627,-0.003952706120384452,10,hard_stop,-1,0.3559661693495155
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-24 03:19:00+00:00,156.134,2024-04-24 03:27:00+00:00,156.357,-0.002428260340476939,8,hard_stop,-1,0.44381091617933377
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-24 05:22:00+00:00,158.142,2024-04-24 05:34:00+00:00,157.696,0.0018202501549240422,12,take_profit,-1,0.44710528827789947
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-24 07:39:00+00:00,158.092,2024-04-24 07:46:00+00:00,157.577,0.0022575968423450563,7,take_profit,-1,0.3080062245936182
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2024-04-24 08:02:00+00:00,157.963,2024-04-24 08:11:00+00:00,157.78,-0.002158499142204117,9,hard_stop,1,0.45292404297167516
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2024-04-24 13:06:00+00:00,157.86,2024-04-24 13:08:00+00:00,157.485,-0.0033755226149753117,2,hard_stop,1,0.40058496809262895
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-25 09:11:00+00:00,147.039,2024-04-25 09:18:00+00:00,146.505,0.002631689551751527,7,take_profit,-1,0.15775922517302432
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2024-04-25 12:19:00+00:00,146.099,2024-04-25 12:22:00+00:00,145.805,-0.0030123341022182384,3,hard_stop,1,0.5985316265060794
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2024-04-25 14:19:00+00:00,145.977,2024-04-25 14:30:00+00:00,145.573,-0.00376755927303618,11,hard_stop,1,0.15499406212889966
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-25 15:31:00+00:00,145.782,2024-04-25 15:35:00+00:00,146.542,-0.006213263640229782,4,hard_stop,-1,0.06853208691257204
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-25 19:03:00+00:00,147.651,2024-04-25 19:07:00+00:00,147.253,0.0016955455770704128,4,take_profit,-1,0.5975230823864404
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,short,2024-04-25 20:08:00+00:00,147.123,2024-04-25 20:09:00+00:00,146.603,0.0025344575627195285,1,take_profit,-1,0.566843629343562
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2024-04-25 20:22:00+00:00,145.912,2024-04-25 20:27:00+00:00,145.729,-0.0022541806020066604,5,hard_stop,1,0.01926401018924336
vpvr_reversion_1m_kama_reversal_20260709,SOLUSDT,long,2024-04-26 03:32:00+00:00,144.023,2024-04-26 03:33:00+00:00,143.724,-0.0030760572964041435,1,hard_stop,1,0.08240039512678798
