symbol,direction,entry_signal_date,entry_fill_date,entry_price,exit_signal_date,exit_fill_date,exit_price,reason,pnl_usd,pnl_pct,bars_held,session_at_entry,poc_distance_atr_at_entry,size_units,nav_at_entry
ETHUSDT,short,2022-01-02 09:00:00,2022-01-02 09:00:00,3747.645,2022-01-02 15:30:00,2022-01-02 15:30:00,3768.36,hard_stop,-67.2747,-0.006727,26,london,0.0862,1.0,100000.0
ETHUSDT,short,2022-01-03 08:15:00,2022-01-03 08:15:00,3811.64,2022-01-03 11:00:00,2022-01-03 11:00:00,3830.01,hard_stop,-60.1945,-0.006019,11,london,0.302,1.0,100000.0
ETHUSDT,short,2022-01-03 13:45:00,2022-01-03 13:45:00,3817.46,2022-01-03 16:00:00,2022-01-03 16:00:00,3766.885,take_profit,120.4834,0.012048,9,london,0.5603,1.0,100000.0
ETHUSDT,short,2022-01-04 08:00:00,2022-01-04 08:00:00,3765.12,2022-01-04 10:15:00,2022-01-04 10:15:00,3782.77,hard_stop,-58.8777,-0.005888,9,london,0.0802,1.0,100000.0
ETHUSDT,short,2022-01-04 18:45:00,2022-01-04 18:45:00,3771.05,2022-01-04 19:15:00,2022-01-04 19:15:00,3818.95,hard_stop,-139.0203,-0.013902,2,us,0.1353,1.0,100000.0
ETHUSDT,short,2022-01-04 21:15:00,2022-01-04 21:15:00,3819.0,2022-01-04 23:45:00,2022-01-04 23:45:00,3785.6,take_profit,75.4574,0.007546,10,us,0.0179,1.0,100000.0
ETHUSDT,long,2022-01-05 08:00:00,2022-01-05 08:00:00,3813.385,2022-01-05 09:45:00,2022-01-05 09:45:00,3835.64,take_profit,46.3602,0.004636,7,london,0.3399,1.0,100000.0
ETHUSDT,short,2022-01-05 13:00:00,2022-01-05 13:00:00,3796.26,2022-01-05 18:15:00,2022-01-05 18:15:00,3746.13,take_profit,120.051,0.012005,21,london,0.0673,1.0,100000.0
ETHUSDT,long,2022-01-06 19:15:00,2022-01-06 19:15:00,3440.79,2022-01-06 23:15:00,2022-01-06 23:15:00,3413.07,hard_stop,-92.5629,-0.009256,16,us,0.0501,1.0,100000.0
ETHUSDT,long,2022-01-07 08:45:00,2022-01-07 08:45:00,3230.67,2022-01-07 13:45:00,2022-01-07 13:45:00,3165.86,hard_stop,-212.6085,-0.021261,20,london,0.0954,1.0,100000.0
ETHUSDT,long,2022-01-07 16:00:00,2022-01-07 16:00:00,3152.175,2022-01-07 20:45:00,2022-01-07 20:45:00,3214.54,take_profit,185.8475,0.018585,19,us,0.4712,1.0,100000.0
ETHUSDT,long,2022-01-07 22:45:00,2022-01-07 22:45:00,3180.17,2022-01-08 00:15:00,2022-01-08 00:15:00,3219.67,take_profit,112.2072,0.011221,6,us,0.5983,1.0,100000.0
ETHUSDT,long,2022-01-09 08:00:00,2022-01-09 08:00:00,3115.835,2022-01-09 09:45:00,2022-01-09 09:45:00,3095.41,hard_stop,-77.5523,-0.007755,7,london,0.184,1.0,100000.0
ETHUSDT,short,2022-01-09 11:45:00,2022-01-09 11:45:00,3126.82,2022-01-09 13:30:00,2022-01-09 13:30:00,3093.02,take_profit,96.097,0.00961,7,london,0.0644,1.0,100000.0
ETHUSDT,short,2022-01-09 15:30:00,2022-01-09 15:30:00,3093.5,2022-01-09 16:30:00,2022-01-09 16:30:00,3133.075,hard_stop,-139.9295,-0.013993,4,london,0.0052,1.0,100000.0
ETHUSDT,long,2022-01-10 09:15:00,2022-01-10 09:15:00,3154.22,2022-01-10 11:00:00,2022-01-10 11:00:00,3121.0,hard_stop,-117.3192,-0.011732,7,london,0.5926,1.0,100000.0
ETHUSDT,long,2022-01-10 14:30:00,2022-01-10 14:30:00,2981.77,2022-01-10 20:30:00,2022-01-10 20:30:00,3056.62,take_profit,239.0254,0.023903,24,london,0.0394,1.0,100000.0
ETHUSDT,long,2022-01-12 08:15:00,2022-01-12 08:15:00,3224.25,2022-01-12 09:15:00,2022-01-12 09:15:00,3265.0,take_profit,114.386,0.011439,4,london,0.5663,1.0,100000.0
ETHUSDT,long,2022-01-12 16:30:00,2022-01-12 16:30:00,3361.66,2022-01-13 00:30:00,2022-01-13 00:30:00,3360.86,time_stop,-14.3798,-0.001438,32,us,0.2451,1.0,100000.0
ETHUSDT,long,2022-01-13 09:00:00,2022-01-13 09:00:00,3359.88,2022-01-13 11:15:00,2022-01-13 11:15:00,3334.06,hard_stop,-88.848,-0.008885,9,london,0.4685,1.0,100000.0
ETHUSDT,long,2022-01-13 13:30:00,2022-01-13 13:30:00,3361.875,2022-01-13 15:15:00,2022-01-13 15:15:00,3312.13,hard_stop,-159.968,-0.015997,7,london,0.2602,1.0,100000.0
ETHUSDT,long,2022-01-13 18:30:00,2022-01-13 18:30:00,3278.885,2022-01-13 22:30:00,2022-01-13 22:30:00,3255.505,hard_stop,-83.3047,-0.00833,16,us,0.597,1.0,100000.0
ETHUSDT,long,2022-01-14 08:00:00,2022-01-14 08:00:00,3259.085,2022-01-14 10:30:00,2022-01-14 10:30:00,3235.545,hard_stop,-84.2289,-0.008423,10,london,0.3883,1.0,100000.0
ETHUSDT,short,2022-01-14 14:45:00,2022-01-14 14:45:00,3275.33,2022-01-14 19:15:00,2022-01-14 19:15:00,3297.64,hard_stop,-80.1153,-0.008012,18,london,0.2951,1.0,100000.0
ETHUSDT,short,2022-01-15 08:45:00,2022-01-15 08:45:00,3310.75,2022-01-15 09:45:00,2022-01-15 09:45:00,3329.61,hard_stop,-68.9659,-0.006897,4,london,0.4221,1.0,100000.0
ETHUSDT,short,2022-01-15 12:45:00,2022-01-15 12:45:00,3280.73,2022-01-15 13:45:00,2022-01-15 13:45:00,3301.47,hard_stop,-75.2176,-0.007522,4,london,0.2172,1.0,100000.0
ETHUSDT,short,2022-01-16 08:00:00,2022-01-16 08:00:00,3329.55,2022-01-16 10:45:00,2022-01-16 10:45:00,3303.86,take_profit,65.1576,0.006516,11,london,0.0458,1.0,100000.0
ETHUSDT,long,2022-01-16 13:00:00,2022-01-16 13:00:00,3303.62,2022-01-16 16:00:00,2022-01-16 16:00:00,3363.055,take_profit,167.9087,0.016791,12,london,0.0101,1.0,100000.0
ETHUSDT,long,2022-01-16 19:00:00,2022-01-16 19:00:00,3342.865,2022-01-16 19:45:00,2022-01-16 19:45:00,3319.25,hard_stop,-82.643,-0.008264,3,us,0.0459,1.0,100000.0
ETHUSDT,short,2022-01-16 21:45:00,2022-01-16 21:45:00,3328.1,2022-01-16 22:15:00,2022-01-16 22:15:00,3347.21,hard_stop,-69.4201,-0.006942,2,us,0.0411,1.0,100000.0
ETHUSDT,long,2022-01-17 12:30:00,2022-01-17 12:30:00,3264.53,2022-01-17 15:30:00,2022-01-17 15:30:00,3240.6,hard_stop,-85.303,-0.00853,12,london,0.0283,1.0,100000.0
ETHUSDT,short,2022-01-18 11:00:00,2022-01-18 11:00:00,3167.85,2022-01-18 13:15:00,2022-01-18 13:15:00,3112.33,take_profit,163.2608,0.016326,9,london,0.0964,1.0,100000.0
ETHUSDT,short,2022-01-18 21:15:00,2022-01-18 21:15:00,3164.26,2022-01-19 03:30:00,2022-01-19 03:30:00,3124.415,take_profit,113.922,0.011392,25,us,0.189,1.0,100000.0
ETHUSDT,long,2022-01-19 11:15:00,2022-01-19 11:15:00,3107.17,2022-01-19 14:30:00,2022-01-19 14:30:00,3144.615,take_profit,108.5116,0.010851,13,london,0.4704,1.0,100000.0
ETHUSDT,long,2022-01-19 16:30:00,2022-01-19 16:30:00,3097.895,2022-01-19 17:45:00,2022-01-19 17:45:00,3150.43,take_profit,157.5829,0.015758,5,us,0.0574,1.0,100000.0
ETHUSDT,short,2022-01-19 19:45:00,2022-01-19 19:45:00,3127.44,2022-01-19 23:30:00,2022-01-19 23:30:00,3096.835,take_profit,85.8596,0.008586,15,us,0.0895,1.0,100000.0
ETHUSDT,short,2022-01-20 08:15:00,2022-01-20 08:15:00,3126.92,2022-01-20 09:45:00,2022-01-20 09:45:00,3143.32,hard_stop,-64.4478,-0.006445,6,london,0.291,1.0,100000.0
ETHUSDT,long,2022-01-20 12:15:00,2022-01-20 12:15:00,3135.54,2022-01-20 13:30:00,2022-01-20 13:30:00,3159.75,take_profit,65.2116,0.006521,5,london,0.4679,1.0,100000.0
