variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_at_entry,exit_reason
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T05:00:00,46882.49,3725.2,2022-01-02T05:15:00,46945.27,3730.12,-0.0023816417597022775,2,-2.2551755877935835,-2.1813079318436794,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T05:30:00,46969.69,3734.68,2022-01-02T05:45:00,47081.28,3744.69,-0.0027044957342557273,2,-2.376851312633066,-2.404375974948789,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T06:00:00,47035.39,3742.03,2022-01-02T06:15:00,47106.8,3742.19,-0.000924539024805424,2,-2.4047344047833694,-1.8146540557291446,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T15:15:00,47185.97,3762.59,2022-01-02T15:30:00,47203.88,3769.77,-0.003928698026022956,2,-2.1493609244141934,-2.5511638941128285,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T15:45:00,47340.47,3778.17,2022-01-02T16:30:00,47546.55,3796.45,-0.002885174725053605,4,-2.25788040077685,-2.183963775172093,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T16:45:00,47792.3,3838.62,2022-01-02T17:00:00,47549.71,3821.19,-0.0029352279599795116,2,-3.6839494738368024,-3.556607448585028,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T17:15:00,47646.39,3823.4,2022-01-02T17:30:00,47590.98,3830.54,-0.005430390071500077,2,-2.9952393594946387,-3.579433919256129,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T17:45:00,47401.14,3823.82,2022-01-02T18:00:00,47254.01,3815.78,-0.003401324354794053,2,-3.8200827923891527,-3.770048870893253,0.0001,regime_break
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T18:15:00,46949.01,3793.87,2022-01-02T18:30:00,46909.07,3785.35,-0.001004982187096146,2,-3.656114885060323,-3.1667130235030054,0.0001,confluence_lost
A,BTCUSDT/ETHUSDT,long_a_short_b,2022-01-02T18:45:00,47058.12,3795.06,2022-01-02T19:00:00,47065.19,3796.72,-0.0026871709931400177,2,-2.8910734639021913,-2.8035724795821797,0.0001,confluence_lost
