variant,pair,direction,entry_ts,entry_price_a,entry_price_b,exit_ts,exit_price_a,exit_price_b,pnl_pct,bars_held,z_at_entry,z_at_exit,funding_ema_at_entry,exit_reason
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-05T17:30:00,3772.6,163.56,2022-01-05T18:00:00,3747.36,164.38,0.010903796901800678,2,2.535810207834463,1.7045101456099838,9.292516802750276e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-05T21:30:00,3554.24,153.4,2022-01-05T22:00:00,3473.23,150.0,-0.0001717806781470259,2,2.552994021737296,2.4555196209396626,9.292516802750276e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-05T22:30:00,3534.25,151.58,2022-01-05T23:00:00,3550.71,154.97,0.01690714571597032,2,2.844784805415652,1.6695516157707935,9.292516802750276e-05,confluence_lost
A,ETHUSDT/SOLUSDT,short_a_long_b,2022-01-07T03:00:00,3309.51,141.16,2022-01-07T03:30:00,3238.74,139.63,0.00974506571215985,2,2.9045555406976455,1.9471311124429491,6.485747118336139e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T08:30:00,3215.24,145.73,2022-01-08T09:30:00,3240.92,146.9,-0.0008415838480920528,3,-3.0271951178335015,-2.863687726790453,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T10:00:00,3233.94,147.37,2022-01-08T10:30:00,3221.33,146.62,0.00038996280211380863,2,-3.181765535333843,-3.0014390144924286,8.713958059918469e-05,regime_break
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T11:00:00,3217.16,145.71,2022-01-08T11:30:00,3219.95,146.43,-0.004874097295009738,2,-2.5668615576868916,-2.794672137490514,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T12:00:00,3216.86,145.88,2022-01-08T12:30:00,3201.47,145.21,-0.0009913523995143995,2,-2.531394314508116,-2.4923970333964736,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T13:00:00,3199.94,145.83,2022-01-08T14:00:00,3191.27,145.03,0.001976413874601702,3,-2.7520381154658584,-2.4278258629347427,8.713958059918469e-05,confluence_lost
A,ETHUSDT/SOLUSDT,long_a_short_b,2022-01-08T15:30:00,3160.72,144.25,2022-01-08T16:00:00,3156.21,143.83,0.0006847217094163811,2,-2.5400172178913025,-2.384759399772995,8.713958059918469e-05,confluence_lost
