bar,equity
0,100000.000000
1,100000.000000
2,100000.000000
3,100000.000000
4,100000.000000
5,100000.000000
6,100000.000000
7,100000.000000
8,100000.000000
9,100000.000000
10,100000.000000
11,100000.000000
12,100000.000000
13,100000.000000
14,100000.000000
15,100000.000000
16,100000.000000
17,100000.000000
18,100000.000000
19,100000.000000
20,100000.000000
21,100000.000000
22,100000.000000
23,100000.000000
24,100000.000000
25,100000.000000
26,100000.000000
27,100000.000000
28,100000.000000
29,100000.000000
30,100000.000000
31,100000.000000
32,100000.000000
33,100000.000000
34,100000.000000
35,100000.000000
36,100000.000000
37,100000.000000
38,100000.000000
39,100000.000000
40,100000.000000
41,100000.000000
42,100000.000000
43,100000.000000
44,100000.000000
45,100000.000000
46,100000.000000
47,100000.000000
48,100000.000000
49,100000.000000
50,100000.000000
51,100000.000000
52,100000.000000
53,100000.000000
54,100000.000000
55,100000.000000
56,100000.000000
57,100000.000000
58,100000.000000
59,100000.000000
60,100000.000000
61,100000.000000
62,100000.000000
63,100000.000000
64,100000.000000
65,100000.000000
66,100000.000000
67,100000.000000
68,100000.000000
69,100000.000000
70,100000.000000
71,100000.000000
72,100000.000000
73,100000.000000
74,100000.000000
75,100000.000000
76,100000.000000
77,100000.000000
78,100000.000000
79,100000.000000
80,100000.000000
81,100000.000000
82,100000.000000
83,100000.000000
84,100000.000000
85,100000.000000
86,100000.000000
87,100000.000000
88,100000.000000
89,100000.000000
90,100000.000000
91,100000.000000
92,100000.000000
93,100000.000000
94,100000.000000
95,100000.000000
96,100000.000000
97,100000.000000
98,100000.000000
99,100000.000000
100,100000.000000
101,100000.000000
102,100000.000000
103,100000.000000
104,100000.000000
105,100000.000000
106,100000.000000
107,100000.000000
108,100000.000000
109,100000.000000
110,100000.000000
111,100000.000000
112,99999.388969
113,100000.128536
114,100001.615809
115,100004.197632
116,100004.434059
117,100003.704480
118,100003.384378
119,100002.136442
120,100002.563800
121,100002.503799
122,100002.503799
123,100002.503799
124,100002.503799
125,100002.503799
126,100002.503799
127,100002.503799
128,100002.503799
129,100002.503799
130,100002.503799
